Arizona, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,58.3,1.3
189604,55.2,-1.8
189704,57.4,0.4
189804,61.7,4.7
189904,58.3,1.3
190004,52.9,-4.1
190104,54.8,-2.2
190204,59.5,2.5
190304,56.4,-0.6
190404,57.7,0.7
190504,55.3,-1.7
190604,55.7,-1.3
190704,58.5,1.5
190804,57.2,0.2
190904,56.1,-0.9
191004,59.2,2.2
191104,56.5,-0.5
191204,52.5,-4.5
191304,56.1,-0.9
191404,58.1,1.1
191504,56.7,-0.3
191604,58.0,1.0
191704,53.9,-3.1
191804,56.3,-0.7
191904,59.0,2.0
192004,52.1,-4.9
192104,54.4,-2.6
192204,52.5,-4.5
192304,55.1,-1.9
192404,54.2,-2.8
192504,58.2,1.2
192604,57.2,0.2
192704,56.5,-0.5
192804,55.9,-1.1
192904,54.1,-2.9
193004,60.5,3.5
193104,59.0,2.0
193204,56.8,-0.2
193304,52.6,-4.4
193404,61.6,4.6
193504,57.0,0.0
193604,59.7,2.7
193704,56.1,-0.9
193804,57.0,0.0
193904,59.7,2.7
194004,58.2,1.2
194104,51.3,-5.7
194204,55.8,-1.2
194304,60.2,3.2
194404,53.2,-3.8
194504,54.2,-2.8
194604,61.5,4.5
194704,56.7,-0.3
194804,58.0,1.0
194904,58.9,1.9
195004,60.1,3.1
195104,56.3,-0.7
195204,56.5,-0.5
195304,55.8,-1.2
195404,61.4,4.4
195504,54.4,-2.6
195604,55.6,-1.4
195704,55.4,-1.6
195804,55.2,-1.8
195904,60.5,3.5
196004,58.2,1.2
196104,57.8,0.8
196204,61.6,4.6
196304,54.5,-2.5
196404,54.2,-2.8
196504,54.8,-2.2
196604,58.5,1.5
196704,52.3,-4.7
196804,54.4,-2.6
196904,57.5,0.5
197004,51.5,-5.5
197104,55.4,-1.6
197204,58.0,1.0
197304,53.1,-3.9
197404,56.1,-0.9
197504,50.3,-6.7
197604,54.9,-2.1
197704,58.1,1.1
197804,56.0,-1.0
197904,56.4,-0.6
198004,56.2,-0.8
198104,60.6,3.6
198204,56.8,-0.2
198304,51.3,-5.7
198404,55.2,-1.8
198504,60.0,3.0
198604,58.5,1.5
198704,60.6,3.6
198804,57.1,0.1
198904,64.0,7.0
199004,59.8,2.8
199104,55.5,-1.5
199204,61.2,4.2
199304,58.6,1.6
199404,58.2,1.2
199504,54.9,-2.1
199604,59.9,2.9
199704,56.2,-0.8
199804,52.7,-4.3
199904,53.2,-3.8
200004,61.9,4.9
200104,57.5,0.5
200204,62.0,5.0
200304,55.6,-1.4
200404,57.9,0.9
200504,57.2,0.2
200604,59.0,2.0
200704,59.3,2.3
200804,58.0,1.0
200904,57.0,0.0
201004,56.1,-0.9
201104,58.9,1.9
201204,60.6,3.6
201304,59.4,2.4
201404,59.1,2.1
201504,58.4,1.4
201604,58.5,1.5
201704,59.8,2.8
