Arizona, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189506,71.6,-3.3
189606,77.9,3.0
189706,72.7,-2.2
189806,75.9,1.0
189906,74.7,-0.2
190006,76.1,1.2
190106,72.8,-2.1
190206,76.8,1.9
190306,74.2,-0.7
190406,74.6,-0.3
190506,73.1,-1.8
190606,73.1,-1.8
190706,69.8,-5.1
190806,72.0,-2.9
190906,75.0,0.1
191006,75.6,0.7
191106,73.5,-1.4
191206,74.5,-0.4
191306,71.8,-3.1
191406,74.2,-0.7
191506,72.8,-2.1
191606,74.2,-0.7
191706,74.9,0.0
191806,79.1,4.2
191906,75.2,0.3
192006,72.6,-2.3
192106,74.8,-0.1
192206,76.1,1.2
192306,70.7,-4.2
192406,77.1,2.2
192506,73.4,-1.5
192606,75.9,1.0
192706,73.4,-1.5
192806,74.4,-0.5
192906,74.4,-0.5
193006,75.3,0.4
193106,74.9,0.0
193206,73.0,-1.9
193306,75.2,0.3
193406,71.7,-3.2
193506,75.9,1.0
193606,77.8,2.9
193706,74.0,-0.9
193806,75.0,0.1
193906,75.1,0.2
194006,77.7,2.8
194106,71.1,-3.8
194206,73.8,-1.1
194306,73.1,-1.8
194406,70.4,-4.5
194506,70.9,-4.0
194606,76.3,1.4
194706,72.8,-2.1
194806,73.5,-1.4
194906,73.8,-1.1
195006,73.4,-1.5
195106,72.0,-2.9
195206,73.4,-1.5
195306,74.5,-0.4
195406,73.6,-1.3
195506,72.7,-2.2
195606,77.3,2.4
195706,76.1,1.2
195806,76.5,1.6
195906,77.9,3.0
196006,77.9,3.0
196106,77.9,3.0
196206,73.2,-1.7
196306,71.6,-3.3
196406,72.7,-2.2
196506,69.0,-5.9
196606,74.5,-0.4
196706,71.5,-3.4
196806,75.1,0.2
196906,72.5,-2.4
197006,74.7,-0.2
197106,73.8,-1.1
197206,74.3,-0.6
197306,74.4,-0.5
197406,78.9,4.0
197506,72.8,-2.1
197606,74.0,-0.9
197706,76.2,1.3
197806,76.3,1.4
197906,74.2,-0.7
198006,75.0,0.1
198106,78.6,3.7
198206,72.2,-2.7
198306,72.4,-2.5
198406,74.1,-0.8
198506,76.9,2.0
198606,76.6,1.7
198706,76.3,1.4
198806,76.2,1.3
198906,75.6,0.7
199006,78.3,3.4
199106,71.6,-3.3
199206,73.5,-1.4
199306,74.2,-0.7
199406,79.2,4.3
199506,72.1,-2.8
199606,78.0,3.1
199706,73.8,-1.1
199806,71.8,-3.1
199906,74.5,-0.4
200006,77.8,2.9
200106,77.5,2.6
200206,78.8,3.9
200306,76.3,1.4
200406,75.9,1.0
200506,74.4,-0.5
200606,79.5,4.6
200706,77.3,2.4
200806,77.3,2.4
200906,73.0,-1.9
201006,75.9,1.0
201106,75.7,0.8
201206,78.7,3.8
201306,79.5,4.6
201406,77.7,2.8
201506,78.4,3.5
201606,80.3,5.4
201706,79.8,4.9
