Arizona, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189508,77.8,-0.2
189608,77.3,-0.7
189708,79.0,1.0
189808,79.5,1.5
189908,76.0,-2.0
190008,75.0,-3.0
190108,79.6,1.6
190208,78.0,0.0
190308,79.6,1.6
190408,77.4,-0.6
190508,79.4,1.4
190608,75.8,-2.2
190708,76.8,-1.2
190808,77.3,-0.7
190908,76.8,-1.2
191008,79.3,1.3
191108,77.9,-0.1
191208,75.7,-2.3
191308,77.6,-0.4
191408,78.4,0.4
191508,78.3,0.3
191608,75.6,-2.4
191708,77.5,-0.5
191808,75.3,-2.7
191908,78.4,0.4
192008,75.9,-2.1
192108,76.1,-1.9
192208,78.2,0.2
192308,75.6,-2.4
192408,78.5,0.5
192508,75.8,-2.2
192608,78.0,0.0
192708,76.5,-1.5
192808,77.1,-0.9
192908,77.5,-0.5
193008,77.2,-0.8
193108,77.2,-0.8
193208,78.6,0.6
193308,79.0,1.0
193408,78.6,0.6
193508,77.6,-0.4
193608,78.7,0.7
193708,80.0,2.0
193808,78.3,0.3
193908,78.9,0.9
194008,79.0,1.0
194108,75.6,-2.4
194208,77.5,-0.5
194308,77.6,-0.4
194408,79.0,1.0
194508,78.5,0.5
194608,77.9,-0.1
194708,76.7,-1.3
194808,78.2,0.2
194908,76.7,-1.3
195008,77.0,-1.0
195108,76.9,-1.1
195208,79.1,1.1
195308,77.3,-0.7
195408,76.1,-1.9
195508,76.9,-1.1
195608,76.0,-2.0
195708,77.1,-0.9
195808,79.5,1.5
195908,76.5,-1.5
196008,79.3,1.3
196108,77.4,-0.6
196208,79.9,1.9
196308,76.7,-1.3
196408,76.7,-1.3
196508,77.9,-0.1
196608,78.8,0.8
196708,78.1,0.1
196808,74.0,-4.0
196908,81.1,3.1
197008,79.3,1.3
197108,77.0,-1.0
197208,77.2,-0.8
197308,78.1,0.1
197408,76.8,-1.2
197508,77.8,-0.2
197608,76.7,-1.3
197708,79.1,1.1
197808,77.5,-0.5
197908,75.6,-2.4
198008,77.9,-0.1
198108,79.2,1.2
198208,78.2,0.2
198308,77.2,-0.8
198408,76.8,-1.2
198508,78.8,0.8
198608,79.4,1.4
198708,77.0,-1.0
198808,77.4,-0.6
198908,77.3,-0.7
199008,76.0,-2.0
199108,78.5,0.5
199208,77.5,-0.5
199308,77.5,-0.5
199408,81.3,3.3
199508,81.4,3.4
199608,80.2,2.2
199708,79.1,1.1
199808,80.4,2.4
199908,77.8,-0.2
200008,79.4,1.4
200108,79.1,1.1
200208,79.8,1.8
200308,80.0,2.0
200408,77.8,-0.2
200508,77.5,-0.5
200608,77.9,-0.1
200708,80.5,2.5
200808,79.3,1.3
200908,79.7,1.7
201008,79.0,1.0
201108,82.2,4.2
201208,80.5,2.5
201308,78.5,0.5
201408,76.5,-1.5
201508,80.6,2.6
201608,77.5,-0.5
201708,79.1,1.1
