Arizona, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189509,71.5,-0.7
189609,71.5,-0.7
189709,72.2,0.0
189809,73.0,0.8
189909,75.1,2.9
190009,68.3,-3.9
190109,71.4,-0.8
190209,72.1,-0.1
190309,70.8,-1.4
190409,70.9,-1.3
190509,72.7,0.5
190609,70.3,-1.9
190709,71.5,-0.7
190809,70.6,-1.6
190909,70.0,-2.2
191009,74.7,2.5
191109,72.7,0.5
191209,67.4,-4.8
191309,70.1,-2.1
191409,73.0,0.8
191509,70.1,-2.1
191609,70.3,-1.9
191709,72.3,0.1
191809,72.7,0.5
191909,71.3,-0.9
192009,69.7,-2.5
192109,71.5,-0.7
192209,74.1,1.9
192309,68.6,-3.6
192409,72.2,0.0
192509,69.5,-2.7
192609,72.5,0.3
192709,70.7,-1.5
192809,73.2,1.0
192909,71.6,-0.6
193009,70.2,-2.0
193109,72.6,0.4
193209,73.2,1.0
193309,74.9,2.7
193409,71.7,-0.5
193509,71.9,-0.3
193609,70.8,-1.4
193709,74.6,2.4
193809,73.7,1.5
193909,71.3,-0.9
194009,71.9,-0.3
194109,68.8,-3.4
194209,72.0,-0.2
194309,73.4,1.2
194409,72.4,0.2
194509,72.7,0.5
194609,73.0,0.8
194709,74.9,2.7
194809,73.6,1.4
194909,74.4,2.2
195009,69.5,-2.7
195109,73.0,0.8
195209,73.8,1.6
195309,73.5,1.3
195409,73.4,1.2
195509,72.6,0.4
195609,75.5,3.3
195709,72.0,-0.2
195809,72.2,0.0
195909,71.1,-1.1
196009,74.2,2.0
196109,69.1,-3.1
196209,73.4,1.2
196309,73.9,1.7
196409,70.4,-1.8
196509,68.6,-3.6
196609,72.1,-0.1
196709,71.6,-0.6
196809,71.2,-1.0
196909,73.6,1.4
197009,69.6,-2.6
197109,71.1,-1.1
197209,71.2,-1.0
197309,70.8,-1.4
197409,72.1,-0.1
197509,72.0,-0.2
197609,69.8,-2.4
197709,73.1,0.9
197809,71.4,-0.8
197909,75.3,3.1
198009,72.6,0.4
198109,72.8,0.6
198209,72.0,-0.2
198309,74.8,2.6
198409,73.4,1.2
198509,67.7,-4.5
198609,68.0,-4.2
198709,71.3,-0.9
198809,70.4,-1.8
198909,73.1,0.9
199009,73.1,0.9
199109,72.3,0.1
199209,73.3,1.1
199309,71.8,-0.4
199409,73.7,1.5
199509,74.6,2.4
199609,70.3,-1.9
199709,75.0,2.8
199809,73.6,1.4
199909,72.6,0.4
200009,74.9,2.7
200109,75.6,3.4
200209,73.6,1.4
200309,74.8,2.6
200409,71.8,-0.4
200509,73.4,1.2
200609,69.8,-2.4
200709,73.8,1.6
200809,73.6,1.4
200909,74.1,1.9
201009,75.4,3.2
201109,74.6,2.4
201209,73.7,1.5
201309,72.4,0.2
201409,74.2,2.0
201509,75.0,2.8
201609,71.6,-0.6
201709,72.5,0.3
