Arizona, Cooling Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,99,8
189604,61,-30
189704,97,6
189804,141,50
189904,93,2
190004,40,-51
190104,51,-40
190204,105,14
190304,60,-31
190404,93,2
190504,53,-38
190604,56,-35
190704,99,8
190804,96,5
190904,80,-11
191004,119,28
191104,79,-12
191204,38,-53
191304,75,-16
191404,101,10
191504,68,-23
191604,94,3
191704,52,-39
191804,75,-16
191904,101,10
192004,35,-56
192104,59,-32
192204,33,-58
192304,65,-26
192404,45,-46
192504,90,-1
192604,90,-1
192704,71,-20
192804,71,-20
192904,51,-40
193004,125,34
193104,116,25
193204,74,-17
193304,36,-55
193404,164,73
193504,80,-11
193604,126,35
193704,70,-21
193804,86,-5
193904,122,31
194004,107,16
194104,24,-67
194204,63,-28
194304,132,41
194404,44,-47
194504,59,-32
194604,165,74
194704,80,-11
194804,102,11
194904,111,20
195004,142,51
195104,75,-16
195204,74,-17
195304,70,-21
195404,155,64
195504,59,-32
195604,70,-21
195704,71,-20
195804,68,-23
195904,154,63
196004,104,13
196104,101,10
196204,163,72
196304,55,-36
196404,61,-30
196504,65,-26
196604,111,20
196704,32,-59
196804,64,-27
196904,97,6
197004,39,-52
197104,65,-26
197204,104,13
197304,51,-40
197404,87,-4
197504,21,-70
197604,60,-31
197704,102,11
197804,69,-22
197904,79,-12
198004,80,-11
198104,139,48
198204,90,-1
198304,33,-58
198404,71,-20
198504,141,50
198604,116,25
198704,162,71
198804,93,2
198904,219,128
199004,132,41
199104,70,-21
199204,146,55
199304,110,19
199404,112,21
199504,64,-27
199604,140,49
199704,92,1
199804,41,-50
199904,46,-45
200004,164,73
200104,93,2
200204,165,74
200304,71,-20
200404,110,19
200504,94,3
200604,108,17
200704,119,28
200804,112,21
200904,93,2
201004,76,-15
201104,133,42
201204,141,50
201304,129,38
201404,131,40
201504,112,21
201604,118,27
201704,143,52
