Arizona, Cooling Degree Days, June
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189506,388,-101
189606,551,62
189706,414,-75
189806,481,-8
189906,449,-40
190006,489,0
190106,380,-109
190206,499,10
190306,426,-63
190406,472,-17
190506,443,-46
190606,448,-41
190706,345,-144
190806,407,-82
190906,480,-9
191006,505,16
191106,452,-37
191206,508,19
191306,401,-88
191406,484,-5
191506,441,-48
191606,455,-34
191706,487,-2
191806,600,111
191906,491,2
192006,419,-70
192106,470,-19
192206,520,31
192306,364,-125
192406,559,70
192506,441,-48
192606,520,31
192706,433,-56
192806,472,-17
192906,475,-14
193006,489,0
193106,485,-4
193206,435,-54
193306,487,-2
193406,390,-99
193506,517,28
193606,568,79
193706,458,-31
193806,481,-8
193906,486,-3
194006,569,80
194106,378,-111
194206,445,-44
194306,440,-49
194406,351,-138
194506,364,-125
194606,527,38
194706,430,-59
194806,452,-37
194906,479,-10
195006,444,-45
195106,397,-92
195206,446,-43
195306,470,-19
195406,444,-45
195506,436,-53
195606,562,73
195706,539,50
195806,540,51
195906,587,98
196006,587,98
196106,571,82
196206,433,-56
196306,381,-108
196406,432,-57
196506,313,-176
196606,491,2
196706,398,-91
196806,495,6
196906,419,-70
197006,504,15
197106,453,-36
197206,488,-1
197306,496,7
197406,615,126
197506,432,-57
197606,483,-6
197706,535,46
197806,551,62
197906,494,5
198006,504,15
198106,605,116
198206,413,-76
198306,424,-65
198406,473,-16
198506,552,63
198606,557,68
198706,542,53
198806,538,49
198906,514,25
199006,593,104
199106,392,-97
199206,460,-29
199306,486,-3
199406,617,128
199506,424,-65
199606,587,98
199706,461,-28
199806,402,-87
199906,492,3
200006,570,81
200106,570,81
200206,602,113
200306,525,36
200406,519,30
200506,503,14
200606,640,151
200706,559,70
200806,583,94
200906,453,-36
201006,518,29
201106,521,32
201206,596,107
201306,619,130
201406,583,94
201506,600,111
201606,647,158
201706,633,144
