Arizona, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189510,61.2,0.0
189610,60.8,-0.4
189710,58.5,-2.7
189810,60.6,-0.6
189910,59.0,-2.2
190010,60.6,-0.6
190110,62.1,0.9
190210,62.8,1.6
190310,60.6,-0.6
190410,59.9,-1.3
190510,60.0,-1.2
190610,60.0,-1.2
190710,61.3,0.1
190810,56.8,-4.4
190910,60.9,-0.3
191010,61.4,0.2
191110,59.1,-2.1
191210,57.6,-3.6
191310,59.0,-2.2
191410,60.6,-0.6
191510,61.8,0.6
191610,57.8,-3.4
191710,62.7,1.5
191810,62.0,0.8
191910,56.0,-5.2
192010,56.9,-4.3
192110,63.3,2.1
192210,61.1,-0.1
192310,57.1,-4.1
192410,58.9,-2.3
192510,58.7,-2.5
192610,62.8,1.6
192710,61.1,-0.1
192810,61.6,0.4
192910,61.8,0.6
193010,58.4,-2.8
193110,61.5,0.3
193210,59.6,-1.6
193310,64.4,3.2
193410,63.2,2.0
193510,60.6,-0.6
193610,60.7,-0.5
193710,63.0,1.8
193810,60.9,-0.3
193910,58.9,-2.3
194010,61.8,0.6
194110,57.3,-3.9
194210,60.8,-0.4
194310,61.3,0.1
194410,62.9,1.7
194510,62.6,1.4
194610,56.8,-4.4
194710,61.6,0.4
194810,61.8,0.6
194910,58.1,-3.1
195010,66.7,5.5
195110,61.0,-0.2
195210,65.7,4.5
195310,60.9,-0.3
195410,63.6,2.4
195510,64.4,3.2
195610,61.0,-0.2
195710,59.1,-2.1
195810,62.8,1.6
195910,61.5,0.3
196010,59.7,-1.5
196110,59.7,-1.5
196210,62.1,0.9
196310,64.6,3.4
196410,64.8,3.6
196510,63.3,2.1
196610,60.4,-0.8
196710,62.8,1.6
196810,61.7,0.5
196910,57.8,-3.4
197010,57.1,-4.1
197110,56.3,-4.9
197210,59.3,-1.9
197310,61.6,0.4
197410,61.8,0.6
197510,60.3,-0.9
197610,58.5,-2.7
197710,63.7,2.5
197810,64.6,3.4
197910,63.8,2.6
198010,60.8,-0.4
198110,59.1,-2.1
198210,58.2,-3.0
198310,61.5,0.3
198410,56.5,-4.7
198510,60.7,-0.5
198610,58.6,-2.6
198710,64.8,3.6
198810,66.2,5.0
198910,61.1,-0.1
199010,62.0,0.8
199110,64.1,2.9
199210,63.8,2.6
199310,61.0,-0.2
199410,59.6,-1.6
199510,63.1,1.9
199610,60.8,-0.4
199710,60.2,-1.0
199810,60.5,-0.7
199910,64.2,3.0
200010,60.2,-1.0
200110,64.7,3.5
200210,60.0,-1.2
200310,67.3,6.1
200410,60.0,-1.2
200510,62.8,1.6
200610,60.2,-1.0
200710,62.4,1.2
200810,62.9,1.7
200910,59.4,-1.8
201010,62.7,1.5
201110,62.8,1.6
201210,63.8,2.6
201310,58.8,-2.4
201410,64.9,3.7
201510,64.5,3.3
201610,66.1,4.9
201710,64.9,3.7
