Arizona, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189511,46.0,-3.6
189611,48.3,-1.3
189711,50.3,0.7
189811,48.2,-1.4
189911,51.0,1.4
190011,51.1,1.5
190111,52.7,3.1
190211,48.9,-0.7
190311,52.2,2.6
190411,50.1,0.5
190511,48.8,-0.8
190611,48.0,-1.6
190711,48.8,-0.8
190811,49.9,0.3
190911,49.6,0.0
191011,51.5,1.9
191111,46.8,-2.8
191211,48.6,-1.0
191311,51.4,1.8
191411,52.6,3.0
191511,49.1,-0.5
191611,47.1,-2.5
191711,51.9,2.3
191811,46.5,-3.1
191911,47.4,-2.2
192011,48.1,-1.5
192111,50.9,1.3
192211,45.3,-4.3
192311,48.7,-0.9
192411,50.0,0.4
192511,47.5,-2.1
192611,51.2,1.6
192711,52.5,2.9
192811,48.3,-1.3
192911,46.3,-3.3
193011,47.4,-2.2
193111,45.5,-4.1
193211,51.2,1.6
193311,51.0,1.4
193411,50.4,0.8
193511,46.7,-2.9
193611,49.1,-0.5
193711,51.2,1.6
193811,44.4,-5.2
193911,51.7,2.1
194011,47.1,-2.5
194111,49.8,0.2
194211,52.2,2.6
194311,49.8,0.2
194411,46.7,-2.9
194511,48.3,-1.3
194611,45.8,-3.8
194711,44.4,-5.2
194811,44.7,-4.9
194911,54.1,4.5
195011,53.0,3.4
195111,47.6,-2.0
195211,45.0,-4.6
195311,51.2,1.6
195411,52.7,3.1
195511,49.3,-0.3
195611,46.2,-3.4
195711,45.0,-4.6
195811,48.9,-0.7
195911,49.4,-0.2
196011,50.2,0.6
196111,46.6,-3.0
196211,53.0,3.4
196311,50.3,0.7
196411,45.8,-3.8
196511,52.6,3.0
196611,51.8,2.2
196711,52.8,3.2
196811,49.0,-0.6
196911,49.2,-0.4
197011,50.4,0.8
197111,47.9,-1.7
197211,44.9,-4.7
197311,49.3,-0.3
197411,49.0,-0.6
197511,48.5,-1.1
197611,49.9,0.3
197711,51.8,2.2
197811,49.3,-0.3
197911,46.2,-3.4
198011,50.5,0.9
198111,52.4,2.8
198211,48.2,-1.4
198311,49.2,-0.4
198411,48.7,-0.9
198511,47.7,-1.9
198611,50.0,0.4
198711,48.4,-1.2
198811,50.0,0.4
198911,51.1,1.5
199011,50.3,0.7
199111,49.0,-0.6
199211,45.7,-3.9
199311,47.2,-2.4
199411,45.5,-4.1
199511,55.0,5.4
199611,51.0,1.4
199711,51.0,1.4
199811,50.6,1.0
199911,55.1,5.5
200011,43.8,-5.8
200111,52.9,3.3
200211,51.3,1.7
200311,48.8,-0.8
200411,47.3,-2.3
200511,52.6,3.0
200611,52.8,3.2
200711,55.3,5.7
200811,53.3,3.7
200911,52.9,3.3
201011,48.3,-1.3
201111,49.4,-0.2
201211,53.8,4.2
201311,51.3,1.7
201411,51.7,2.1
201511,48.3,-1.3
201611,53.1,3.5
201711,57.6,8.0
