Arizona, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,43.5,-1.4
189602,45.3,0.4
189702,41.8,-3.1
189802,46.9,2.0
189902,43.2,-1.7
190002,45.9,1.0
190102,45.3,0.4
190202,45.7,0.8
190302,38.1,-6.8
190402,48.6,3.7
190502,44.6,-0.3
190602,47.6,2.7
190702,49.7,4.8
190802,44.2,-0.7
190902,43.5,-1.4
191002,43.4,-1.5
191102,43.1,-1.8
191202,44.5,-0.4
191302,41.5,-3.4
191402,44.1,-0.8
191502,43.3,-1.6
191602,48.6,3.7
191702,42.5,-2.4
191802,45.0,0.1
191902,39.6,-5.3
192002,46.6,1.7
192102,46.1,1.2
192202,42.8,-2.1
192302,42.3,-2.6
192402,46.8,1.9
192502,47.4,2.5
192602,46.7,1.8
192702,47.3,2.4
192802,43.7,-1.2
192902,40.0,-4.9
193002,48.1,3.2
193102,45.8,0.9
193202,44.8,-0.1
193302,36.7,-8.2
193402,48.9,4.0
193502,46.0,1.1
193602,44.2,-0.7
193702,42.1,-2.8
193802,44.3,-0.6
193902,35.6,-9.3
194002,44.8,-0.1
194102,47.5,2.6
194202,40.5,-4.4
194302,47.7,2.8
194402,41.8,-3.1
194502,45.2,0.3
194602,42.7,-2.2
194702,48.1,3.2
194802,41.6,-3.3
194902,38.9,-6.0
195002,47.5,2.6
195102,44.2,-0.7
195202,42.6,-2.3
195302,43.1,-1.8
195402,49.9,5.0
195502,39.0,-5.9
195602,39.6,-5.3
195702,50.9,6.0
195802,47.3,2.4
195902,42.8,-2.1
196002,40.4,-4.5
196102,46.0,1.1
196202,45.0,0.1
196302,49.2,4.3
196402,39.1,-5.8
196502,43.0,-1.9
196602,39.2,-5.7
196702,46.0,1.1
196802,49.0,4.1
196902,42.7,-2.2
197002,47.8,2.9
197102,44.1,-0.8
197202,46.9,2.0
197302,43.6,-1.3
197402,42.5,-2.4
197502,42.5,-2.4
197602,47.7,2.8
197702,46.4,1.5
197802,44.6,-0.3
197902,42.3,-2.6
198002,47.6,2.7
198102,47.3,2.4
198202,45.6,0.7
198302,45.2,0.3
198402,44.1,-0.8
198502,42.6,-2.3
198602,47.8,2.9
198702,44.3,-0.6
198802,47.2,2.3
198902,45.8,0.9
199002,42.7,-2.2
199102,49.2,4.3
199202,47.1,2.2
199302,44.5,-0.4
199402,43.3,-1.6
199502,50.9,6.0
199602,50.1,5.2
199702,44.7,-0.2
199802,42.0,-2.9
199902,48.0,3.1
200002,48.4,3.5
200102,44.2,-0.7
200202,46.2,1.3
200302,45.5,0.6
200402,42.1,-2.8
200502,46.2,1.3
200602,47.8,2.9
200702,46.7,1.8
200802,45.0,0.1
200902,46.6,1.7
201002,44.3,-0.6
201102,41.7,-3.2
201202,45.6,0.7
201302,42.2,-2.7
201402,50.0,5.1
201502,52.0,7.1
201602,50.6,5.7
201702,49.3,4.4
201802,46.6,1.7
