Arizona, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189503,50.0,0.0
189603,51.3,1.3
189703,45.1,-4.9
189803,47.0,-3.0
189903,50.1,0.1
190003,55.0,5.0
190103,48.8,-1.2
190203,46.0,-4.0
190303,49.4,-0.6
190403,53.0,3.0
190503,50.7,0.7
190603,49.8,-0.2
190703,51.0,1.0
190803,51.6,1.6
190903,46.4,-3.6
191003,55.4,5.4
191103,53.0,3.0
191203,48.2,-1.8
191303,45.9,-4.1
191403,52.3,2.3
191503,48.4,-1.6
191603,53.7,3.7
191703,45.1,-4.9
191803,51.5,1.5
191903,46.8,-3.2
192003,47.0,-3.0
192103,53.2,3.2
192203,46.1,-3.9
192303,46.3,-3.7
192403,44.7,-5.3
192503,51.5,1.5
192603,50.7,0.7
192703,48.2,-1.8
192803,52.2,2.2
192903,48.0,-2.0
193003,48.7,-1.3
193103,49.7,-0.3
193203,49.5,-0.5
193303,50.0,0.0
193403,56.6,6.6
193503,47.4,-2.6
193603,51.0,1.0
193703,47.8,-2.2
193803,47.9,-2.1
193903,50.2,0.2
194003,52.3,2.3
194103,48.7,-1.3
194203,46.6,-3.4
194303,51.5,1.5
194403,46.4,-3.6
194503,45.5,-4.5
194603,50.1,0.1
194703,51.0,1.0
194803,43.7,-6.3
194903,48.2,-1.8
195003,50.7,0.7
195103,48.3,-1.7
195203,43.2,-6.8
195303,50.3,0.3
195403,47.8,-2.2
195503,49.1,-0.9
195603,50.6,0.6
195703,50.6,0.6
195803,45.0,-5.0
195903,50.3,0.3
196003,52.9,2.9
196103,49.4,-0.6
196203,44.7,-5.3
196303,48.6,-1.4
196403,45.0,-5.0
196503,46.4,-3.6
196603,50.9,0.9
196703,52.5,2.5
196803,50.0,0.0
196903,45.8,-4.2
197003,47.3,-2.7
197103,50.6,0.6
197203,57.0,7.0
197303,44.0,-6.0
197403,52.2,2.2
197503,47.0,-3.0
197603,47.9,-2.1
197703,46.1,-3.9
197803,52.7,2.7
197903,47.9,-2.1
198003,47.6,-2.4
198103,48.9,-1.1
198203,49.2,-0.8
198303,48.8,-1.2
198403,51.0,1.0
198503,49.4,-0.6
198603,54.2,4.2
198703,47.4,-2.6
198803,50.3,0.3
198903,55.5,5.5
199003,52.0,2.0
199103,45.8,-4.2
199203,50.2,0.2
199303,51.8,1.8
199403,52.9,2.9
199503,51.3,1.3
199603,51.9,1.9
199703,55.0,5.0
199803,49.0,-1.0
199903,53.0,3.0
200003,50.5,0.5
200103,51.8,1.8
200203,49.8,-0.2
200303,50.6,0.6
200403,58.1,8.1
200503,49.9,-0.1
200603,48.3,-1.7
200703,54.5,4.5
200803,51.8,1.8
200903,52.5,2.5
201003,49.2,-0.8
201103,53.3,3.3
201203,51.6,1.6
201303,54.8,4.8
201403,53.9,3.9
201503,56.3,6.3
201603,54.9,4.9
201703,56.6,6.6
