Arizona, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,65.8,0.5
189605,65.8,0.5
189705,68.1,2.8
189805,63.6,-1.7
189905,61.4,-3.9
190005,67.1,1.8
190105,65.6,0.3
190205,65.4,0.1
190305,64.3,-1.0
190405,66.0,0.7
190505,61.1,-4.2
190605,63.9,-1.4
190705,61.4,-3.9
190805,61.1,-4.2
190905,62.4,-2.9
191005,68.3,3.0
191105,63.8,-1.5
191205,63.4,-1.9
191305,64.4,-0.9
191405,65.6,0.3
191505,60.8,-4.5
191605,63.6,-1.7
191705,59.3,-6.0
191805,61.6,-3.7
191905,66.8,1.5
192005,64.6,-0.7
192105,62.8,-2.5
192205,65.0,-0.3
192305,66.5,1.2
192405,66.6,1.3
192505,68.3,3.0
192605,64.6,-0.7
192705,65.8,0.5
192805,67.6,2.3
192905,65.7,0.4
193005,60.7,-4.6
193105,66.6,1.3
193205,64.3,-1.0
193305,60.0,-5.3
193405,70.5,5.2
193505,61.3,-4.0
193605,68.4,3.1
193705,67.1,1.8
193805,64.7,-0.6
193905,66.9,1.6
194005,69.1,3.8
194105,65.1,-0.2
194205,63.7,-1.6
194305,67.0,1.7
194405,63.9,-1.4
194505,64.8,-0.5
194605,64.7,-0.6
194705,68.5,3.2
194805,65.8,0.5
194905,64.2,-1.1
195005,63.6,-1.7
195105,65.2,-0.1
195205,67.4,2.1
195305,59.8,-5.5
195405,67.5,2.2
195505,63.6,-1.7
195605,67.1,1.8
195705,61.3,-4.0
195805,69.7,4.4
195905,64.4,-0.9
196005,65.3,0.0
196105,65.1,-0.2
196205,63.3,-2.0
196305,68.2,2.9
196405,64.3,-1.0
196505,61.8,-3.5
196605,68.1,2.8
196705,63.9,-1.4
196805,64.6,-0.7
196905,67.0,1.7
197005,66.4,1.1
197105,61.5,-3.8
197205,65.2,-0.1
197305,66.1,0.8
197405,67.1,1.8
197505,62.1,-3.2
197605,66.3,1.0
197705,61.3,-4.0
197805,64.0,-1.3
197905,64.1,-1.2
198005,61.4,-3.9
198105,65.3,0.0
198205,64.2,-1.1
198305,64.0,-1.3
198405,70.9,5.6
198505,66.7,1.4
198605,66.6,1.3
198705,65.1,-0.2
198805,65.4,0.1
198905,67.7,2.4
199005,64.9,-0.4
199105,63.2,-2.1
199205,66.7,1.4
199305,67.3,2.0
199405,65.2,-0.1
199505,61.7,-3.6
199605,69.6,4.3
199705,70.5,5.2
199805,63.0,-2.3
199905,65.3,0.0
200005,71.2,5.9
200105,70.8,5.5
200205,67.0,1.7
200305,68.3,3.0
200405,68.4,3.1
200505,67.9,2.6
200605,70.0,4.7
200705,68.4,3.1
200805,63.6,-1.7
200905,70.8,5.5
201005,63.1,-2.2
201105,63.2,-2.1
201205,69.3,4.0
201305,67.4,2.1
201405,66.8,1.5
201505,62.9,-2.4
201605,64.6,-0.7
201705,66.1,0.8
