Arizona, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189507,78.3,-1.6
189607,78.5,-1.4
189707,78.8,-1.1
189807,81.0,1.1
189907,80.2,0.3
190007,81.0,1.1
190107,82.4,2.5
190207,77.8,-2.1
190307,79.7,-0.2
190407,78.3,-1.6
190507,78.8,-1.1
190607,80.2,0.3
190707,78.9,-1.0
190807,79.4,-0.5
190907,79.6,-0.3
191007,80.3,0.4
191107,77.7,-2.2
191207,75.7,-4.2
191307,77.1,-2.8
191407,77.5,-2.4
191507,78.0,-1.9
191607,78.5,-1.4
191707,81.1,1.2
191807,78.2,-1.7
191907,78.4,-1.5
192007,79.8,-0.1
192107,79.0,-0.9
192207,80.4,0.5
192307,79.1,-0.8
192407,78.8,-1.1
192507,80.5,0.6
192607,78.6,-1.3
192707,80.0,0.1
192807,80.1,0.2
192907,79.7,-0.2
193007,79.0,-0.9
193107,82.2,2.3
193207,79.7,-0.2
193307,81.9,2.0
193407,81.8,1.9
193507,79.4,-0.5
193607,80.7,0.8
193707,80.2,0.3
193807,78.8,-1.1
193907,80.7,0.8
194007,80.7,0.8
194107,78.3,-1.6
194207,81.6,1.7
194307,80.2,0.3
194407,78.2,-1.7
194507,80.2,0.3
194607,79.4,-0.5
194707,80.6,0.7
194807,79.5,-0.4
194907,79.1,-0.8
195007,77.8,-2.1
195107,81.4,1.5
195207,78.8,-1.1
195307,80.5,0.6
195407,80.5,0.6
195507,77.0,-2.9
195607,78.5,-1.4
195707,80.2,0.3
195807,80.1,0.2
195907,82.0,2.1
196007,81.2,1.3
196107,80.9,1.0
196207,79.0,-0.9
196307,81.5,1.6
196407,80.9,1.0
196507,78.8,-1.1
196607,80.4,0.5
196707,80.2,0.3
196807,78.4,-1.5
196907,80.4,0.5
197007,81.0,1.1
197107,81.8,1.9
197207,81.5,1.6
197307,79.4,-0.5
197407,78.7,-1.2
197507,79.3,-0.6
197607,78.9,-1.0
197707,80.3,0.4
197807,80.6,0.7
197907,79.7,-0.2
198007,81.4,1.5
198107,80.7,0.8
198207,78.5,-1.4
198307,79.3,-0.6
198407,78.7,-1.2
198507,80.7,0.8
198607,77.6,-2.3
198707,77.6,-2.3
198807,80.9,1.0
198907,81.7,1.8
199007,79.3,-0.6
199107,79.3,-0.6
199207,78.1,-1.8
199307,78.3,-1.6
199407,81.3,1.4
199507,80.3,0.4
199607,82.3,2.4
199707,79.4,-0.5
199807,81.2,1.3
199907,78.3,-1.6
200007,81.5,1.6
200107,79.8,-0.1
200207,82.3,2.4
200307,83.8,3.9
200407,80.1,0.2
200507,82.7,2.8
200607,82.3,2.4
200707,82.0,2.1
200807,80.5,0.6
200907,82.8,2.9
201007,81.8,1.9
201107,80.8,0.9
201207,80.0,0.1
201307,81.0,1.1
201407,81.4,1.5
201507,78.6,-1.3
201607,82.4,2.5
201707,81.4,1.5
