Arizona, Cooling Degree Days, October
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189510,159,3
189610,153,-3
189710,93,-63
189810,124,-32
189910,88,-68
190010,130,-26
190110,139,-17
190210,162,6
190310,135,-21
190410,113,-43
190510,139,-17
190610,122,-34
190710,136,-20
190810,74,-82
190910,135,-21
191010,153,-3
191110,107,-49
191210,88,-68
191310,104,-52
191410,140,-16
191510,164,8
191610,73,-83
191710,185,29
191810,153,-3
191910,64,-92
192010,69,-87
192110,184,28
192210,154,-2
192310,75,-81
192410,101,-55
192510,91,-65
192610,173,17
192710,140,-16
192810,157,1
192910,172,16
193010,95,-61
193110,141,-15
193210,118,-38
193310,228,72
193410,183,27
193510,130,-26
193610,135,-21
193710,181,25
193810,138,-18
193910,104,-52
194010,164,8
194110,77,-79
194210,131,-25
194310,151,-5
194410,190,34
194510,187,31
194610,64,-92
194710,155,-1
194810,181,25
194910,91,-65
195010,281,125
195110,161,5
195210,267,111
195310,149,-7
195410,209,53
195510,242,86
195610,136,-20
195710,111,-45
195810,204,48
195910,161,5
196010,123,-33
196110,124,-32
196210,166,10
196310,227,71
196410,232,76
196510,203,47
196610,136,-20
196710,187,31
196810,159,3
196910,95,-61
197010,84,-72
197110,66,-90
197210,112,-44
197310,165,9
197410,171,15
197510,127,-29
197610,105,-51
197710,220,64
197810,234,78
197910,199,43
198010,161,5
198110,112,-44
198210,102,-54
198310,159,3
198410,84,-72
198510,136,-20
198610,107,-49
198710,249,93
198810,276,120
198910,163,7
199010,182,26
199110,225,69
199210,209,53
199310,167,11
199410,126,-30
199510,202,46
199610,157,1
199710,143,-13
199810,144,-12
199910,243,87
200010,126,-30
200110,225,69
200210,132,-24
200310,310,154
200410,133,-23
200510,194,38
200610,151,-5
200710,197,41
200810,201,45
200910,127,-29
201010,192,36
201110,214,58
201210,213,57
201310,118,-38
201410,231,75
201510,225,69
201610,281,125
201710,260,104
