Arizona, Cooling Degree Days, November
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189511,9,-10
189611,13,-6
189711,17,-2
189811,7,-12
189911,17,-2
190011,23,4
190111,27,8
190211,8,-11
190311,21,2
190411,13,-6
190511,12,-7
190611,7,-12
190711,15,-4
190811,22,3
190911,13,-6
191011,17,-2
191111,7,-12
191211,13,-6
191311,26,7
191411,45,26
191511,11,-8
191611,6,-13
191711,26,7
191811,7,-12
191911,7,-12
192011,10,-9
192111,18,-1
192211,0,-19
192311,10,-9
192411,17,-2
192511,7,-12
192611,17,-2
192711,33,14
192811,12,-7
192911,6,-13
193011,11,-8
193111,5,-14
193211,22,3
193311,22,3
193411,15,-4
193511,4,-15
193611,15,-4
193711,17,-2
193811,0,-19
193911,34,15
194011,7,-12
194111,17,-2
194211,28,9
194311,16,-3
194411,6,-13
194511,9,-10
194611,0,-19
194711,0,-19
194811,0,-19
194911,48,29
195011,39,20
195111,10,-9
195211,6,-13
195311,23,4
195411,36,17
195511,13,-6
195611,7,-12
195711,4,-15
195811,14,-5
195911,17,-2
196011,17,-2
196111,6,-13
196211,38,19
196311,17,-2
196411,5,-14
196511,34,15
196611,24,5
196711,40,21
196811,13,-6
196911,18,-1
197011,17,-2
197111,9,-10
197211,0,-19
197311,12,-7
197411,12,-7
197511,13,-6
197611,18,-1
197711,29,10
197811,13,-6
197911,7,-12
198011,21,2
198111,32,13
198211,11,-8
198311,13,-6
198411,11,-8
198511,9,-10
198611,17,-2
198711,12,-7
198811,17,-2
198911,26,7
199011,24,5
199111,14,-5
199211,6,-13
199311,9,-10
199411,5,-14
199511,57,38
199611,26,7
199711,23,4
199811,18,-1
199911,59,40
200011,0,-19
200111,46,27
200211,31,12
200311,11,-8
200411,7,-12
200511,36,17
200611,39,20
200711,65,46
200811,42,23
200911,42,23
201011,12,-7
201111,15,-4
201211,48,29
201311,31,12
201411,27,8
201511,10,-9
201611,43,24
201711,91,72
