Arizona, Cooling Degree Days, July
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189507,593,-57
189607,559,-91
189707,608,-42
189807,655,5
189907,625,-25
190007,654,4
190107,691,41
190207,545,-105
190307,637,-13
190407,571,-79
190507,617,-33
190607,671,21
190707,623,-27
190807,622,-28
190907,636,-14
191007,653,3
191107,577,-73
191207,513,-137
191307,550,-100
191407,599,-51
191507,590,-60
191607,603,-47
191707,662,12
191807,603,-47
191907,572,-78
192007,651,1
192107,599,-51
192207,658,8
192307,604,-46
192407,628,-22
192507,664,14
192607,613,-37
192707,659,9
192807,667,17
192907,645,-5
193007,624,-26
193107,723,73
193207,645,-5
193307,721,71
193407,705,55
193507,634,-16
193607,679,29
193707,668,18
193807,608,-42
193907,669,19
194007,666,16
194107,607,-43
194207,709,59
194307,661,11
194407,600,-50
194507,656,6
194607,633,-17
194707,684,34
194807,650,0
194907,622,-28
195007,582,-68
195107,694,44
195207,614,-36
195307,664,14
195407,663,13
195507,542,-108
195607,611,-39
195707,684,34
195807,673,23
195907,715,65
196007,684,34
196107,672,22
196207,631,-19
196307,696,46
196407,675,25
196507,641,-9
196607,677,27
196707,655,5
196807,600,-50
196907,677,27
197007,708,58
197107,709,59
197207,710,60
197307,644,-6
197407,613,-37
197507,642,-8
197607,622,-28
197707,681,31
197807,682,32
197907,647,-3
198007,718,68
198107,679,29
198207,613,-37
198307,649,-1
198407,602,-48
198507,679,29
198607,579,-71
198707,585,-65
198807,682,32
198907,710,60
199007,618,-32
199107,626,-24
199207,601,-49
199307,593,-57
199407,687,37
199507,677,27
199607,721,71
199707,649,-1
199807,692,42
199907,599,-51
200007,700,50
200107,655,5
200207,709,59
200307,754,104
200407,660,10
200507,736,86
200607,733,83
200707,703,53
200807,666,16
200907,754,104
201007,716,66
201107,686,36
201207,645,-5
201307,684,34
201407,692,42
201507,631,-19
201607,743,93
201707,687,37
