Arizona, Cooling Degree Days, August
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189508,557,-36
189608,552,-41
189708,604,11
189808,616,23
189908,509,-84
190008,472,-121
190108,607,14
190208,571,-22
190308,630,37
190408,566,-27
190508,655,62
190608,547,-46
190708,560,-33
190808,586,-7
190908,548,-45
191008,627,34
191108,600,7
191208,508,-85
191308,572,-21
191408,606,13
191508,602,9
191608,527,-66
191708,553,-40
191808,486,-107
191908,587,-6
192008,520,-73
192108,528,-65
192208,600,7
192308,523,-70
192408,610,17
192508,536,-57
192608,575,-18
192708,553,-40
192808,557,-36
192908,575,-18
193008,565,-28
193108,550,-43
193208,612,19
193308,634,41
193408,588,-5
193508,567,-26
193608,607,14
193708,650,57
193808,590,-3
193908,607,14
194008,623,30
194108,516,-77
194208,572,-21
194308,562,-31
194408,630,37
194508,605,12
194608,590,-3
194708,556,-37
194808,622,29
194908,547,-46
195008,574,-19
195108,557,-36
195208,628,35
195308,596,3
195408,536,-57
195508,527,-66
195608,541,-52
195708,578,-15
195808,628,35
195908,542,-51
196008,624,31
196108,567,-26
196208,676,83
196308,541,-52
196408,535,-58
196508,605,12
196608,618,25
196708,607,14
196808,477,-116
196908,706,113
197008,636,43
197108,536,-57
197208,567,-26
197308,618,25
197408,555,-38
197508,601,8
197608,566,-27
197708,643,50
197808,577,-16
197908,515,-78
198008,592,-1
198108,652,59
198208,614,21
198308,571,-22
198408,551,-42
198508,619,26
198608,643,50
198708,574,-19
198808,585,-8
198908,584,-9
199008,520,-73
199108,611,18
199208,576,-17
199308,580,-13
199408,707,114
199508,705,112
199608,665,72
199708,647,54
199808,677,84
199908,615,22
200008,634,41
200108,636,43
200208,650,57
200308,663,70
200408,600,7
200508,595,2
200608,604,11
200708,682,89
200808,629,36
200908,663,70
201008,647,54
201108,747,154
201208,680,87
201308,631,38
201408,549,-44
201508,705,112
201608,599,6
201708,640,47
