Arizona, Heating Degree Days, March
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189503,275,-15
189603,232,-58
189703,428,138
189803,357,67
189903,300,10
190003,177,-113
190103,328,38
190203,393,103
190303,324,34
190403,207,-83
190503,290,0
190603,293,3
190703,271,-19
190803,243,-47
190903,391,101
191003,162,-128
191103,218,-72
191203,332,42
191303,397,107
191403,224,-66
191503,346,56
191603,199,-91
191703,397,107
191803,248,-42
191903,384,94
192003,366,76
192103,210,-80
192203,408,118
192303,370,80
192403,436,146
192503,242,-48
192603,260,-30
192703,340,50
192803,232,-58
192903,344,54
193003,322,32
193103,292,2
193203,301,11
193303,293,3
193403,146,-144
193503,371,81
193603,251,-39
193703,340,50
193803,344,54
193903,274,-16
194003,224,-66
194103,336,46
194203,366,76
194303,243,-47
194403,387,97
194503,416,126
194603,277,-13
194703,265,-25
194803,440,150
194903,328,38
195003,258,-32
195103,321,31
195203,472,182
195303,274,-16
195403,331,41
195503,298,8
195603,265,-25
195703,270,-20
195803,418,128
195903,265,-25
196003,216,-74
196103,294,4
196203,434,144
196303,310,20
196403,403,113
196503,382,92
196603,260,-30
196703,226,-64
196803,293,3
196903,392,102
197003,345,55
197103,256,-34
197203,127,-163
197303,467,177
197403,242,-48
197503,360,70
197603,328,38
197703,392,102
197803,224,-66
197903,340,50
198003,344,54
198103,309,19
198203,310,20
198303,327,37
198403,243,-47
198503,300,10
198603,183,-107
198703,334,44
198803,259,-31
198903,163,-127
199003,231,-59
199103,405,115
199203,290,0
199303,248,-42
199403,219,-71
199503,253,-37
199603,233,-57
199703,164,-126
199803,313,23
199903,223,-67
200003,263,-27
200103,249,-41
200203,280,-10
200303,272,-18
200403,114,-176
200503,293,3
200603,315,25
200703,178,-112
200803,232,-58
200903,211,-79
201003,306,16
201103,198,-92
201203,249,-41
201303,173,-117
201403,185,-105
201503,142,-148
201603,164,-126
201703,135,-155
