Arizona, Heating Degree Days, May
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,30,-5
189605,31,-4
189705,16,-19
189805,47,12
189905,73,38
190005,24,-11
190105,34,-1
190205,35,0
190305,44,9
190405,29,-6
190505,74,39
190605,42,7
190705,64,29
190805,65,30
190905,54,19
191005,15,-20
191105,41,6
191205,44,9
191305,39,4
191405,29,-6
191505,77,42
191605,44,9
191705,91,56
191805,63,28
191905,26,-9
192005,36,1
192105,51,16
192205,32,-3
192305,24,-11
192405,25,-10
192505,14,-21
192605,37,2
192705,28,-7
192805,17,-18
192905,30,-5
193005,76,41
193105,21,-14
193205,38,3
193305,80,45
193405,10,-25
193505,68,33
193605,14,-21
193705,23,-12
193805,36,1
193905,23,-12
194005,14,-21
194105,34,-1
194205,42,7
194305,22,-13
194405,41,6
194505,35,0
194605,36,1
194705,14,-21
194805,29,-6
194905,38,3
195005,44,9
195105,33,-2
195205,19,-16
195305,85,50
195405,21,-14
195505,43,8
195605,22,-13
195705,63,28
195805,12,-23
195905,38,3
196005,32,-3
196105,33,-2
196205,46,11
196305,15,-20
196405,38,3
196505,58,23
196605,16,-19
196705,41,6
196805,37,2
196905,20,-15
197005,21,-14
197105,62,27
197205,32,-3
197305,24,-11
197405,23,-12
197505,55,20
197605,27,-8
197705,64,29
197805,39,4
197905,40,5
198005,61,26
198105,32,-3
198205,38,3
198305,39,4
198405,9,-26
198505,21,-14
198605,21,-14
198705,33,-2
198805,30,-5
198905,16,-19
199005,34,-1
199105,45,10
199205,22,-13
199305,19,-16
199405,33,-2
199505,58,23
199605,11,-24
199705,11,-24
199805,48,13
199905,31,-4
200005,8,-27
200105,10,-25
200205,22,-13
200305,15,-20
200405,15,-20
200505,16,-19
200605,11,-24
200705,15,-20
200805,42,7
200905,10,-25
201005,46,11
201105,43,8
201205,13,-22
201305,18,-17
201405,21,-14
201505,49,14
201605,35,0
201705,26,-9
