Arizona, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,49.0,-4.4
189601,56.6,3.2
189701,50.0,-3.4
189801,45.9,-7.5
189901,50.1,-3.3
190001,58.8,5.4
190101,53.8,0.4
190201,55.4,2.0
190301,54.0,0.6
190401,52.4,-1.0
190501,53.7,0.3
190601,50.8,-2.6
190701,52.1,-1.3
190801,55.4,2.0
190901,56.9,3.5
191001,52.4,-1.0
191101,55.8,2.4
191201,56.2,2.8
191301,48.8,-4.6
191401,55.1,1.7
191501,49.1,-4.3
191601,48.8,-4.6
191701,46.8,-6.6
191801,52.0,-1.4
191901,48.9,-4.5
192001,51.3,-2.1
192101,54.6,1.2
192201,49.6,-3.8
192301,57.9,4.5
192401,51.5,-1.9
192501,50.5,-2.9
192601,51.2,-2.2
192701,56.8,3.4
192801,56.0,2.6
192901,50.6,-2.8
193001,48.4,-5.0
193101,53.1,-0.3
193201,46.2,-7.2
193301,46.9,-6.5
193401,57.0,3.6
193501,53.2,-0.2
193601,54.8,1.4
193701,40.1,-13.3
193801,55.9,2.5
193901,51.8,-1.6
194001,54.6,1.2
194101,51.7,-1.7
194201,53.8,0.4
194301,54.4,1.0
194401,51.8,-1.6
194501,52.9,-0.5
194601,50.9,-2.5
194701,51.2,-2.2
194801,56.5,3.1
194901,40.8,-12.6
195001,52.8,-0.6
195101,54.2,0.8
195201,51.5,-1.9
195301,59.5,6.1
195401,55.6,2.2
195501,47.9,-5.5
195601,58.4,5.0
195701,51.9,-1.5
195801,55.0,1.6
195901,57.8,4.4
196001,47.6,-5.8
196101,55.5,2.1
196201,50.8,-2.6
196301,50.2,-3.2
196401,51.8,-1.6
196501,55.4,2.0
196601,50.2,-3.2
196701,54.8,1.4
196801,50.7,-2.7
196901,55.7,2.3
197001,54.4,1.0
197101,56.0,2.6
197201,56.0,2.6
197301,48.6,-4.8
197401,51.4,-2.0
197501,53.5,0.1
197601,56.1,2.7
197701,51.0,-2.4
197801,53.3,-0.1
197901,46.0,-7.4
198001,53.8,0.4
198101,58.4,5.0
198201,52.6,-0.8
198301,55.0,1.6
198401,55.1,1.7
198501,51.0,-2.4
198601,62.2,8.8
198701,52.8,-0.6
198801,52.2,-1.2
198901,52.0,-1.4
199001,54.2,0.8
199101,52.2,-1.2
199201,51.0,-2.4
199301,52.8,-0.6
199401,57.9,4.5
199501,52.1,-1.3
199601,58.6,5.2
199701,52.7,-0.7
199801,56.5,3.1
199901,59.8,6.4
200001,59.8,6.4
200101,51.9,-1.5
200201,55.6,2.2
200301,63.0,9.6
200401,54.7,1.3
200501,55.4,2.0
200601,59.0,5.6
200701,51.6,-1.8
200801,51.4,-2.0
200901,58.2,4.8
201001,53.9,0.5
201101,55.4,2.0
201201,59.4,6.0
201301,51.7,-1.7
201401,61.4,8.0
201501,57.1,3.7
201601,54.1,0.7
201701,52.3,-1.1
201801,61.9,8.5
