Arizona, Maximum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189510,73.8,-2.0
189610,71.5,-4.3
189710,70.2,-5.6
189810,76.5,0.7
189910,72.1,-3.7
190010,73.9,-1.9
190110,76.7,0.9
190210,77.7,1.9
190310,76.3,0.5
190410,74.2,-1.6
190510,74.9,-0.9
190610,76.2,0.4
190710,73.2,-2.6
190810,72.3,-3.5
190910,78.2,2.4
191010,76.6,0.8
191110,73.3,-2.5
191210,69.9,-5.9
191310,74.9,-0.9
191410,73.7,-2.1
191510,79.3,3.5
191610,71.1,-4.7
191710,79.8,4.0
191810,75.7,-0.1
191910,68.8,-7.0
192010,70.8,-5.0
192110,77.8,2.0
192210,76.5,0.7
192310,72.1,-3.7
192410,75.2,-0.6
192510,71.0,-4.8
192610,77.8,2.0
192710,76.3,0.5
192810,75.8,0.0
192910,76.5,0.7
193010,73.9,-1.9
193110,76.0,0.2
193210,73.5,-2.3
193310,78.5,2.7
193410,79.6,3.8
193510,76.1,0.3
193610,74.8,-1.0
193710,78.7,2.9
193810,76.1,0.3
193910,73.9,-1.9
194010,75.5,-0.3
194110,69.8,-6.0
194210,74.8,-1.0
194310,76.2,0.4
194410,77.3,1.5
194510,76.4,0.6
194610,70.9,-4.9
194710,76.7,0.9
194810,75.8,0.0
194910,72.5,-3.3
195010,84.0,8.2
195110,75.7,-0.1
195210,83.8,8.0
195310,77.0,1.2
195410,79.5,3.7
195510,80.6,4.8
195610,77.0,1.2
195710,70.7,-5.1
195810,76.4,0.6
195910,76.8,1.0
196010,73.0,-2.8
196110,75.1,-0.7
196210,76.9,1.1
196310,79.0,3.2
196410,80.7,4.9
196510,80.2,4.4
196610,75.6,-0.2
196710,79.3,3.5
196810,77.5,1.7
196910,71.9,-3.9
197010,71.9,-3.9
197110,69.2,-6.6
197210,69.7,-6.1
197310,78.7,2.9
197410,74.4,-1.4
197510,76.5,0.7
197610,72.4,-3.4
197710,77.9,2.1
197810,79.1,3.3
197910,80.1,4.3
198010,76.4,0.6
198110,72.5,-3.3
198210,73.9,-1.9
198310,74.0,-1.8
198410,68.9,-6.9
198510,73.9,-1.9
198610,72.4,-3.4
198710,79.1,3.3
198810,81.0,5.2
198910,75.9,0.1
199010,77.5,1.7
199110,79.4,3.6
199210,78.8,3.0
199310,74.9,-0.9
199410,74.0,-1.8
199510,80.0,4.2
199610,75.2,-0.6
199710,75.0,-0.8
199810,75.1,-0.7
199910,81.3,5.5
200010,72.5,-3.3
200110,79.8,4.0
200210,73.8,-2.0
200310,82.4,6.6
200410,73.0,-2.8
200510,76.9,1.1
200610,73.9,-1.9
200710,77.7,1.9
200810,78.9,3.1
200910,74.0,-1.8
201010,76.1,0.3
201110,78.0,2.2
201210,79.5,3.7
201310,74.0,-1.8
201410,79.4,3.6
201510,77.0,1.2
201610,81.0,5.2
201710,81.4,5.6
