Arizona, Maximum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189511,56.6,-6.7
189611,59.9,-3.4
189711,64.9,1.6
189811,62.8,-0.5
189911,64.6,1.3
190011,64.2,0.9
190111,66.2,2.9
190211,61.1,-2.2
190311,68.4,5.1
190411,66.6,3.3
190511,58.9,-4.4
190611,60.9,-2.4
190711,61.1,-2.2
190811,64.3,1.0
190911,64.6,1.3
191011,64.7,1.4
191111,61.0,-2.3
191211,63.2,-0.1
191311,61.7,-1.6
191411,66.4,3.1
191511,63.8,0.5
191611,63.2,-0.1
191711,68.4,5.1
191811,58.7,-4.6
191911,60.4,-2.9
192011,61.9,-1.4
192111,66.9,3.6
192211,58.6,-4.7
192311,59.8,-3.5
192411,65.9,2.6
192511,60.6,-2.7
192611,65.8,2.5
192711,66.2,2.9
192811,60.3,-3.0
192911,61.8,-1.5
193011,60.3,-3.0
193111,56.8,-6.5
193211,67.4,4.1
193311,66.8,3.5
193411,64.3,1.0
193511,60.4,-2.9
193611,62.6,-0.7
193711,67.0,3.7
193811,60.0,-3.3
193911,64.5,1.2
194011,60.1,-3.2
194111,63.9,0.6
194211,67.4,4.1
194311,66.0,2.7
194411,58.1,-5.2
194511,64.6,1.3
194611,58.7,-4.6
194711,57.1,-6.2
194811,59.8,-3.5
194911,70.8,7.5
195011,69.4,6.1
195111,60.1,-3.2
195211,57.8,-5.5
195311,66.0,2.7
195411,68.6,5.3
195511,63.5,0.2
195611,62.3,-1.0
195711,56.7,-6.6
195811,62.7,-0.6
195911,63.0,-0.3
196011,64.2,0.9
196111,58.7,-4.6
196211,67.2,3.9
196311,63.0,-0.3
196411,59.0,-4.3
196511,65.3,2.0
196611,66.2,2.9
196711,67.3,4.0
196811,62.1,-1.2
196911,61.5,-1.8
197011,65.4,2.1
197111,61.4,-1.9
197211,56.8,-6.5
197311,63.5,0.2
197411,62.3,-1.0
197511,64.0,0.7
197611,64.7,1.4
197711,66.3,3.0
197811,60.1,-3.2
197911,59.9,-3.4
198011,65.8,2.5
198111,67.3,4.0
198211,59.2,-4.1
198311,61.6,-1.7
198411,62.3,-1.0
198511,59.7,-3.6
198611,62.6,-0.7
198711,60.9,-2.4
198811,63.8,0.5
198911,66.3,3.0
199011,64.2,0.9
199111,62.0,-1.3
199211,59.4,-3.9
199311,60.5,-2.8
199411,58.2,-5.1
199511,69.9,6.6
199611,64.6,1.3
199711,64.7,1.4
199811,64.9,1.6
199911,71.6,8.3
200011,56.3,-7.0
200111,66.1,2.8
200211,65.0,1.7
200311,61.2,-2.1
200411,58.5,-4.8
200511,67.6,4.3
200611,67.7,4.4
200711,70.1,6.8
200811,67.3,4.0
200911,67.9,4.6
201011,62.4,-0.9
201111,62.3,-1.0
201211,68.9,5.6
201311,64.0,0.7
201411,66.1,2.8
201511,61.7,-1.6
201611,66.4,3.1
201711,72.4,9.1
