Arizona, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189503,64.7,1.0
189603,64.6,0.9
189703,57.2,-6.5
189803,60.1,-3.6
189903,64.5,0.8
190003,69.5,5.8
190103,63.0,-0.7
190203,59.0,-4.7
190303,62.4,-1.3
190403,66.8,3.1
190503,60.0,-3.7
190603,61.6,-2.1
190703,64.5,0.8
190803,65.5,1.8
190903,59.2,-4.5
191003,70.9,7.2
191103,65.6,1.9
191203,59.7,-4.0
191303,59.7,-4.0
191403,66.5,2.8
191503,61.3,-2.4
191603,68.0,4.3
191703,60.3,-3.4
191803,63.8,0.1
191903,59.6,-4.1
192003,59.3,-4.4
192103,67.3,3.6
192203,59.2,-4.5
192303,59.6,-4.1
192403,57.3,-6.4
192503,67.1,3.4
192603,63.2,-0.5
192703,61.4,-2.3
192803,66.0,2.3
192903,61.9,-1.8
193003,61.8,-1.9
193103,64.5,0.8
193203,63.3,-0.4
193303,65.4,1.7
193403,72.8,9.1
193503,60.0,-3.7
193603,65.4,1.7
193703,60.4,-3.3
193803,60.2,-3.5
193903,64.4,0.7
194003,67.0,3.3
194103,60.5,-3.2
194203,61.1,-2.6
194303,64.8,1.1
194403,59.8,-3.9
194503,57.9,-5.8
194603,65.1,1.4
194703,66.1,2.4
194803,56.6,-7.1
194903,62.5,-1.2
195003,65.9,2.2
195103,62.6,-1.1
195203,54.8,-8.9
195303,64.8,1.1
195403,60.8,-2.9
195503,64.4,0.7
195603,67.7,4.0
195703,63.2,-0.5
195803,55.8,-7.9
195903,66.2,2.5
196003,67.9,4.2
196103,63.2,-0.5
196203,58.0,-5.7
196303,63.0,-0.7
196403,58.9,-4.8
196503,59.3,-4.4
196603,66.2,2.5
196703,67.6,3.9
196803,63.1,-0.6
196903,59.8,-3.9
197003,60.2,-3.5
197103,67.0,3.3
197203,73.8,10.1
197303,54.4,-9.3
197403,66.4,2.7
197503,59.8,-3.9
197603,62.2,-1.5
197703,60.6,-3.1
197803,64.6,0.9
197903,60.4,-3.3
198003,59.5,-4.2
198103,61.3,-2.4
198203,61.2,-2.5
198303,59.8,-3.9
198403,66.6,2.9
198503,62.1,-1.6
198603,68.0,4.3
198703,60.7,-3.0
198803,65.9,2.2
198903,71.1,7.4
199003,65.7,2.0
199103,57.9,-5.8
199203,62.0,-1.7
199303,65.6,1.9
199403,66.8,3.1
199503,64.3,0.6
199603,66.6,2.9
199703,71.2,7.5
199803,62.3,-1.4
199903,68.8,5.1
200003,64.1,0.4
200103,65.8,2.1
200203,65.7,2.0
200303,64.1,0.4
200403,72.8,9.1
200503,62.5,-1.2
200603,61.1,-2.6
200703,69.6,5.9
200803,67.0,3.3
200903,67.6,3.9
201003,62.8,-0.9
201103,68.3,4.6
201203,67.1,3.4
201303,69.9,6.2
201403,68.3,4.6
201503,70.6,6.9
201603,70.4,6.7
201703,72.1,8.4
