Arizona, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189506,87.3,-4.0
189606,93.9,2.6
189706,88.8,-2.5
189806,91.4,0.1
189906,89.9,-1.4
190006,92.6,1.3
190106,89.0,-2.3
190206,94.2,2.9
190306,88.8,-2.5
190406,90.7,-0.6
190506,90.2,-1.1
190606,90.1,-1.2
190706,86.0,-5.3
190806,89.6,-1.7
190906,92.2,0.9
191006,92.4,1.1
191106,89.6,-1.7
191206,90.6,-0.7
191306,88.2,-3.1
191406,88.9,-2.4
191506,89.3,-2.0
191606,92.0,0.7
191706,92.3,1.0
191806,94.2,2.9
191906,92.1,0.8
192006,88.0,-3.3
192106,90.4,-0.9
192206,92.5,1.2
192306,87.7,-3.6
192406,94.3,3.0
192506,87.4,-3.9
192606,92.3,1.0
192706,88.9,-2.4
192806,90.7,-0.6
192906,91.8,0.5
193006,91.8,0.5
193106,90.2,-1.1
193206,89.4,-1.9
193306,91.4,0.1
193406,88.2,-3.1
193506,93.2,1.9
193606,94.3,3.0
193706,90.0,-1.3
193806,91.3,0.0
193906,91.9,0.6
194006,93.6,2.3
194106,87.1,-4.2
194206,91.6,0.3
194306,88.9,-2.4
194406,87.2,-4.1
194506,88.5,-2.8
194606,94.0,2.7
194706,89.0,-2.3
194806,90.4,-0.9
194906,89.4,-1.9
195006,91.2,-0.1
195106,89.8,-1.5
195206,89.9,-1.4
195306,91.9,0.6
195406,90.1,-1.2
195506,89.4,-1.9
195606,93.9,2.6
195706,92.0,0.7
195806,92.6,1.3
195906,93.9,2.6
196006,94.8,3.5
196106,94.5,3.2
196206,90.1,-1.2
196306,88.2,-3.1
196406,89.0,-2.3
196506,85.0,-6.3
196606,90.9,-0.4
196706,86.7,-4.6
196806,92.1,0.8
196906,88.7,-2.6
197006,91.2,-0.1
197106,90.6,-0.7
197206,89.5,-1.8
197306,90.8,-0.5
197406,96.4,5.1
197506,90.0,-1.3
197606,91.2,-0.1
197706,92.8,1.5
197806,93.6,2.3
197906,90.6,-0.7
198006,93.0,1.7
198106,94.5,3.2
198206,89.2,-2.1
198306,89.0,-2.3
198406,89.4,-1.9
198506,94.0,2.7
198606,92.4,1.1
198706,92.9,1.6
198806,92.0,0.7
198906,92.4,1.1
199006,95.1,3.8
199106,87.7,-3.6
199206,89.4,-1.9
199306,91.0,-0.3
199406,95.7,4.4
199506,88.6,-2.7
199606,94.8,3.5
199706,89.9,-1.4
199806,88.5,-2.8
199906,90.5,-0.8
200006,93.2,1.9
200106,94.3,3.0
200206,96.3,5.0
200306,93.0,1.7
200406,92.8,1.5
200506,90.8,-0.5
200606,96.0,4.7
200706,94.3,3.0
200806,94.4,3.1
200906,87.5,-3.8
201006,92.6,1.3
201106,93.1,1.8
201206,95.8,4.5
201306,96.6,5.3
201406,94.4,3.1
201506,94.1,2.8
201606,96.5,5.2
201706,97.0,5.7
