Arizona, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189508,90.2,-1.2
189608,88.7,-2.7
189708,91.4,0.0
189808,90.9,-0.5
189908,89.5,-1.9
190008,90.1,-1.3
190108,92.2,0.8
190208,91.2,-0.2
190308,92.9,1.5
190408,88.9,-2.5
190508,93.0,1.6
190608,88.2,-3.2
190708,89.2,-2.2
190808,89.5,-1.9
190908,88.0,-3.4
191008,92.6,1.2
191108,92.4,1.0
191208,89.0,-2.4
191308,90.7,-0.7
191408,92.0,0.6
191508,92.7,1.3
191608,88.3,-3.1
191708,91.4,0.0
191808,87.9,-3.5
191908,91.6,0.2
192008,89.0,-2.4
192108,87.6,-3.8
192208,90.9,-0.5
192308,87.1,-4.3
192408,93.2,1.8
192508,88.8,-2.6
192608,92.4,1.0
192708,89.0,-2.4
192808,90.8,-0.6
192908,89.6,-1.8
193008,90.5,-0.9
193108,89.7,-1.7
193208,92.2,0.8
193308,92.9,1.5
193408,91.1,-0.3
193508,90.1,-1.3
193608,91.6,0.2
193708,94.1,2.7
193808,92.0,0.6
193908,92.4,1.0
194008,92.8,1.4
194108,89.1,-2.3
194208,91.4,0.0
194308,89.8,-1.6
194408,94.3,2.9
194508,91.2,-0.2
194608,90.5,-0.9
194708,89.7,-1.7
194808,92.4,1.0
194908,92.5,1.1
195008,92.9,1.5
195108,90.4,-1.0
195208,92.8,1.4
195308,91.9,0.5
195408,89.8,-1.6
195508,89.0,-2.4
195608,91.0,-0.4
195708,89.8,-1.6
195808,92.8,1.4
195908,88.6,-2.8
196008,93.8,2.4
196108,90.3,-1.1
196208,95.4,4.0
196308,88.6,-2.8
196408,89.6,-1.8
196508,92.5,1.1
196608,92.3,0.9
196708,91.8,0.4
196808,87.3,-4.1
196908,94.9,3.5
197008,92.6,1.2
197108,89.4,-2.0
197208,91.1,-0.3
197308,93.0,1.6
197408,91.9,0.5
197508,93.3,1.9
197608,91.8,0.4
197708,92.4,1.0
197808,92.4,1.0
197908,90.5,-0.9
198008,92.1,0.7
198108,93.1,1.7
198208,90.5,-0.9
198308,90.2,-1.2
198408,89.3,-2.1
198508,93.6,2.2
198608,92.4,1.0
198708,90.5,-0.9
198808,90.2,-1.2
198908,91.1,-0.3
199008,89.6,-1.8
199108,91.9,0.5
199208,90.9,-0.5
199308,90.9,-0.5
199408,95.1,3.7
199508,95.2,3.8
199608,94.1,2.7
199708,92.4,1.0
199808,94.3,2.9
199908,91.2,-0.2
200008,92.7,1.3
200108,93.0,1.6
200208,94.8,3.4
200308,93.3,1.9
200408,91.8,0.4
200508,90.8,-0.6
200608,90.7,-0.7
200708,93.5,2.1
200808,92.6,1.2
200908,95.0,3.6
201008,92.1,0.7
201108,96.3,4.9
201208,93.8,2.4
201308,91.5,0.1
201408,89.4,-2.0
201508,94.2,2.8
201608,90.6,-0.8
201708,93.0,1.6
