Arizona, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189509,84.8,-1.8
189609,82.4,-4.2
189709,83.6,-3.0
189809,87.5,0.9
189909,90.6,4.0
190009,82.1,-4.5
190109,87.3,0.7
190209,86.5,-0.1
190309,83.9,-2.7
190409,84.4,-2.2
190509,86.4,-0.2
190609,85.2,-1.4
190709,86.7,0.1
190809,85.7,-0.9
190909,83.2,-3.4
191009,89.6,3.0
191109,85.6,-1.0
191209,83.6,-3.0
191309,84.0,-2.6
191409,86.9,0.3
191509,84.5,-2.1
191609,84.2,-2.4
191709,85.7,-0.9
191809,87.1,0.5
191909,83.5,-3.1
192009,84.1,-2.5
192109,86.2,-0.4
192209,88.5,1.9
192309,82.1,-4.5
192409,86.9,0.3
192509,83.7,-2.9
192609,86.2,-0.4
192709,83.5,-3.1
192809,88.6,2.0
192909,84.4,-2.2
193009,85.2,-1.4
193109,85.8,-0.8
193209,88.8,2.2
193309,88.9,2.3
193409,87.0,0.4
193509,86.1,-0.5
193609,84.4,-2.2
193709,88.6,2.0
193809,88.1,1.5
193909,83.0,-3.6
194009,84.0,-2.6
194109,83.4,-3.2
194209,88.2,1.6
194309,88.5,1.9
194409,87.1,0.5
194509,88.0,1.4
194609,87.0,0.4
194709,90.1,3.5
194809,89.4,2.8
194909,88.7,2.1
195009,85.1,-1.5
195109,89.7,3.1
195209,89.3,2.7
195309,91.4,4.8
195409,88.2,1.6
195509,89.2,2.6
195609,92.4,5.8
195709,88.4,1.8
195809,85.4,-1.2
195909,86.0,-0.6
196009,89.4,2.8
196109,83.2,-3.4
196209,87.1,0.5
196309,87.9,1.3
196409,84.1,-2.5
196509,82.9,-3.7
196609,85.6,-1.0
196709,84.8,-1.8
196809,87.1,0.5
196909,87.9,1.3
197009,84.1,-2.5
197109,86.0,-0.6
197209,85.5,-1.1
197309,87.5,0.9
197409,86.3,-0.3
197509,86.1,-0.5
197609,82.7,-3.9
197709,86.9,0.3
197809,85.6,-1.0
197909,91.2,4.6
198009,88.0,1.4
198109,86.8,0.2
198209,85.2,-1.4
198309,88.0,1.4
198409,87.0,0.4
198509,81.9,-4.7
198609,81.8,-4.8
198709,86.3,-0.3
198809,85.7,-0.9
198909,88.6,2.0
199009,86.2,-0.4
199109,86.1,-0.5
199209,88.4,1.8
199309,87.6,1.0
199409,88.0,1.4
199509,88.9,2.3
199609,83.6,-3.0
199709,87.9,1.3
199809,87.4,0.8
199909,86.7,0.1
200009,90.2,3.6
200109,91.4,4.8
200209,87.5,0.9
200309,89.6,3.0
200409,86.4,-0.2
200509,88.3,1.7
200609,83.7,-2.9
200709,87.7,1.1
200809,88.1,1.5
200909,88.6,2.0
201009,91.2,4.6
201109,89.0,2.4
201209,87.5,0.9
201309,85.6,-1.0
201409,87.2,0.6
201509,88.4,1.8
201609,85.4,-1.2
201709,86.9,0.3
