Arizona, Minimum Temperature, November
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189511,35.3,-0.4
189611,36.8,1.1
189711,35.7,0.0
189811,33.5,-2.2
189911,37.4,1.7
190011,38.0,2.3
190111,39.2,3.5
190211,36.6,0.9
190311,35.9,0.2
190411,33.6,-2.1
190511,38.7,3.0
190611,35.1,-0.6
190711,36.5,0.8
190811,35.5,-0.2
190911,34.6,-1.1
191011,38.2,2.5
191111,32.6,-3.1
191211,34.0,-1.7
191311,41.0,5.3
191411,38.8,3.1
191511,34.4,-1.3
191611,31.0,-4.7
191711,35.4,-0.3
191811,34.2,-1.5
191911,34.3,-1.4
192011,34.3,-1.4
192111,34.9,-0.8
192211,32.0,-3.7
192311,37.6,1.9
192411,34.0,-1.7
192511,34.4,-1.3
192611,36.6,0.9
192711,38.8,3.1
192811,36.3,0.6
192911,30.8,-4.9
193011,34.6,-1.1
193111,34.1,-1.6
193211,35.0,-0.7
193311,35.2,-0.5
193411,36.5,0.8
193511,32.9,-2.8
193611,35.6,-0.1
193711,35.3,-0.4
193811,28.7,-7.0
193911,38.8,3.1
194011,34.0,-1.7
194111,35.6,-0.1
194211,37.0,1.3
194311,33.6,-2.1
194411,35.3,-0.4
194511,31.9,-3.8
194611,32.9,-2.8
194711,31.7,-4.0
194811,29.7,-6.0
194911,37.4,1.7
195011,36.6,0.9
195111,35.1,-0.6
195211,32.3,-3.4
195311,36.4,0.7
195411,36.8,1.1
195511,35.1,-0.6
195611,30.1,-5.6
195711,33.2,-2.5
195811,35.0,-0.7
195911,35.8,0.1
196011,36.1,0.4
196111,34.5,-1.2
196211,38.9,3.2
196311,37.7,2.0
196411,32.6,-3.1
196511,40.0,4.3
196611,37.4,1.7
196711,38.4,2.7
196811,35.9,0.2
196911,36.9,1.2
197011,35.4,-0.3
197111,34.3,-1.4
197211,33.0,-2.7
197311,35.1,-0.6
197411,35.7,0.0
197511,33.1,-2.6
197611,35.0,-0.7
197711,37.3,1.6
197811,38.4,2.7
197911,32.5,-3.2
198011,35.2,-0.5
198111,37.5,1.8
198211,37.2,1.5
198311,36.9,1.2
198411,35.1,-0.6
198511,35.8,0.1
198611,37.4,1.7
198711,36.0,0.3
198811,36.3,0.6
198911,36.0,0.3
199011,36.4,0.7
199111,36.0,0.3
199211,32.0,-3.7
199311,33.8,-1.9
199411,32.7,-3.0
199511,40.1,4.4
199611,37.4,1.7
199711,37.3,1.6
199811,36.3,0.6
199911,38.5,2.8
200011,31.3,-4.4
200111,39.7,4.0
200211,37.5,1.8
200311,36.3,0.6
200411,36.1,0.4
200511,37.7,2.0
200611,37.9,2.2
200711,40.5,4.8
200811,39.2,3.5
200911,37.8,2.1
201011,34.2,-1.5
201111,36.4,0.7
201211,38.6,2.9
201311,38.5,2.8
201411,37.3,1.6
201511,34.8,-0.9
201611,39.8,4.1
201711,42.8,7.1
