Arizona, Minimum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189512,25.8,-3.3
189612,30.7,1.6
189712,25.2,-3.9
189812,24.2,-4.9
189912,29.7,0.6
190012,28.1,-1.0
190112,27.8,-1.3
190212,29.5,0.4
190312,26.5,-2.6
190412,29.5,0.4
190512,26.4,-2.7
190612,34.5,5.4
190712,30.0,0.9
190812,30.9,1.8
190912,25.1,-4.0
191012,31.8,2.7
191112,22.2,-6.9
191212,24.6,-4.5
191312,28.9,-0.2
191412,29.7,0.6
191512,28.7,-0.4
191612,24.5,-4.6
191712,28.9,-0.2
191812,28.1,-1.0
191912,30.5,1.4
192012,25.3,-3.8
192112,34.0,4.9
192212,32.8,3.7
192312,30.5,1.4
192412,26.3,-2.8
192512,29.3,0.2
192612,29.0,-0.1
192712,27.6,-1.5
192812,27.4,-1.7
192912,28.5,-0.6
193012,24.8,-4.3
193112,24.8,-4.3
193212,24.3,-4.8
193312,30.0,0.9
193412,31.4,2.3
193512,29.9,0.8
193612,29.5,0.4
193712,33.8,4.7
193812,31.1,2.0
193912,32.0,2.9
194012,34.6,5.5
194112,30.9,1.8
194212,31.1,2.0
194312,31.1,2.0
194412,29.3,0.2
194512,25.2,-3.9
194612,31.4,2.3
194712,26.4,-2.7
194812,29.0,-0.1
194912,26.6,-2.5
195012,31.2,2.1
195112,28.8,-0.3
195212,28.3,-0.8
195312,24.9,-4.2
195412,28.3,-0.8
195512,32.0,2.9
195612,26.6,-2.5
195712,30.8,1.7
195812,29.8,0.7
195912,31.7,2.6
196012,26.9,-2.2
196112,27.6,-1.5
196212,31.3,2.2
196312,26.3,-2.8
196412,29.8,0.7
196512,31.8,2.7
196612,28.6,-0.5
196712,25.0,-4.1
196812,24.3,-4.8
196912,31.5,2.4
197012,29.0,-0.1
197112,27.5,-1.6
197212,27.0,-2.1
197312,28.4,-0.7
197412,25.9,-3.2
197512,29.3,0.2
197612,26.4,-2.7
197712,33.9,4.8
197812,26.6,-2.5
197912,29.9,0.8
198012,33.3,4.2
198112,31.4,2.3
198212,30.1,1.0
198312,33.1,4.0
198412,31.7,2.6
198512,29.6,0.5
198612,30.7,1.6
198712,27.3,-1.8
198812,28.0,-1.1
198912,27.5,-1.6
199012,24.7,-4.4
199112,31.7,2.6
199212,27.8,-1.3
199312,28.2,-0.9
199412,31.9,2.8
199512,31.2,2.1
199612,31.0,1.9
199712,28.1,-1.0
199812,29.5,0.4
199912,28.0,-1.1
200012,30.6,1.5
200112,27.4,-1.7
200212,29.3,0.2
200312,29.7,0.6
200412,31.1,2.0
200512,29.3,0.2
200612,28.4,-0.7
200712,28.4,-0.7
200812,30.8,1.7
200912,27.1,-2.0
201012,34.5,5.4
201112,28.2,-0.9
201212,30.1,1.0
201312,28.9,-0.2
201412,33.5,4.4
201512,28.1,-1.0
201612,32.8,3.7
201712,31.7,2.6
