Arizona, Minimum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,42.6,0.6
189604,40.9,-1.1
189704,41.9,-0.1
189804,47.2,5.2
189904,42.9,0.9
190004,41.1,-0.9
190104,39.8,-2.2
190204,43.2,1.2
190304,42.1,0.1
190404,40.9,-1.1
190504,43.4,1.4
190604,42.2,0.2
190704,42.8,0.8
190804,42.1,0.1
190904,40.5,-1.5
191004,43.1,1.1
191104,41.8,-0.2
191204,39.5,-2.5
191304,40.8,-1.2
191404,43.5,1.5
191504,43.2,1.2
191604,42.7,0.7
191704,39.2,-2.8
191804,41.6,-0.4
191904,44.0,2.0
192004,38.6,-3.4
192104,38.6,-3.4
192204,38.5,-3.5
192304,41.6,-0.4
192404,40.4,-1.6
192504,42.5,0.5
192604,46.0,4.0
192704,42.0,0.0
192804,40.6,-1.4
192904,39.8,-2.2
193004,45.4,3.4
193104,44.7,2.7
193204,40.8,-1.2
193304,37.9,-4.1
193404,45.9,3.9
193504,42.6,0.6
193604,43.5,1.5
193704,40.5,-1.5
193804,41.6,-0.4
193904,44.1,2.1
194004,43.8,1.8
194104,39.2,-2.8
194204,41.4,-0.6
194304,44.2,2.2
194404,39.0,-3.0
194504,38.7,-3.3
194604,45.9,3.9
194704,41.1,-0.9
194804,42.0,0.0
194904,43.4,1.4
195004,43.6,1.6
195104,42.3,0.3
195204,42.8,0.8
195304,40.9,-1.1
195404,44.8,2.8
195504,38.1,-3.9
195604,40.9,-1.1
195704,41.2,-0.8
195804,40.7,-1.3
195904,45.0,3.0
196004,42.2,0.2
196104,42.1,0.1
196204,45.2,3.2
196304,39.5,-2.5
196404,39.8,-2.2
196504,41.1,-0.9
196604,42.4,0.4
196704,37.6,-4.4
196804,40.4,-1.6
196904,41.4,-0.6
197004,36.4,-5.6
197104,39.6,-2.4
197204,41.4,-0.6
197304,39.0,-3.0
197404,39.9,-2.1
197504,36.3,-5.7
197604,39.9,-2.1
197704,42.2,0.2
197804,41.6,-0.4
197904,40.7,-1.3
198004,41.1,-0.9
198104,45.4,3.4
198204,42.0,0.0
198304,37.9,-4.1
198404,40.2,-1.8
198504,44.6,2.6
198604,43.8,1.8
198704,44.9,2.9
198804,42.5,0.5
198904,47.1,5.1
199004,45.4,3.4
199104,39.8,-2.2
199204,45.6,3.6
199304,42.9,0.9
199404,43.3,1.3
199504,40.4,-1.6
199604,43.6,1.6
199704,42.4,0.4
199804,38.4,-3.6
199904,39.1,-2.9
200004,45.5,3.5
200104,42.8,0.8
200204,46.1,4.1
200304,40.6,-1.4
200404,44.1,2.1
200504,41.8,-0.2
200604,43.3,1.3
200704,44.2,2.2
200804,41.7,-0.3
200904,41.5,-0.5
201004,41.2,-0.8
201104,43.8,1.8
201204,44.8,2.8
201304,44.0,2.0
201404,43.8,1.8
201504,43.1,1.1
201604,43.8,1.8
201704,43.9,1.9
