Arizona, Minimum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,50.9,1.4
189605,51.3,1.8
189705,52.1,2.6
189805,49.3,-0.2
189905,44.8,-4.7
190005,52.3,2.8
190105,50.5,1.0
190205,50.1,0.6
190305,49.5,0.0
190405,50.8,1.3
190505,46.3,-3.2
190605,48.4,-1.1
190705,46.6,-2.9
190805,45.6,-3.9
190905,45.9,-3.6
191005,51.2,1.7
191105,46.5,-3.0
191205,47.7,-1.8
191305,47.3,-2.2
191405,49.8,0.3
191505,46.4,-3.1
191605,47.0,-2.5
191705,45.8,-3.7
191805,46.6,-2.9
191905,51.9,2.4
192005,48.7,-0.8
192105,47.6,-1.9
192205,48.7,-0.8
192305,50.4,0.9
192405,50.6,1.1
192505,52.5,3.0
192605,50.1,0.6
192705,49.0,-0.5
192805,53.0,3.5
192905,49.7,0.2
193005,46.1,-3.4
193105,50.8,1.3
193205,48.5,-1.0
193305,44.4,-5.1
193405,54.2,4.7
193505,47.0,-2.5
193605,51.3,1.8
193705,50.7,1.2
193805,48.8,-0.7
193905,50.4,0.9
194005,53.0,3.5
194105,50.4,0.9
194205,46.8,-2.7
194305,50.5,1.0
194405,48.6,-0.9
194505,48.6,-0.9
194605,48.7,-0.8
194705,52.6,3.1
194805,48.3,-1.2
194905,48.2,-1.3
195005,46.6,-2.9
195105,49.4,-0.1
195205,51.2,1.7
195305,44.5,-5.0
195405,51.4,1.9
195505,48.0,-1.5
195605,50.4,0.9
195705,47.1,-2.4
195805,53.3,3.8
195905,48.7,-0.8
196005,48.8,-0.7
196105,48.6,-0.9
196205,47.2,-2.3
196305,51.6,2.1
196405,48.1,-1.4
196505,46.4,-3.1
196605,51.7,2.2
196705,47.6,-1.9
196805,48.6,-0.9
196905,50.7,1.2
197005,49.7,0.2
197105,45.9,-3.6
197205,48.4,-1.1
197305,50.3,0.8
197405,50.2,0.7
197505,45.8,-3.7
197605,51.0,1.5
197705,46.4,-3.1
197805,47.9,-1.6
197905,49.7,0.2
198005,46.6,-2.9
198105,50.7,1.2
198205,49.1,-0.4
198305,47.7,-1.8
198405,53.8,4.3
198505,51.2,1.7
198605,50.3,0.8
198705,50.7,1.2
198805,49.2,-0.3
198905,51.3,1.8
199005,49.5,0.0
199105,46.9,-2.6
199205,52.9,3.4
199305,51.6,2.1
199405,49.8,0.3
199505,47.3,-2.2
199605,52.9,3.4
199705,54.6,5.1
199805,47.3,-2.2
199905,49.4,-0.1
200005,54.2,4.7
200105,54.0,4.5
200205,49.6,0.1
200305,52.0,2.5
200405,52.0,2.5
200505,51.8,2.3
200605,53.0,3.5
200705,52.5,3.0
200805,47.8,-1.7
200905,55.4,5.9
201005,46.9,-2.6
201105,47.7,-1.8
201205,52.6,3.1
201305,51.6,2.1
201405,51.0,1.5
201505,48.6,-0.9
201605,49.6,0.1
201705,50.3,0.8
