Arizona, Minimum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189507,65.6,-0.3
189607,67.2,1.3
189707,65.4,-0.5
189807,68.7,2.8
189907,67.8,1.9
190007,66.9,1.0
190107,68.6,2.7
190207,62.5,-3.4
190307,65.6,-0.3
190407,63.8,-2.1
190507,63.3,-2.6
190607,66.5,0.6
190707,65.0,-0.9
190807,65.7,-0.2
190907,65.9,0.0
191007,65.7,-0.2
191107,65.4,-0.5
191207,62.4,-3.5
191307,62.7,-3.2
191407,65.6,-0.3
191507,64.8,-1.1
191607,64.8,-1.1
191707,68.1,2.2
191807,65.4,-0.5
191907,67.2,1.3
192007,64.7,-1.2
192107,66.7,0.8
192207,66.9,1.0
192307,66.4,0.5
192407,65.2,-0.7
192507,66.9,1.0
192607,64.0,-1.9
192707,66.0,0.1
192807,65.4,-0.5
192907,67.0,1.1
193007,66.4,0.5
193107,68.4,2.5
193207,66.5,0.6
193307,68.1,2.2
193407,67.4,1.5
193507,64.4,-1.5
193607,66.6,0.7
193707,66.1,0.2
193807,64.1,-1.8
193907,66.2,0.3
194007,65.6,-0.3
194107,63.7,-2.2
194207,66.3,0.4
194307,65.4,-0.5
194407,62.7,-3.2
194507,65.8,-0.1
194607,65.7,-0.2
194707,65.1,-0.8
194807,64.1,-1.8
194907,65.5,-0.4
195007,65.1,-0.8
195107,66.5,0.6
195207,63.7,-2.2
195307,67.3,1.4
195407,66.8,0.9
195507,62.6,-3.3
195607,64.2,-1.7
195707,66.2,0.3
195807,64.8,-1.1
195907,67.7,1.8
196007,65.8,-0.1
196107,66.4,0.5
196207,64.4,-1.5
196307,66.7,0.8
196407,66.9,1.0
196507,64.9,-1.0
196607,66.1,0.2
196707,66.8,0.9
196807,64.4,-1.5
196907,66.6,0.7
197007,66.9,1.0
197107,66.7,0.8
197207,66.4,0.5
197307,64.4,-1.5
197407,64.9,-1.0
197507,65.5,-0.4
197607,65.3,-0.6
197707,66.6,0.7
197807,65.1,-0.8
197907,63.8,-2.1
198007,66.3,0.4
198107,67.4,1.5
198207,64.3,-1.6
198307,65.0,-0.9
198407,65.9,0.0
198507,66.3,0.4
198607,64.0,-1.9
198707,62.1,-3.8
198807,66.7,0.8
198907,66.8,0.9
199007,66.2,0.3
199107,64.8,-1.1
199207,63.9,-2.0
199307,63.5,-2.4
199407,66.0,0.1
199507,64.5,-1.4
199607,68.4,2.5
199707,64.0,-1.9
199807,66.8,0.9
199907,66.0,0.1
200007,66.5,0.6
200107,66.0,0.1
200207,68.0,2.1
200307,68.5,2.6
200407,65.0,-0.9
200507,66.9,1.0
200607,68.8,2.9
200707,68.0,2.1
200807,67.1,1.2
200907,68.3,2.4
201007,68.4,2.5
201107,66.8,0.9
201207,66.9,1.0
201307,68.3,2.4
201407,67.6,1.7
201507,65.4,-0.5
201607,67.9,2.0
201707,68.0,2.1
