Arizona, Minimum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189509,58.2,0.3
189609,60.7,2.8
189709,60.9,3.0
189809,58.5,0.6
189909,59.6,1.7
190009,54.4,-3.5
190109,55.5,-2.4
190209,57.7,-0.2
190309,57.8,-0.1
190409,57.4,-0.5
190509,59.0,1.1
190609,55.4,-2.5
190709,56.3,-1.6
190809,55.6,-2.3
190909,56.9,-1.0
191009,59.8,1.9
191109,59.7,1.8
191209,51.2,-6.7
191309,56.1,-1.8
191409,59.0,1.1
191509,55.6,-2.3
191609,56.4,-1.5
191709,59.0,1.1
191809,58.2,0.3
191909,59.0,1.1
192009,55.3,-2.6
192109,56.8,-1.1
192209,59.6,1.7
192309,55.2,-2.7
192409,57.4,-0.5
192509,55.3,-2.6
192609,58.8,0.9
192709,57.8,-0.1
192809,57.8,-0.1
192909,58.7,0.8
193009,55.2,-2.7
193109,59.4,1.5
193209,57.5,-0.4
193309,60.9,3.0
193409,56.5,-1.4
193509,57.7,-0.2
193609,57.2,-0.7
193709,60.6,2.7
193809,59.4,1.5
193909,59.6,1.7
194009,59.8,1.9
194109,54.2,-3.7
194209,55.9,-2.0
194309,58.4,0.5
194409,57.6,-0.3
194509,57.4,-0.5
194609,59.0,1.1
194709,59.7,1.8
194809,57.8,-0.1
194909,60.2,2.3
195009,54.0,-3.9
195109,56.3,-1.6
195209,58.3,0.4
195309,55.6,-2.3
195409,58.6,0.7
195509,56.0,-1.9
195609,58.6,0.7
195709,55.6,-2.3
195809,59.0,1.1
195909,56.2,-1.7
196009,59.1,1.2
196109,55.0,-2.9
196209,59.7,1.8
196309,59.8,1.9
196409,56.7,-1.2
196509,54.3,-3.6
196609,58.7,0.8
196709,58.5,0.6
196809,55.3,-2.6
196909,59.3,1.4
197009,55.1,-2.8
197109,56.3,-1.6
197209,56.9,-1.0
197309,54.2,-3.7
197409,58.0,0.1
197509,57.9,0.0
197609,57.0,-0.9
197709,59.2,1.3
197809,57.2,-0.7
197909,59.3,1.4
198009,57.1,-0.8
198109,58.9,1.0
198209,58.8,0.9
198309,61.6,3.7
198409,59.8,1.9
198509,53.5,-4.4
198609,54.3,-3.6
198709,56.3,-1.6
198809,55.0,-2.9
198909,57.6,-0.3
199009,60.1,2.2
199109,58.4,0.5
199209,58.3,0.4
199309,55.9,-2.0
199409,59.4,1.5
199509,60.4,2.5
199609,57.0,-0.9
199709,62.1,4.2
199809,59.7,1.8
199909,58.5,0.6
200009,59.6,1.7
200109,59.9,2.0
200209,59.6,1.7
200309,59.9,2.0
200409,57.2,-0.7
200509,58.5,0.6
200609,55.8,-2.1
200709,59.8,1.9
200809,59.0,1.1
200909,59.5,1.6
201009,59.7,1.8
201109,60.2,2.3
201209,59.8,1.9
201309,59.1,1.2
201409,61.2,3.3
201509,61.6,3.7
201609,57.8,-0.1
201709,58.0,0.1
