Arizona, Palmer Drought Severity Index (PDSI), November
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189511,2.06,2.34
189611,1.92,2.20
189711,-0.61,-0.33
189811,-2.41,-2.13
189911,-2.64,-2.36
190011,-3.50,-3.22
190111,-3.31,-3.03
190211,-4.15,-3.87
190311,-2.80,-2.52
190411,-3.65,-3.37
190511,6.67,6.95
190611,4.39,4.67
190711,4.69,4.97
190811,1.51,1.79
190911,0.00,0.28
191011,0.72,1.00
191111,-0.53,-0.25
191211,-0.56,-0.28
191311,-0.18,0.10
191411,0.70,0.98
191511,3.49,3.77
191611,4.03,4.31
191711,-1.93,-1.65
191811,0.43,0.71
191911,4.49,4.77
192011,-0.46,-0.18
192111,0.91,1.19
192211,-0.32,-0.04
192311,1.95,2.23
192411,-1.93,-1.65
192511,-0.05,0.23
192611,-0.87,-0.59
192711,-0.69,-0.41
192811,-1.98,-1.70
192911,-0.86,-0.58
193011,0.88,1.16
193111,3.06,3.34
193211,-1.15,-0.87
193311,-0.19,0.09
193411,-0.01,0.27
193511,-0.39,-0.11
193611,0.08,0.36
193711,-1.40,-1.12
193811,-1.70,-1.42
193911,-0.16,0.12
194011,1.75,2.03
194111,6.84,7.12
194211,-1.93,-1.65
194311,-0.76,-0.48
194411,0.74,1.02
194511,-1.23,-0.95
194611,1.57,1.85
194711,-2.30,-2.02
194811,-2.24,-1.96
194911,-0.69,-0.41
195011,-3.51,-3.23
195111,1.17,1.45
195211,-0.07,0.21
195311,-1.99,-1.71
195411,-1.97,-1.69
195511,-1.65,-1.37
195611,-4.65,-4.37
195711,1.59,1.87
195811,-0.12,0.16
195911,0.69,0.97
196011,-0.94,-0.66
196111,0.46,0.74
196211,-1.29,-1.01
196311,-0.88,-0.60
196411,0.32,0.60
196511,1.70,1.98
196611,-0.38,-0.10
196711,-0.67,-0.39
196811,-0.93,-0.65
196911,0.44,0.72
197011,-0.60,-0.32
197111,1.63,1.91
197211,3.10,3.38
197311,-1.89,-1.61
197411,-1.73,-1.45
197511,-1.41,-1.13
197611,-0.40,-0.12
197711,-2.04,-1.76
197811,3.68,3.96
197911,3.11,3.39
198011,-1.60,-1.32
198111,-1.39,-1.11
198211,1.53,1.81
198311,6.41,6.69
198411,2.20,2.48
198511,3.94,4.22
198611,0.95,1.23
198711,0.94,1.22
198811,-0.72,-0.44
198911,-4.16,-3.88
199011,0.86,1.14
199111,0.29,0.57
199211,2.85,3.13
199311,0.84,1.12
199411,0.64,0.92
199511,-1.78,-1.50
199611,-3.49,-3.21
199711,0.15,0.43
199811,0.41,0.69
199911,-1.73,-1.45
200011,2.23,2.51
200111,-2.22,-1.94
200211,-4.45,-4.17
200311,-3.36,-3.08
200411,1.84,2.12
200511,-1.52,-1.24
200611,-2.84,-2.56
200711,-4.29,-4.01
200811,-1.59,-1.31
200911,-4.56,-4.28
201011,-0.92,-0.64
201111,-2.74,-2.46
201211,-3.90,-3.62
201311,-1.16,-0.88
201411,-2.68,-2.40
201511,-0.03,0.25
201611,-2.34,-2.06
201711,-3.18,-2.90
