Arizona, Palmer Drought Severity Index (PDSI), March
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189503,1.09,1.30
189603,-1.61,-1.40
189703,0.03,0.24
189803,-0.97,-0.76
189903,-2.20,-1.99
190003,-4.61,-4.40
190103,-2.42,-2.21
190203,-3.82,-3.61
190303,-2.83,-2.62
190403,-4.52,-4.31
190503,4.58,4.79
190603,5.58,5.79
190703,4.76,4.97
190803,2.82,3.03
190903,2.47,2.68
191003,-1.10,-0.89
191103,0.95,1.16
191203,1.02,1.23
191303,-0.28,-0.07
191403,-0.44,-0.23
191503,3.20,3.41
191603,4.59,4.80
191703,2.86,3.07
191803,0.50,0.71
191903,0.95,1.16
192003,4.80,5.01
192103,-2.32,-2.11
192203,1.38,1.59
192303,-0.98,-0.77
192403,0.48,0.69
192503,-2.17,-1.96
192603,0.24,0.45
192703,0.99,1.20
192803,-0.91,-0.70
192903,-2.09,-1.88
193003,0.47,0.68
193103,0.85,1.06
193203,3.25,3.46
193303,0.40,0.61
193403,-2.95,-2.74
193503,1.48,1.69
193603,-0.48,-0.27
193703,1.77,1.98
193803,1.01,1.22
193903,-0.71,-0.50
194003,-1.36,-1.15
194103,4.63,4.84
194203,-0.42,-0.21
194303,-1.63,-1.42
194403,0.90,1.11
194503,0.93,1.14
194603,-1.62,-1.41
194703,-2.04,-1.83
194803,-1.64,-1.43
194903,1.23,1.44
195003,-1.40,-1.19
195103,-3.65,-3.44
195203,2.24,2.45
195303,-0.91,-0.70
195403,-1.48,-1.27
195503,-2.01,-1.80
195603,-2.83,-2.62
195703,0.12,0.33
195803,1.23,1.44
195903,-2.08,-1.87
196003,-0.42,-0.21
196103,-1.88,-1.67
196203,0.04,0.25
196303,-1.61,-1.40
196403,-1.86,-1.65
196503,0.61,0.82
196603,2.97,3.18
196703,-1.83,-1.62
196803,1.11,1.32
196903,0.37,0.58
197003,0.77,0.98
197103,-2.35,-2.14
197203,-2.78,-2.57
197303,4.85,5.06
197403,-2.38,-2.17
197503,-1.57,-1.36
197603,-1.64,-1.43
197703,-1.54,-1.33
197803,2.78,2.99
197903,6.00,6.21
198003,4.41,4.62
198103,-2.09,-1.88
198203,0.86,1.07
198303,3.58,3.79
198403,-1.59,-1.38
198503,3.23,3.44
198603,-0.84,-0.63
198703,-0.05,0.16
198803,-0.69,-0.48
198903,-1.79,-1.58
199003,-3.64,-3.43
199103,1.89,2.10
199203,2.56,2.77
199303,7.00,7.21
199403,-0.96,-0.75
199503,2.18,2.39
199603,-3.63,-3.42
199703,-3.52,-3.31
199803,2.05,2.26
199903,-2.98,-2.77
200003,-2.97,-2.76
200103,1.33,1.54
200203,-3.76,-3.55
200303,-3.18,-2.97
200403,-3.55,-3.34
200503,3.95,4.16
200603,-3.26,-3.05
200703,-3.50,-3.29
200803,-2.09,-1.88
200903,-1.99,-1.78
201003,1.81,2.02
201103,-1.80,-1.59
201203,-3.11,-2.90
201303,-3.09,-2.88
201403,-3.40,-3.19
201503,-2.40,-2.19
201603,-2.06,-1.85
201703,-1.31,-1.10
