Arizona, Palmer Drought Severity Index (PDSI), April
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189504,1.09,1.30
189604,-1.94,-1.73
189704,-0.08,0.13
189804,-1.25,-1.04
189904,-2.58,-2.37
190004,-3.53,-3.32
190104,-2.40,-2.19
190204,-4.38,-4.17
190304,-2.45,-2.24
190404,-5.03,-4.82
190504,5.76,5.97
190604,5.66,5.87
190704,4.69,4.90
190804,2.58,2.79
190904,2.31,2.52
191004,-1.49,-1.28
191104,0.82,1.03
191204,1.66,1.87
191304,-0.30,-0.09
191404,-0.70,-0.49
191504,4.13,4.34
191604,4.42,4.63
191704,3.39,3.60
191804,-0.11,0.10
191904,1.11,1.32
192004,4.61,4.82
192104,-2.62,-2.41
192204,1.68,1.89
192304,-0.68,-0.47
192404,0.89,1.10
192504,-2.07,-1.86
192604,1.60,1.81
192704,1.21,1.42
192804,-1.23,-1.02
192904,-1.83,-1.62
193004,0.33,0.54
193104,1.21,1.42
193204,3.20,3.41
193304,0.59,0.80
193404,-3.42,-3.21
193504,1.60,1.81
193604,-0.86,-0.65
193704,1.66,1.87
193804,0.86,1.07
193904,-0.63,-0.42
194004,-1.56,-1.35
194104,5.81,6.02
194204,0.52,0.73
194304,-1.71,-1.50
194404,1.36,1.57
194504,0.91,1.12
194604,-1.86,-1.65
194704,-2.68,-2.47
194804,-1.68,-1.47
194904,1.18,1.39
195004,-2.12,-1.91
195104,-2.78,-2.57
195204,3.23,3.44
195304,-0.79,-0.58
195404,-1.81,-1.60
195504,-2.29,-2.08
195604,-3.13,-2.92
195704,0.01,0.22
195804,1.75,1.96
195904,-2.77,-2.56
196004,-0.61,-0.40
196104,-2.23,-2.02
196204,-0.29,-0.08
196304,-1.49,-1.28
196404,-1.41,-1.20
196504,1.61,1.82
196604,2.75,2.96
196704,-1.98,-1.77
196804,1.32,1.53
196904,0.18,0.39
197004,0.97,1.18
197104,-2.72,-2.51
197204,-3.39,-3.18
197304,4.71,4.92
197404,-2.70,-2.49
197504,-0.76,-0.55
197604,-1.08,-0.87
197704,-1.91,-1.70
197804,2.96,3.17
197904,5.63,5.84
198004,4.45,4.66
198104,-2.10,-1.89
198204,0.76,0.97
198304,3.76,3.97
198404,-1.74,-1.53
198504,3.59,3.80
198604,-0.88,-0.67
198704,-0.14,0.07
198804,0.93,1.14
198904,-2.95,-2.74
199004,-3.58,-3.37
199104,1.66,1.87
199204,2.59,2.80
199304,6.43,6.64
199404,-0.91,-0.70
199504,2.44,2.65
199604,-4.36,-4.15
199704,-3.35,-3.14
199804,2.35,2.56
199904,-2.37,-2.16
200004,-3.54,-3.33
200104,1.62,1.83
200204,-4.54,-4.33
200304,-2.90,-2.69
200404,-3.13,-2.92
200504,4.17,4.38
200604,-3.55,-3.34
200704,-4.07,-3.86
200804,-2.29,-2.08
200904,-2.37,-2.16
201004,1.80,2.01
201104,-2.30,-2.09
201204,-3.67,-3.46
201304,-3.46,-3.25
201404,-3.96,-3.75
201504,-2.67,-2.46
201604,-2.24,-2.03
201704,-1.67,-1.46
