Arizona, Palmer Drought Severity Index (PDSI), May
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189505,1.89,2.07
189605,-2.37,-2.19
189705,-0.02,0.16
189805,-1.32,-1.14
189905,-2.77,-2.59
190005,-3.84,-3.66
190105,-2.20,-2.02
190205,-4.57,-4.39
190305,-2.34,-2.16
190405,-5.12,-4.94
190505,6.54,6.72
190605,6.04,6.22
190705,5.27,5.45
190805,2.29,2.47
190905,2.37,2.55
191005,-1.90,-1.72
191105,0.68,0.86
191205,1.57,1.75
191305,-0.46,-0.28
191405,-0.75,-0.57
191505,5.03,5.21
191605,4.69,4.87
191705,3.82,4.00
191805,-0.41,-0.23
191905,1.51,1.69
192005,5.42,5.60
192105,-2.83,-2.65
192205,1.89,2.07
192305,-1.19,-1.01
192405,1.04,1.22
192505,-2.52,-2.34
192605,1.85,2.03
192705,1.41,1.59
192805,-1.17,-0.99
192905,-2.21,-2.03
193005,0.48,0.66
193105,1.36,1.54
193205,3.69,3.87
193305,0.76,0.94
193405,-3.74,-3.56
193505,2.12,2.30
193605,-1.24,-1.06
193705,2.15,2.33
193805,0.76,0.94
193905,-0.75,-0.57
194005,-2.05,-1.87
194105,7.07,7.25
194205,-0.28,-0.10
194305,-2.18,-2.00
194405,1.78,1.96
194505,0.87,1.05
194605,-2.26,-2.08
194705,-2.88,-2.70
194805,-1.94,-1.76
194905,1.45,1.63
195005,-2.56,-2.38
195105,-3.00,-2.82
195205,3.74,3.92
195305,-1.01,-0.83
195405,-1.93,-1.75
195505,-2.48,-2.30
195605,-3.69,-3.51
195705,0.35,0.53
195805,2.01,2.19
195905,-3.26,-3.08
196005,-0.38,-0.20
196105,-2.85,-2.67
196205,-0.33,-0.15
196305,-2.23,-2.05
196405,-2.02,-1.84
196505,2.20,2.38
196605,3.12,3.30
196705,-2.25,-2.07
196805,1.43,1.61
196905,0.41,0.59
197005,-0.59,-0.41
197105,-2.92,-2.74
197205,-3.74,-3.56
197305,5.94,6.12
197405,-3.23,-3.05
197505,-0.72,-0.54
197605,-1.00,-0.82
197705,-2.10,-1.92
197805,3.79,3.97
197905,6.78,6.96
198005,4.92,5.10
198105,-2.23,-2.05
198205,1.11,1.29
198305,4.61,4.79
198405,-2.46,-2.28
198505,3.89,4.07
198605,-1.25,-1.07
198705,0.23,0.41
198805,0.78,0.96
198905,-3.39,-3.21
199005,-3.68,-3.50
199105,1.73,1.91
199205,4.22,4.40
199305,6.98,7.16
199405,-1.13,-0.95
199505,3.01,3.19
199605,-4.96,-4.78
199705,-3.55,-3.37
199805,2.93,3.11
199905,-2.89,-2.71
200005,-4.35,-4.17
200105,1.56,1.74
200205,-5.05,-4.87
200305,-3.22,-3.04
200405,-3.67,-3.49
200505,5.09,5.27
200605,-4.28,-4.10
200705,-4.48,-4.30
200805,-1.63,-1.45
200905,-2.44,-2.26
201005,2.02,2.20
201105,-2.54,-2.36
201205,-4.24,-4.06
201305,-3.69,-3.51
201405,-4.48,-4.30
201505,0.25,0.43
201605,-2.40,-2.22
201705,-1.48,-1.30
