Arizona, Palmer Drought Severity Index (PDSI), June
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189506,2.26,2.44
189606,-2.84,-2.66
189706,-0.22,-0.04
189806,-1.18,-1.00
189906,-2.49,-2.31
190006,-4.36,-4.18
190106,-2.30,-2.12
190206,-5.04,-4.86
190306,-1.86,-1.68
190406,-5.45,-5.27
190506,8.19,8.37
190606,6.27,6.45
190706,5.77,5.95
190806,1.86,2.04
190906,2.57,2.75
191006,-2.02,-1.84
191106,1.02,1.20
191206,1.41,1.59
191306,-0.56,-0.38
191406,0.18,0.36
191506,6.54,6.72
191606,4.85,5.03
191706,3.81,3.99
191806,0.12,0.30
191906,1.52,1.70
192006,6.31,6.49
192106,-3.17,-2.99
192206,2.19,2.37
192306,-1.70,-1.52
192406,1.00,1.18
192506,-2.24,-2.06
192606,-0.61,-0.43
192706,2.11,2.29
192806,-1.55,-1.37
192906,-2.66,-2.48
193006,0.29,0.47
193106,1.67,1.85
193206,4.22,4.40
193306,1.29,1.47
193406,-3.99,-3.81
193506,2.55,2.73
193606,-1.62,-1.44
193706,2.54,2.72
193806,1.09,1.27
193906,-1.00,-0.82
194006,-2.19,-2.01
194106,8.30,8.48
194206,-0.57,-0.39
194306,-2.39,-2.21
194406,1.82,2.00
194506,0.78,0.96
194606,-2.75,-2.57
194706,-3.28,-3.10
194806,-1.96,-1.78
194906,2.12,2.30
195006,-2.78,-2.60
195106,-3.50,-3.32
195206,4.41,4.59
195306,-1.20,-1.02
195406,-1.89,-1.71
195506,0.09,0.27
195606,-4.06,-3.88
195706,0.43,0.61
195806,1.99,2.17
195906,-3.66,-3.48
196006,-0.28,-0.10
196106,-3.46,-3.28
196206,-0.18,0.00
196306,-2.72,-2.54
196406,-2.50,-2.32
196506,2.47,2.65
196606,3.28,3.46
196706,-2.27,-2.09
196806,1.58,1.76
196906,0.19,0.37
197006,-1.07,-0.89
197106,-3.49,-3.31
197206,-3.32,-3.14
197306,7.01,7.19
197406,-3.83,-3.65
197506,-1.17,-0.99
197606,-1.48,-1.30
197706,-2.52,-2.34
197806,4.52,4.70
197906,7.79,7.97
198006,5.61,5.79
198106,-2.59,-2.41
198206,0.89,1.07
198306,5.42,5.60
198406,-2.60,-2.42
198506,3.93,4.11
198606,-1.50,-1.32
198706,0.27,0.45
198806,0.96,1.14
198906,-3.92,-3.74
199006,-3.99,-3.81
199106,2.00,2.18
199206,4.91,5.09
199306,7.01,7.19
199406,-1.73,-1.55
199506,3.59,3.77
199606,-5.28,-5.10
199706,-3.68,-3.50
199806,3.43,3.61
199906,-3.19,-3.01
200006,-4.31,-4.13
200106,-0.21,-0.03
200206,-5.61,-5.43
200306,-3.58,-3.40
200406,-4.07,-3.89
200506,5.43,5.61
200606,-4.65,-4.47
200706,-4.94,-4.76
200806,-1.30,-1.12
200906,-2.58,-2.40
201006,2.32,2.50
201106,-3.09,-2.91
201206,-4.75,-4.57
201306,-4.07,-3.89
201406,-5.06,-4.88
201506,0.33,0.51
201606,-2.77,-2.59
201706,-1.67,-1.49
