Arizona, Palmer Drought Severity Index (PDSI), July
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189507,1.71,1.82
189607,1.05,1.16
189707,-0.72,-0.61
189807,-1.11,-1.00
189907,-2.36,-2.25
190007,-5.06,-4.95
190107,-2.46,-2.35
190207,-5.56,-5.45
190307,-2.18,-2.07
190407,-4.72,-4.61
190507,7.44,7.55
190607,6.20,6.31
190707,5.68,5.79
190807,2.60,2.71
190907,2.76,2.87
191007,-1.78,-1.67
191107,2.48,2.59
191207,2.46,2.57
191307,-0.33,-0.22
191407,1.44,1.55
191507,7.29,7.40
191607,5.03,5.14
191707,4.58,4.69
191807,0.29,0.40
191907,3.76,3.87
192007,-0.20,-0.09
192107,1.56,1.67
192207,2.01,2.12
192307,0.43,0.54
192407,-0.10,0.01
192507,-2.18,-2.07
192607,-0.78,-0.67
192707,1.95,2.06
192807,-1.83,-1.72
192907,0.63,0.74
193007,0.97,1.08
193107,1.65,1.76
193207,4.55,4.66
193307,1.28,1.39
193407,-4.44,-4.33
193507,1.95,2.06
193607,0.26,0.37
193707,2.33,2.44
193807,-0.43,-0.32
193907,-1.59,-1.48
194007,-2.97,-2.86
194107,8.17,8.28
194207,-1.02,-0.91
194307,-3.13,-3.02
194407,-0.44,-0.33
194507,1.01,1.12
194607,0.22,0.33
194707,-3.93,-3.82
194807,-2.13,-2.02
194907,2.15,2.26
195007,-1.56,-1.45
195107,-3.58,-3.47
195207,4.17,4.28
195307,1.04,1.15
195407,-1.14,-1.03
195507,1.20,1.31
195607,-3.69,-3.58
195707,0.40,0.51
195807,1.25,1.36
195907,-3.51,-3.40
196007,-1.07,-0.96
196107,-3.41,-3.30
196207,-0.69,-0.58
196307,-3.43,-3.32
196407,0.24,0.35
196507,2.77,2.88
196607,3.12,3.23
196707,0.68,0.79
196807,2.04,2.15
196907,0.42,0.53
197007,-1.21,-1.10
197107,-3.84,-3.73
197207,-3.70,-3.59
197307,6.37,6.48
197407,-3.05,-2.94
197507,-0.75,-0.64
197607,-0.77,-0.66
197707,-2.37,-2.26
197807,3.67,3.78
197907,6.81,6.92
198007,-0.09,0.02
198107,-2.23,-2.12
198207,0.63,0.74
198307,5.46,5.57
198407,1.42,1.53
198507,3.66,3.77
198607,0.24,0.35
198707,-0.35,-0.24
198807,0.72,0.83
198907,-3.88,-3.77
199007,0.91,1.02
199107,-0.51,-0.40
199207,4.79,4.90
199307,-0.96,-0.85
199407,-2.45,-2.34
199507,-0.63,-0.52
199607,-5.03,-4.92
199707,-4.22,-4.11
199807,3.94,4.05
199907,1.36,1.47
200007,-5.15,-5.04
200107,-0.50,-0.39
200207,-5.67,-5.56
200307,-3.93,-3.82
200407,-4.31,-4.20
200507,-0.49,-0.38
200607,-3.77,-3.66
200707,-4.21,-4.10
200807,-0.75,-0.64
200907,-3.11,-3.00
201007,2.29,2.40
201107,-2.91,-2.80
201207,-3.71,-3.60
201307,-3.01,-2.90
201407,-4.65,-4.54
201507,0.42,0.53
201607,-3.04,-2.93
201707,-0.63,-0.52
