Arizona, Palmer Drought Severity Index (PDSI), September
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189509,1.17,1.35
189609,1.07,1.25
189709,0.96,1.14
189809,-1.90,-1.72
189909,-2.78,-2.60
190009,-4.52,-4.34
190109,-3.18,-3.00
190209,-5.06,-4.88
190309,-1.82,-1.64
190409,-3.33,-3.15
190509,6.10,6.28
190609,5.35,5.53
190709,4.66,4.84
190809,2.33,2.51
190909,3.79,3.97
191009,-2.53,-2.35
191109,2.47,2.65
191209,1.33,1.51
191309,-0.66,-0.48
191409,-0.76,-0.58
191509,5.08,5.26
191609,4.61,4.79
191709,-0.59,-0.41
191809,-0.63,-0.45
191909,3.76,3.94
192009,-0.39,-0.21
192109,1.75,1.93
192209,-0.37,-0.19
192309,1.50,1.68
192409,-1.41,-1.23
192509,0.62,0.80
192609,0.77,0.95
192709,3.01,3.19
192809,-2.54,-2.36
192909,1.39,1.57
193009,0.64,0.82
193109,2.32,2.50
193209,-0.72,-0.54
193309,-0.39,-0.21
193409,-3.69,-3.51
193509,2.65,2.83
193609,0.23,0.41
193709,-0.27,-0.09
193809,-0.94,-0.76
193909,1.52,1.70
194009,1.29,1.47
194109,7.62,7.80
194209,-1.53,-1.35
194309,0.64,0.82
194409,-0.91,-0.73
194509,-0.86,-0.68
194609,1.21,1.39
194709,-3.21,-3.03
194809,-2.44,-2.26
194909,-0.34,-0.16
195009,-2.38,-2.20
195109,0.87,1.05
195209,-0.29,-0.11
195309,-1.29,-1.11
195409,-0.94,-0.76
195509,-0.95,-0.77
195609,-4.77,-4.59
195709,-0.96,-0.78
195809,2.05,2.23
195909,-0.75,-0.57
196009,-1.69,-1.51
196109,0.55,0.73
196209,-1.13,-0.95
196309,-1.44,-1.26
196409,0.97,1.15
196509,2.03,2.21
196609,2.78,2.96
196709,1.15,1.33
196809,-0.86,-0.68
196909,0.10,0.28
197009,0.70,0.88
197109,1.31,1.49
197209,-3.44,-3.26
197309,-1.54,-1.36
197409,-3.09,-2.91
197509,-1.32,-1.14
197609,1.05,1.23
197709,-2.06,-1.88
197809,2.00,2.18
197909,4.51,4.69
198009,-0.77,-0.59
198109,-2.15,-1.97
198209,1.31,1.49
198309,6.86,7.04
198409,2.27,2.45
198509,2.85,3.03
198609,0.50,0.68
198709,-0.64,-0.46
198809,-0.50,-0.32
198909,-4.33,-4.15
199009,1.63,1.81
199109,-0.85,-0.67
199209,4.16,4.34
199309,-0.92,-0.74
199409,0.09,0.27
199509,-0.75,-0.57
199609,-4.04,-3.86
199709,0.70,0.88
199809,0.16,0.34
199909,1.85,2.03
200009,-5.01,-4.83
200109,-1.39,-1.21
200209,-5.07,-4.89
200309,-3.70,-3.52
200409,0.32,0.50
200509,-0.87,-0.69
200609,-2.86,-2.68
200709,-3.95,-3.77
200809,-1.10,-0.92
200909,-4.17,-3.99
201009,-0.89,-0.71
201109,-3.15,-2.97
201209,-3.23,-3.05
201309,-1.74,-1.56
201409,-2.00,-1.82
201509,0.22,0.40
201609,-2.00,-1.82
201709,-1.63,-1.45
