Arizona, Palmer Hydrological Drought Index (PHDI), January
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,1.67,1.80
189601,0.87,1.00
189701,2.22,2.35
189801,-0.22,-0.09
189901,-1.67,-1.54
190001,-3.70,-3.57
190101,-3.55,-3.42
190201,-3.69,-3.56
190301,-3.74,-3.61
190401,-3.54,-3.41
190501,-2.19,-2.06
190601,5.74,5.87
190701,5.89,6.02
190801,2.86,2.99
190901,2.22,2.35
191001,2.49,2.62
191101,-1.30,-1.17
191201,0.74,0.87
191301,0.70,0.83
191401,-0.18,-0.05
191501,2.88,3.01
191601,5.74,5.87
191701,3.99,4.12
191801,-2.05,-1.92
191901,0.57,0.70
192001,4.04,4.17
192101,1.93,2.06
192201,1.56,1.69
192301,-1.08,-0.95
192401,2.14,2.27
192501,-1.62,-1.49
192601,-0.80,-0.67
192701,-0.51,-0.38
192801,1.04,1.17
192901,-1.98,-1.85
193001,-1.00,-0.87
193101,-0.86,-0.73
193201,3.01,3.14
193301,2.60,2.73
193401,-1.40,-1.27
193501,-2.31,-2.18
193601,0.92,1.05
193701,1.03,1.16
193801,-1.72,-1.59
193901,-0.99,-0.86
194001,-1.17,-1.04
194101,3.16,3.29
194201,5.54,5.67
194301,-1.50,-1.37
194401,-1.93,-1.80
194501,0.60,0.73
194601,-0.98,-0.85
194701,0.59,0.72
194801,-2.44,-2.31
194901,1.67,1.80
195001,-0.91,-0.78
195101,-3.63,-3.50
195201,1.85,1.98
195301,1.51,1.64
195401,-2.15,-2.02
195501,-1.56,-1.43
195601,-2.23,-2.10
195701,-3.34,-3.21
195801,-1.03,-0.90
195901,-1.70,-1.57
196001,1.90,2.03
196101,-1.38,-1.25
196201,-0.74,-0.61
196301,-1.53,-1.40
196401,-1.77,-1.64
196501,-0.92,-0.79
196601,3.46,3.59
196701,1.17,1.30
196801,1.40,1.53
196901,0.23,0.36
197001,-1.06,-0.93
197101,-1.48,-1.35
197201,0.79,0.92
197301,2.94,3.07
197401,1.46,1.59
197501,-2.08,-1.95
197601,-2.05,-1.92
197701,-0.75,-0.62
197801,-0.92,-0.79
197901,6.07,6.20
198001,3.05,3.18
198101,-2.55,-2.42
198201,-1.65,-1.52
198301,2.32,2.45
198401,4.81,4.94
198501,3.55,3.68
198601,1.98,2.11
198701,0.92,1.05
198801,1.16,1.29
198901,-0.82,-0.69
199001,-4.06,-3.93
199101,-0.96,-0.83
199201,0.98,1.11
199301,6.42,6.55
199401,2.19,2.32
199501,2.03,2.16
199601,-2.92,-2.79
199701,-3.09,-2.96
199801,-2.07,-1.94
199901,0.69,0.82
200001,-2.97,-2.84
200101,-1.57,-1.44
200201,-2.69,-2.56
200301,-4.69,-4.56
200401,-3.48,-3.35
200501,2.92,3.05
200601,-2.87,-2.74
200701,-3.03,-2.90
200801,-2.08,-1.95
200901,-1.43,-1.30
201001,-2.08,-1.95
201101,-1.39,-1.26
201201,-2.68,-2.55
201301,-2.82,-2.69
201401,-2.25,-2.12
201501,-1.78,-1.65
201601,-0.25,-0.12
201701,-0.80,-0.67
201801,-4.09,-3.96
