Arizona, Palmer Hydrological Drought Index (PHDI), November
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189511,2.06,2.20
189611,1.92,2.06
189711,-0.61,-0.47
189811,-2.41,-2.27
189911,-2.64,-2.50
190011,-3.50,-3.36
190111,-3.31,-3.17
190211,-4.15,-4.01
190311,-2.80,-2.66
190411,-3.65,-3.51
190511,6.67,6.81
190611,4.39,4.53
190711,4.69,4.83
190811,1.51,1.65
190911,2.39,2.53
191011,-1.67,-1.53
191111,2.25,2.39
191211,1.47,1.61
191311,-0.18,-0.04
191411,0.70,0.84
191511,3.49,3.63
191611,4.03,4.17
191711,1.03,1.17
191811,-0.83,-0.69
191911,4.49,4.63
192011,3.39,3.53
192111,0.91,1.05
192211,1.18,1.32
192311,1.95,2.09
192411,-1.93,-1.79
192511,1.32,1.46
192611,-1.35,-1.21
192711,1.73,1.87
192811,-1.98,-1.84
192911,-0.86,-0.72
193011,0.88,1.02
193111,3.06,3.20
193211,1.80,1.94
193311,1.13,1.27
193411,-3.66,-3.52
193511,1.75,1.89
193611,-0.86,-0.72
193711,-1.40,-1.26
193811,-1.70,-1.56
193911,1.06,1.20
194011,1.75,1.89
194111,6.84,6.98
194211,-1.93,-1.79
194311,-2.27,-2.13
194411,0.74,0.88
194511,-1.23,-1.09
194611,1.57,1.71
194711,-2.30,-2.16
194811,-2.24,-2.10
194911,0.70,0.84
195011,-3.51,-3.37
195111,-1.14,-1.00
195211,2.64,2.78
195311,-1.99,-1.85
195411,-1.97,-1.83
195511,-1.65,-1.51
195611,-4.65,-4.51
195711,1.59,1.73
195811,1.53,1.67
195911,-1.59,-1.45
196011,-0.94,-0.80
196111,-1.75,-1.61
196211,-1.29,-1.15
196311,-0.88,-0.74
196411,-1.14,-1.00
196511,1.70,1.84
196611,1.86,2.00
196711,-0.67,-0.53
196811,-0.93,-0.79
196911,0.44,0.58
197011,-0.60,-0.46
197111,-0.86,-0.72
197211,3.10,3.24
197311,2.23,2.37
197411,-1.73,-1.59
197511,-1.41,-1.27
197611,-0.40,-0.26
197711,-2.04,-1.90
197811,3.68,3.82
197911,3.11,3.25
198011,1.66,1.80
198111,-1.39,-1.25
198211,1.53,1.67
198311,6.41,6.55
198411,2.20,2.34
198511,3.94,4.08
198611,0.95,1.09
198711,0.94,1.08
198811,0.60,0.74
198911,-4.16,-4.02
199011,-1.45,-1.31
199111,-0.75,-0.61
199211,2.85,2.99
199311,4.16,4.30
199411,-1.35,-1.21
199511,-1.78,-1.64
199611,-3.49,-3.35
199711,-2.58,-2.44
199811,2.67,2.81
199911,-1.73,-1.59
200011,-1.80,-1.66
200111,-2.22,-2.08
200211,-4.45,-4.31
200311,-3.36,-3.22
200411,-1.33,-1.19
200511,1.63,1.77
200611,-2.84,-2.70
200711,-4.29,-4.15
200811,-1.59,-1.45
200911,-4.56,-4.42
201011,0.56,0.70
201111,-2.74,-2.60
201211,-3.90,-3.76
201311,-1.16,-1.02
201411,-2.68,-2.54
201511,-0.03,0.11
201611,-2.34,-2.20
201711,-3.18,-3.04
