Arizona, Palmer Hydrological Drought Index (PHDI), February
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,1.61,1.73
189602,-1.33,-1.21
189702,2.12,2.24
189802,-0.88,-0.76
189902,-1.85,-1.73
190002,-4.15,-4.03
190102,-2.42,-2.30
190202,-3.95,-3.83
190302,-3.21,-3.09
190402,-3.98,-3.86
190502,3.24,3.36
190602,5.36,5.48
190702,5.21,5.33
190802,3.43,3.55
190902,2.34,2.46
191002,1.71,1.83
191102,-0.60,-0.48
191202,-2.12,-2.00
191302,1.60,1.72
191402,-0.07,0.05
191502,3.53,3.65
191602,4.99,5.11
191702,3.60,3.72
191802,-1.91,-1.79
191902,0.97,1.09
192002,4.80,4.92
192102,1.07,1.19
192202,1.23,1.35
192302,-1.10,-0.98
192402,1.28,1.40
192502,-2.10,-1.98
192602,-1.22,-1.10
192702,0.88,1.00
192802,1.35,1.47
192902,-1.93,-1.81
193002,-1.51,-1.39
193102,1.39,1.51
193202,3.93,4.05
193302,2.39,2.51
193402,-1.88,-1.76
193502,-1.38,-1.26
193602,1.18,1.30
193702,1.31,1.43
193802,-1.26,-1.14
193902,-0.60,-0.48
194002,-0.76,-0.64
194102,3.67,3.79
194202,5.06,5.18
194302,-1.85,-1.73
194402,-0.92,-0.80
194502,0.22,0.34
194602,-1.39,-1.27
194702,-1.36,-1.24
194802,-1.96,-1.84
194902,1.55,1.67
195002,-1.09,-0.97
195102,-3.72,-3.60
195202,1.35,1.47
195302,1.08,1.20
195402,-2.57,-2.45
195502,-1.62,-1.50
195602,-2.29,-2.17
195702,-3.52,-3.40
195802,-0.69,-0.57
195902,-1.50,-1.38
196002,1.82,1.94
196102,-2.00,-1.88
196202,1.12,1.24
196302,-1.55,-1.43
196402,-2.16,-2.04
196502,-0.62,-0.50
196602,3.70,3.82
196702,-1.33,-1.21
196802,1.15,1.27
196902,0.37,0.49
197002,-1.68,-1.56
197102,-1.71,-1.59
197202,-1.54,-1.42
197302,3.55,3.67
197402,0.73,0.85
197502,-2.12,-2.00
197602,-1.55,-1.43
197702,-1.38,-1.26
197802,1.89,2.01
197902,5.72,5.84
198002,4.33,4.45
198102,-2.82,-2.70
198202,-1.36,-1.24
198302,2.51,2.63
198402,3.63,3.75
198502,3.42,3.54
198602,1.75,1.87
198702,1.17,1.29
198802,0.90,1.02
198902,-1.30,-1.18
199002,-3.67,-3.55
199102,-1.15,-1.03
199202,1.46,1.58
199302,7.62,7.74
199402,2.03,2.15
199502,2.05,2.17
199602,-3.13,-3.01
199702,-2.91,-2.79
199802,1.54,1.66
199902,-2.16,-2.04
200002,-3.41,-3.29
200102,-1.36,-1.24
200202,-3.27,-3.15
200302,-3.51,-3.39
200402,-3.12,-3.00
200502,4.34,4.46
200602,-3.64,-3.52
200702,-3.24,-3.12
200802,-1.64,-1.52
200902,-1.42,-1.30
201002,-1.42,-1.30
201102,-1.25,-1.13
201202,-2.94,-2.82
201302,-2.79,-2.67
201402,-3.06,-2.94
201502,-2.19,-2.07
201602,-1.06,-0.94
201702,-0.66,-0.54
201802,-3.99,-3.87
