Arizona, Palmer Hydrological Drought Index (PHDI), June
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189506,2.26,2.42
189606,-2.84,-2.68
189706,1.17,1.33
189806,-1.18,-1.02
189906,-2.49,-2.33
190006,-4.36,-4.20
190106,-2.30,-2.14
190206,-5.04,-4.88
190306,-1.86,-1.70
190406,-5.45,-5.29
190506,8.19,8.35
190606,6.27,6.43
190706,5.77,5.93
190806,1.86,2.02
190906,2.57,2.73
191006,-2.02,-1.86
191106,1.02,1.18
191206,1.41,1.57
191306,-0.56,-0.40
191406,0.18,0.34
191506,6.54,6.70
191606,4.85,5.01
191706,3.81,3.97
191806,-1.27,-1.11
191906,1.52,1.68
192006,6.31,6.47
192106,-3.17,-3.01
192206,2.19,2.35
192306,-1.70,-1.54
192406,1.83,1.99
192506,-2.24,-2.08
192606,1.05,1.21
192706,2.11,2.27
192806,-1.55,-1.39
192906,-2.66,-2.50
193006,-0.69,-0.53
193106,1.67,1.83
193206,4.22,4.38
193306,2.13,2.29
193406,-3.99,-3.83
193506,2.55,2.71
193606,-1.62,-1.46
193706,2.54,2.70
193806,1.09,1.25
193906,-1.00,-0.84
194006,-2.19,-2.03
194106,8.30,8.46
194206,2.95,3.11
194306,-2.39,-2.23
194406,1.82,1.98
194506,0.78,0.94
194606,-2.75,-2.59
194706,-3.28,-3.12
194806,-1.96,-1.80
194906,2.12,2.28
195006,-2.78,-2.62
195106,-3.50,-3.34
195206,4.41,4.57
195306,-1.20,-1.04
195406,-1.89,-1.73
195506,-2.13,-1.97
195606,-4.06,-3.90
195706,-2.09,-1.93
195806,1.99,2.15
195906,-3.66,-3.50
196006,0.90,1.06
196106,-3.46,-3.30
196206,-0.18,-0.02
196306,-2.72,-2.56
196406,-2.50,-2.34
196506,2.47,2.63
196606,3.28,3.44
196706,-2.27,-2.11
196806,1.58,1.74
196906,0.19,0.35
197006,-1.07,-0.91
197106,-3.49,-3.33
197206,-3.32,-3.16
197306,7.01,7.17
197406,-3.83,-3.67
197506,-1.17,-1.01
197606,-1.48,-1.32
197706,-2.52,-2.36
197806,4.52,4.68
197906,7.79,7.95
198006,5.61,5.77
198106,-2.59,-2.43
198206,0.89,1.05
198306,5.42,5.58
198406,-2.60,-2.44
198506,3.93,4.09
198606,-1.50,-1.34
198706,0.91,1.07
198806,0.96,1.12
198906,-3.92,-3.76
199006,-3.99,-3.83
199106,2.00,2.16
199206,4.91,5.07
199306,7.01,7.17
199406,-1.73,-1.57
199506,3.59,3.75
199606,-5.28,-5.12
199706,-3.68,-3.52
199806,3.43,3.59
199906,-3.19,-3.03
200006,-4.31,-4.15
200106,1.19,1.35
200206,-5.61,-5.45
200306,-3.58,-3.42
200406,-4.07,-3.91
200506,5.43,5.59
200606,-4.65,-4.49
200706,-4.94,-4.78
200806,-1.30,-1.14
200906,-2.58,-2.42
201006,2.32,2.48
201106,-3.09,-2.93
201206,-4.75,-4.59
201306,-4.07,-3.91
201406,-5.06,-4.90
201506,-1.81,-1.65
201606,-2.77,-2.61
201706,-1.67,-1.51
