Arizona, Palmer Hydrological Drought Index (PHDI), July
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189507,1.71,1.81
189607,-1.50,-1.40
189707,-0.72,-0.62
189807,-1.11,-1.01
189907,-2.36,-2.26
190007,-5.06,-4.96
190107,-2.46,-2.36
190207,-5.56,-5.46
190307,-2.18,-2.08
190407,-4.72,-4.62
190507,7.44,7.54
190607,6.20,6.30
190707,5.68,5.78
190807,2.60,2.70
190907,2.76,2.86
191007,-1.78,-1.68
191107,2.48,2.58
191207,2.46,2.56
191307,-0.33,-0.23
191407,1.44,1.54
191507,7.29,7.39
191607,5.03,5.13
191707,4.58,4.68
191807,-0.97,-0.87
191907,3.76,3.86
192007,5.46,5.56
192107,-1.29,-1.19
192207,2.01,2.11
192307,-1.09,-0.99
192407,1.53,1.63
192507,-2.18,-2.08
192607,0.72,0.82
192707,1.95,2.05
192807,-1.83,-1.73
192907,-1.75,-1.65
193007,0.97,1.07
193107,1.65,1.75
193207,4.55,4.65
193307,2.04,2.14
193407,-4.44,-4.34
193507,1.95,2.05
193607,-1.19,-1.09
193707,2.33,2.43
193807,-0.43,-0.33
193907,-1.59,-1.49
194007,-2.97,-2.87
194107,8.17,8.27
194207,2.14,2.24
194307,-3.13,-3.03
194407,1.19,1.29
194507,1.01,1.11
194607,-2.25,-2.15
194707,-3.93,-3.83
194807,-2.13,-2.03
194907,2.15,2.25
195007,-1.56,-1.46
195107,-3.58,-3.48
195207,4.17,4.27
195307,1.04,1.14
195407,-1.14,-1.04
195507,-0.79,-0.69
195607,-3.69,-3.59
195707,-1.86,-1.76
195807,1.25,1.35
195907,-3.51,-3.41
196007,-1.07,-0.97
196107,-3.41,-3.31
196207,-0.69,-0.59
196307,-3.43,-3.33
196407,-2.00,-1.90
196507,2.77,2.87
196607,3.12,3.22
196707,-1.35,-1.25
196807,2.04,2.14
196907,0.42,0.52
197007,-1.21,-1.11
197107,-3.84,-3.74
197207,-3.70,-3.60
197307,6.37,6.47
197407,-3.05,-2.95
197507,-0.75,-0.65
197607,-0.77,-0.67
197707,-2.37,-2.27
197807,3.67,3.77
197907,6.81,6.91
198007,4.94,5.04
198107,-2.23,-2.13
198207,0.63,0.73
198307,5.46,5.56
198407,-0.91,-0.81
198507,3.66,3.76
198607,-1.11,-1.01
198707,-0.35,-0.25
198807,0.72,0.82
198907,-3.88,-3.78
199007,-2.67,-2.57
199107,1.28,1.38
199207,4.79,4.89
199307,5.33,5.43
199407,-2.45,-2.35
199507,2.59,2.69
199607,-5.03,-4.93
199707,-4.22,-4.12
199807,3.94,4.04
199907,-1.50,-1.40
200007,-5.15,-5.05
200107,0.75,0.85
200207,-5.67,-5.57
200307,-3.93,-3.83
200407,-4.31,-4.21
200507,4.38,4.48
200607,-3.77,-3.67
200707,-4.21,-4.11
200807,-0.75,-0.65
200907,-3.11,-3.01
201007,2.29,2.39
201107,-2.91,-2.81
201207,-3.71,-3.61
201307,-3.01,-2.91
201407,-4.65,-4.55
201507,-1.51,-1.41
201607,-3.04,-2.94
201707,-0.63,-0.53
