Arizona, Palmer Hydrological Drought Index (PHDI), September
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189509,1.17,1.23
189609,-0.98,-0.92
189709,0.96,1.02
189809,-1.90,-1.84
189909,-2.78,-2.72
190009,-4.52,-4.46
190109,-3.18,-3.12
190209,-5.06,-5.00
190309,-1.82,-1.76
190409,-3.33,-3.27
190509,6.10,6.16
190609,5.35,5.41
190709,4.66,4.72
190809,2.33,2.39
190909,3.79,3.85
191009,-2.53,-2.47
191109,2.47,2.53
191209,1.33,1.39
191309,-0.66,-0.60
191409,-0.76,-0.70
191509,5.08,5.14
191609,4.61,4.67
191709,3.10,3.16
191809,-1.27,-1.21
191909,3.76,3.82
192009,4.16,4.22
192109,1.75,1.81
192209,1.50,1.56
192309,1.50,1.56
192409,-1.41,-1.35
192509,-1.13,-1.07
192609,-0.60,-0.54
192709,3.01,3.07
192809,-2.54,-2.48
192909,1.39,1.45
193009,0.64,0.70
193109,2.32,2.38
193209,2.94,3.00
193309,1.25,1.31
193409,-3.69,-3.63
193509,2.65,2.71
193609,-0.94,-0.88
193709,1.61,1.67
193809,-0.94,-0.88
193909,1.52,1.58
194009,-1.26,-1.20
194109,7.62,7.68
194209,1.01,1.07
194309,-1.88,-1.82
194409,-0.91,-0.85
194509,-0.86,-0.80
194609,-0.77,-0.71
194709,-3.21,-3.15
194809,-2.44,-2.38
194909,1.39,1.45
195009,-2.38,-2.32
195109,-2.01,-1.95
195209,3.07,3.13
195309,-1.29,-1.23
195409,-0.94,-0.88
195509,1.03,1.09
195609,-4.77,-4.71
195709,-2.07,-2.01
195809,2.05,2.11
195909,-2.83,-2.77
196009,-1.69,-1.63
196109,-2.19,-2.13
196209,-1.13,-1.07
196309,-1.44,-1.38
196409,-0.84,-0.78
196509,2.03,2.09
196609,2.78,2.84
196709,1.15,1.21
196809,0.90,0.96
196909,0.10,0.16
197009,0.70,0.76
197109,-1.78,-1.72
197209,-3.44,-3.38
197309,3.58,3.64
197409,-3.09,-3.03
197509,-1.32,-1.26
197609,1.05,1.11
197709,-2.06,-2.00
197809,2.00,2.06
197909,4.51,4.57
198009,3.28,3.34
198109,-2.15,-2.09
198209,1.31,1.37
198309,6.86,6.92
198409,2.27,2.33
198509,2.85,2.91
198609,-0.59,-0.53
198709,-0.64,-0.58
198809,1.14,1.20
198909,-4.33,-4.27
199009,-1.25,-1.19
199109,0.59,0.65
199209,4.16,4.22
199309,4.14,4.20
199409,-2.39,-2.33
199509,1.84,1.90
199609,-4.04,-3.98
199709,-2.70,-2.64
199809,2.97,3.03
199909,1.85,1.91
200009,-5.01,-4.95
200109,-1.39,-1.33
200209,-5.07,-5.01
200309,-3.70,-3.64
200409,-3.61,-3.55
200509,3.05,3.11
200609,-2.86,-2.80
200709,-3.95,-3.89
200809,-1.10,-1.04
200909,-4.17,-4.11
201009,0.95,1.01
201109,-3.15,-3.09
201209,-3.23,-3.17
201309,-1.74,-1.68
201409,-2.00,-1.94
201509,-1.32,-1.26
201609,-2.00,-1.94
201709,-1.63,-1.57
