Arizona, Palmer Modified Drought Index (PMDI), November
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189511,2.06,2.21
189611,1.59,1.74
189711,-0.61,-0.46
189811,-2.41,-2.26
189911,-2.64,-2.49
190011,-3.01,-2.86
190111,-3.31,-3.16
190211,-3.41,-3.26
190311,-2.80,-2.65
190411,-3.65,-3.50
190511,6.67,6.82
190611,3.77,3.92
190711,4.54,4.69
190811,0.78,0.93
190911,1.45,1.60
191011,-0.69,-0.54
191111,1.54,1.69
191211,0.66,0.81
191311,0.66,0.81
191411,0.10,0.25
191511,1.75,1.90
191611,3.35,3.50
191711,-1.44,-1.29
191811,0.06,0.21
191911,4.49,4.64
192011,2.72,2.87
192111,-0.41,-0.26
192211,0.45,0.60
192311,1.95,2.10
192411,-1.93,-1.78
192511,1.17,1.32
192611,-1.34,-1.19
192711,0.75,0.90
192811,-1.74,-1.59
192911,-0.86,-0.71
193011,0.88,1.03
193111,3.06,3.21
193211,0.20,0.35
193311,0.51,0.66
193411,-3.62,-3.47
193511,1.07,1.22
193611,-0.33,-0.18
193711,-1.40,-1.25
193811,-1.70,-1.55
193911,0.61,0.76
194011,1.75,1.90
194111,6.84,6.99
194211,-1.93,-1.78
194311,-2.14,-1.99
194411,0.74,0.89
194511,-1.23,-1.08
194611,1.57,1.72
194711,-1.70,-1.55
194811,-2.24,-2.09
194911,-0.51,-0.36
195011,-3.51,-3.36
195111,0.59,0.74
195211,2.16,2.31
195311,-1.99,-1.84
195411,-1.97,-1.82
195511,-1.65,-1.50
195611,-4.65,-4.50
195711,1.59,1.74
195811,1.22,1.37
195911,-0.44,-0.29
196011,-0.12,0.03
196111,-0.85,-0.70
196211,-0.87,-0.72
196311,1.01,1.16
196411,-0.31,-0.16
196511,1.21,1.36
196611,1.25,1.40
196711,-0.67,-0.52
196811,-0.93,-0.78
196911,0.44,0.59
197011,-0.60,-0.45
197111,1.33,1.48
197211,3.10,3.25
197311,-0.26,-0.11
197411,-0.60,-0.45
197511,-1.11,-0.96
197611,-0.40,-0.25
197711,-2.04,-1.89
197811,3.68,3.83
197911,1.15,1.30
198011,-0.47,-0.32
198111,-0.74,-0.59
198211,1.53,1.68
198311,6.41,6.56
198411,2.20,2.35
198511,3.94,4.09
198611,0.95,1.10
198711,0.94,1.09
198811,-0.66,-0.51
198911,-4.16,-4.01
199011,0.02,0.17
199111,-0.10,0.05
199211,1.52,1.67
199311,3.72,3.87
199411,-0.35,-0.20
199511,-1.78,-1.63
199611,-2.92,-2.77
199711,-2.06,-1.91
199811,2.52,2.67
199911,-1.73,-1.58
200011,0.91,1.06
200111,-2.22,-2.07
200211,-4.18,-4.03
200311,-3.01,-2.86
200411,0.99,1.14
200511,-0.42,-0.27
200611,-2.50,-2.35
200711,-4.29,-4.14
200811,-0.81,-0.66
200911,-4.56,-4.41
201011,-0.91,-0.76
201111,-2.62,-2.47
201211,-3.90,-3.75
201311,0.60,0.75
201411,-1.78,-1.63
201511,0.73,0.88
201611,-2.34,-2.19
201711,-3.18,-3.03
