Arizona, Palmer Modified Drought Index (PMDI), March
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189503,0.48,0.58
189603,-1.61,-1.51
189703,1.92,2.02
189803,-0.97,-0.87
189903,-2.20,-2.10
190003,-4.61,-4.51
190103,-1.71,-1.61
190203,-3.82,-3.72
190303,-2.12,-2.02
190403,-4.52,-4.42
190503,4.58,4.68
190603,5.58,5.68
190703,4.67,4.77
190803,2.08,2.18
190903,2.47,2.57
191003,-0.74,-0.64
191103,0.91,1.01
191203,0.58,0.68
191303,0.43,0.53
191403,-0.44,-0.34
191503,3.18,3.28
191603,4.42,4.52
191703,2.34,2.44
191803,-0.57,-0.47
191903,0.95,1.05
192003,4.80,4.90
192103,-2.32,-2.22
192203,0.98,1.08
192303,-0.87,-0.77
192403,0.87,0.97
192503,-2.17,-2.07
192603,-0.31,-0.21
192703,0.99,1.09
192803,-0.80,-0.70
192903,-2.09,-1.99
193003,-0.05,0.05
193103,0.11,0.21
193203,2.86,2.96
193303,0.49,0.59
193403,-2.95,-2.85
193503,1.12,1.22
193603,-0.14,-0.04
193703,1.77,1.87
193803,1.01,1.11
193903,0.19,0.29
194003,-1.36,-1.26
194103,4.63,4.73
194203,3.64,3.74
194303,-1.53,-1.43
194403,0.78,0.88
194503,0.93,1.03
194603,-1.62,-1.52
194703,-2.04,-1.94
194803,-1.03,-0.93
194903,0.90,1.00
195003,-1.40,-1.30
195103,-3.65,-3.55
195203,2.24,2.34
195303,-0.66,-0.56
195403,-0.36,-0.26
195503,-2.01,-1.91
195603,-2.83,-2.73
195703,-2.92,-2.82
195803,1.23,1.33
195903,-2.08,-1.98
196003,0.53,0.63
196103,-1.88,-1.78
196203,1.03,1.13
196303,-1.61,-1.51
196403,-1.30,-1.20
196503,0.61,0.71
196603,2.51,2.61
196703,-1.83,-1.73
196803,0.68,0.78
196903,0.37,0.47
197003,0.50,0.60
197103,-2.35,-2.25
197203,-2.78,-2.68
197303,4.85,4.95
197403,-2.38,-2.28
197503,-0.91,-0.81
197603,-1.46,-1.36
197703,-1.54,-1.44
197803,2.78,2.88
197903,6.00,6.10
198003,4.41,4.51
198103,-1.48,-1.38
198203,0.72,0.82
198303,3.58,3.68
198403,0.64,0.74
198503,3.23,3.33
198603,0.34,0.44
198703,0.80,0.90
198803,-0.69,-0.59
198903,-1.79,-1.69
199003,-3.64,-3.54
199103,1.89,1.99
199203,2.56,2.66
199303,7.00,7.10
199403,0.09,0.19
199503,2.18,2.28
199603,-3.63,-3.53
199703,-3.52,-3.42
199803,2.05,2.15
199903,-2.98,-2.88
200003,-2.81,-2.71
200103,0.75,0.85
200203,-3.76,-3.66
200303,-2.34,-2.24
200403,-3.55,-3.45
200503,3.95,4.05
200603,-3.18,-3.08
200703,-3.50,-3.40
200803,-0.86,-0.76
200903,-1.72,-1.62
201003,1.22,1.32
201103,-1.80,-1.70
201203,-3.11,-3.01
201303,-3.09,-2.99
201403,-3.40,-3.30
201503,-1.92,-1.82
201603,-2.06,-1.96
201703,-0.59,-0.49
