Arizona, Palmer Modified Drought Index (PMDI), July
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189507,1.23,1.20
189607,-0.13,-0.16
189707,-0.72,-0.75
189807,-1.03,-1.06
189907,-2.36,-2.39
190007,-5.06,-5.09
190107,-2.46,-2.49
190207,-5.56,-5.59
190307,-1.63,-1.66
190407,-4.49,-4.52
190507,7.44,7.41
190607,6.20,6.17
190707,5.68,5.65
190807,2.41,2.38
190907,2.76,2.73
191007,-1.67,-1.70
191107,2.48,2.45
191207,2.46,2.43
191307,-0.33,-0.36
191407,1.44,1.41
191507,7.29,7.26
191607,5.03,5.00
191707,4.58,4.55
191807,-0.16,-0.19
191907,3.76,3.73
192007,5.19,5.16
192107,0.66,0.63
192207,2.01,1.98
192307,-0.38,-0.41
192407,1.24,1.21
192507,-2.18,-2.21
192607,-0.55,-0.58
192707,1.95,1.92
192807,-1.83,-1.86
192907,-0.89,-0.92
193007,0.97,0.94
193107,1.65,1.62
193207,4.55,4.52
193307,2.02,1.99
193407,-4.44,-4.47
193507,1.44,1.41
193607,-0.72,-0.75
193707,2.33,2.30
193807,-0.43,-0.46
193907,-1.59,-1.62
194007,-2.97,-3.00
194107,8.17,8.14
194207,0.66,0.63
194307,-3.13,-3.16
194407,0.47,0.44
194507,1.01,0.98
194607,-1.91,-1.94
194707,-3.93,-3.96
194807,-2.13,-2.16
194907,2.15,2.12
195007,-0.33,-0.36
195107,-3.58,-3.61
195207,4.17,4.14
195307,1.04,1.01
195407,-0.23,-0.26
195507,0.89,0.86
195607,-3.69,-3.72
195707,-0.89,-0.92
195807,0.45,0.42
195907,-3.51,-3.54
196007,-1.07,-1.10
196107,-3.41,-3.44
196207,-0.69,-0.72
196307,-3.43,-3.46
196407,-1.63,-1.66
196507,2.77,2.74
196607,3.12,3.09
196707,-0.38,-0.41
196807,2.04,2.01
196907,0.42,0.39
197007,-1.21,-1.24
197107,-3.84,-3.87
197207,-3.70,-3.73
197307,6.37,6.34
197407,-2.54,-2.57
197507,0.29,0.26
197607,0.23,0.20
197707,-2.37,-2.40
197807,3.17,3.14
197907,6.56,6.53
198007,4.79,4.76
198107,-2.04,-2.07
198207,-0.12,-0.15
198307,5.46,5.43
198407,0.96,0.93
198507,3.66,3.63
198607,-0.65,-0.68
198707,-0.35,-0.38
198807,0.72,0.69
198907,-3.88,-3.91
199007,-1.56,-1.59
199107,0.50,0.47
199207,4.79,4.76
199307,4.23,4.20
199407,-2.45,-2.48
199507,1.78,1.75
199607,-5.03,-5.06
199707,-4.22,-4.25
199807,3.94,3.91
199907,0.20,0.17
200007,-5.15,-5.18
200107,-0.19,-0.22
200207,-5.67,-5.70
200307,-3.93,-3.96
200407,-4.31,-4.34
200507,3.78,3.75
200607,-3.26,-3.29
200707,-3.90,-3.93
200807,0.89,0.86
200907,-3.11,-3.14
201007,2.29,2.26
201107,-2.91,-2.94
201207,-3.03,-3.06
201307,-2.20,-2.23
201407,-4.65,-4.68
201507,-0.74,-0.77
201607,-3.04,-3.07
201707,0.74,0.71
