Arizona, Palmer Z-Index, November
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189511,3.28,3.40
189611,-0.61,-0.49
189711,-1.83,-1.71
189811,-0.69,-0.57
189911,-0.90,-0.78
190011,0.85,0.97
190111,-1.83,-1.71
190211,1.83,1.95
190311,-2.35,-2.23
190411,-2.03,-1.91
190511,6.75,6.87
190611,1.93,2.05
190711,-0.25,-0.13
190811,-1.06,-0.94
190911,0.01,0.13
191011,2.17,2.29
191111,-1.59,-1.47
191211,-1.68,-1.56
191311,1.98,2.10
191411,-0.69,-0.57
191511,0.08,0.20
191611,-1.64,-1.52
191711,-2.26,-2.14
191811,1.30,1.42
191911,3.95,4.07
192011,-1.38,-1.26
192111,-1.50,-1.38
192211,1.25,1.37
192311,2.94,3.06
192411,-1.67,-1.55
192511,-0.14,-0.02
192611,-1.54,-1.42
192711,-1.47,-1.35
192811,-0.24,-0.12
192911,-1.28,-1.16
193011,2.00,2.12
193111,4.12,4.24
193211,-2.20,-2.08
193311,0.04,0.16
193411,-0.03,0.09
193511,0.73,0.85
193611,-0.30,-0.18
193711,-2.04,-1.92
193811,-1.15,-1.03
193911,0.43,0.55
194011,0.96,1.08
194111,0.13,0.25
194211,-2.07,-1.95
194311,-1.88,-1.76
194411,2.22,2.34
194511,-1.77,-1.65
194611,1.52,1.64
194711,0.34,0.46
194811,-1.34,-1.22
194911,-1.81,-1.69
195011,-2.15,-2.03
195111,0.44,0.56
195211,3.07,3.19
195311,-1.31,-1.19
195411,-2.15,-2.03
195511,-0.80,-0.68
195611,-1.53,-1.41
195711,0.80,0.92
195811,-0.32,-0.20
195911,-0.34,-0.22
196011,-0.95,-0.83
196111,-0.13,-0.01
196211,-0.82,-0.70
196311,0.85,0.97
196411,0.30,0.42
196511,1.67,1.79
196611,-0.52,-0.40
196711,-0.35,-0.23
196811,-0.10,0.02
196911,0.81,0.93
197011,-1.16,-1.04
197111,-0.76,-0.64
197211,1.81,1.93
197311,0.07,0.19
197411,-0.72,-0.60
197511,0.47,0.59
197611,-1.20,-1.08
197711,-1.49,-1.37
197811,5.24,5.36
197911,-0.42,-0.30
198011,-1.92,-1.80
198111,0.44,0.56
198211,2.82,2.94
198311,0.73,0.85
198411,0.26,0.38
198511,3.59,3.71
198611,0.71,0.83
198711,1.88,2.00
198811,-0.39,-0.27
198911,-2.08,-1.96
199011,-0.25,-0.13
199111,0.88,1.00
199211,-1.19,-1.07
199311,1.79,1.91
199411,1.55,1.67
199511,-1.44,-1.32
199611,-0.37,-0.25
199711,-0.83,-0.71
199811,0.01,0.13
199911,-2.79,-2.67
200011,0.81,0.93
200111,-1.79,-1.67
200211,-0.75,-0.63
200311,0.75,0.87
200411,2.33,2.45
200511,-2.27,-2.15
200611,-2.28,-2.16
200711,-1.45,-1.33
200811,-0.47,-0.35
200911,-2.11,-1.99
201011,-1.39,-1.27
201111,0.14,0.26
201211,-2.11,-1.99
201311,2.04,2.16
201411,-2.02,-1.90
201511,-0.08,0.04
201611,-0.33,-0.21
201711,-3.16,-3.04
