Arizona, Palmer Z-Index, July
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189507,-0.93,-1.13
189607,3.15,2.95
189707,-1.54,-1.74
189807,-0.17,-0.37
189907,-0.39,-0.59
190007,-3.45,-3.65
190107,-1.18,-1.38
190207,-3.11,-3.31
190307,-1.54,-1.74
190407,0.49,0.29
190507,0.26,0.06
190607,1.74,1.54
190707,1.49,1.29
190807,2.79,2.59
190907,1.36,1.16
191007,0.10,-0.10
191107,4.69,4.49
191207,3.59,3.39
191307,0.51,0.31
191407,3.85,3.65
191507,4.27,4.07
191607,2.04,1.84
191707,3.47,3.27
191807,0.52,0.32
191907,7.20,7.00
192007,-0.60,-0.80
192107,4.67,4.47
192207,0.15,-0.05
192307,1.28,1.08
192407,-0.31,-0.51
192507,-0.51,-0.71
192607,-0.68,-0.88
192707,0.16,-0.04
192807,-1.32,-1.52
192907,1.90,1.70
193007,2.11,1.91
193107,0.46,0.26
193207,2.29,2.09
193307,0.37,0.17
193407,-2.57,-2.77
193507,-1.02,-1.22
193607,0.77,0.57
193707,0.17,-0.03
193807,-1.28,-1.48
193907,-2.07,-2.27
194007,-3.02,-3.22
194107,2.16,1.96
194207,-1.52,-1.72
194307,-2.95,-3.15
194407,-1.33,-1.53
194507,0.92,0.72
194607,0.65,0.45
194707,-2.97,-3.17
194807,-1.13,-1.33
194907,0.74,0.54
195007,2.81,2.61
195107,-1.30,-1.50
195207,0.65,0.45
195307,3.11,2.91
195407,1.65,1.45
195507,3.36,3.16
195607,-0.15,-0.35
195707,0.05,-0.15
195807,-1.59,-1.79
195907,-0.68,-0.88
196007,-2.45,-2.65
196107,-0.91,-1.11
196207,-1.58,-1.78
196307,-3.00,-3.20
196407,0.72,0.52
196507,1.65,1.45
196607,0.53,0.33
196707,2.04,1.84
196807,1.86,1.66
196907,0.75,0.55
197007,-0.76,-0.96
197107,-2.12,-2.32
197207,-2.16,-2.36
197307,0.26,0.06
197407,1.15,0.95
197507,0.89,0.69
197607,1.67,1.47
197707,-0.32,-0.52
197807,-1.15,-1.35
197907,-0.53,-0.73
198007,-0.26,-0.46
198107,0.29,0.09
198207,-0.51,-0.71
198307,1.79,1.59
198407,4.27,4.07
198507,0.41,0.21
198607,0.72,0.52
198707,-1.05,-1.25
198807,-0.41,-0.61
198907,-1.10,-1.30
199007,2.73,2.53
199107,-1.54,-1.74
199207,1.15,0.95
199307,-2.88,-3.08
199407,-2.69,-2.89
199507,-1.89,-2.09
199607,-0.88,-1.08
199707,-2.75,-2.95
199807,2.59,2.39
199907,4.08,3.88
200007,-3.85,-4.05
200107,-0.94,-1.14
200207,-1.91,-2.11
200307,-2.15,-2.35
200407,-1.96,-2.16
200507,-1.46,-1.66
200607,1.20,1.00
200707,0.67,0.47
200807,1.24,1.04
200907,-2.38,-2.58
201007,0.63,0.43
201107,-0.43,-0.63
201207,1.64,1.44
201307,1.94,1.74
201407,-0.33,-0.53
201507,0.35,0.15
201607,-1.68,-1.88
201707,2.60,2.40
