Arizona, Palmer Z-Index, August
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189508,0.26,0.39
189608,0.20,0.33
189708,-1.40,-1.27
189808,-0.39,-0.26
189908,-1.16,-1.03
190008,-2.05,-1.92
190108,-1.36,-1.23
190208,-0.93,-0.80
190308,-1.87,-1.74
190408,3.20,3.33
190508,-1.64,-1.51
190608,2.76,2.89
190708,1.85,1.98
190808,1.01,1.14
190908,4.71,4.84
191008,-1.13,-1.00
191108,-1.53,-1.40
191208,0.01,0.14
191308,-0.82,-0.69
191408,-0.89,-0.76
191508,-1.53,-1.40
191608,0.62,0.75
191708,-1.74,-1.61
191808,0.45,0.58
191908,-0.69,-0.56
192008,-0.13,0.00
192108,3.16,3.29
192208,0.81,0.94
192308,1.99,2.12
192408,-3.54,-3.41
192508,0.11,0.24
192608,-2.48,-2.35
192708,1.12,1.25
192808,-1.02,-0.89
192908,1.06,1.19
193008,-0.11,0.02
193108,3.15,3.28
193208,-0.71,-0.58
193308,-1.63,-1.50
193408,1.47,1.60
193508,2.97,3.10
193608,-0.40,-0.27
193708,-1.60,-1.47
193808,-0.42,-0.29
193908,-0.73,-0.60
194008,-0.53,-0.40
194108,0.94,1.07
194208,-0.83,-0.70
194308,1.35,1.48
194408,-2.20,-2.07
194508,0.44,0.57
194608,1.09,1.22
194708,1.96,2.09
194808,-0.65,-0.52
194908,-1.75,-1.62
195008,-2.91,-2.78
195108,4.96,5.09
195208,-0.89,-0.76
195308,-0.77,-0.64
195408,-0.35,-0.22
195508,3.39,3.52
195608,-2.30,-2.17
195708,1.32,1.45
195808,-0.21,-0.08
195908,2.48,2.61
196008,-2.21,-2.08
196108,1.74,1.87
196208,-3.86,-3.73
196308,4.21,4.34
196408,0.80,0.93
196508,-1.57,-1.44
196608,-0.32,-0.19
196708,0.48,0.61
196808,0.40,0.53
196908,-0.66,-0.53
197008,-0.05,0.08
197108,3.43,3.56
197208,-0.91,-0.78
197308,-2.31,-2.18
197408,-1.88,-1.75
197508,-3.47,-3.34
197608,-3.10,-2.97
197708,-0.66,-0.53
197808,-1.78,-1.65
197908,0.04,0.17
198008,-1.34,-1.21
198108,-1.17,-1.04
198208,1.85,1.98
198308,2.47,2.60
198408,2.50,2.63
198508,-2.82,-2.69
198608,0.50,0.63
198708,-0.02,0.11
198808,3.54,3.67
198908,-1.16,-1.03
199008,0.68,0.81
199108,-1.23,-1.10
199208,2.94,3.07
199308,1.83,1.96
199408,-1.70,-1.57
199508,-0.74,-0.61
199608,-2.06,-1.93
199708,0.02,0.15
199808,-1.21,-1.08
199908,0.92,1.05
200008,0.39,0.52
200108,-0.47,-0.34
200208,-3.35,-3.22
200308,-1.06,-0.93
200408,-1.55,-1.42
200508,0.79,0.92
200608,-0.33,-0.20
200708,-0.99,-0.86
200808,0.19,0.32
200908,-3.81,-3.68
201008,-0.81,-0.68
201108,-2.61,-2.48
201208,-0.18,-0.05
201308,0.43,0.56
201408,2.50,2.63
201508,-0.41,-0.28
201608,1.03,1.16
201708,-2.01,-1.88
