Arizona, Precipitation, January
Units: Inches
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,2.78,1.62
189601,0.52,-0.64
189701,2.86,1.70
189801,1.79,0.63
189901,0.80,-0.36
190001,0.20,-0.96
190101,1.21,0.05
190201,0.80,-0.36
190301,0.18,-0.98
190401,0.18,-0.98
190501,2.71,1.55
190601,0.81,-0.35
190701,2.35,1.19
190801,1.03,-0.13
190901,1.03,-0.13
191001,1.28,0.12
191101,2.05,0.89
191201,0.02,-1.14
191301,0.65,-0.51
191401,1.18,0.02
191501,2.47,1.31
191601,4.20,3.04
191701,2.32,1.16
191801,1.66,0.50
191901,0.42,-0.74
192001,1.97,0.81
192101,0.89,-0.27
192201,1.78,0.62
192301,0.72,-0.44
192401,0.11,-1.05
192501,0.15,-1.01
192601,0.53,-0.63
192701,0.32,-0.84
192801,0.19,-0.97
192901,0.81,-0.35
193001,1.79,0.63
193101,0.47,-0.69
193201,0.77,-0.39
193301,1.80,0.64
193401,0.39,-0.77
193501,1.92,0.76
193601,0.69,-0.47
193701,1.54,0.38
193801,0.69,-0.47
193901,1.11,-0.05
194001,0.79,-0.37
194101,1.74,0.58
194201,0.54,-0.62
194301,1.59,0.43
194401,0.76,-0.40
194501,1.08,-0.08
194601,1.03,-0.13
194701,0.29,-0.87
194801,0.16,-1.00
194901,2.89,1.73
195001,0.53,-0.63
195101,1.34,0.18
195201,1.71,0.55
195301,0.25,-0.91
195401,1.25,0.09
195501,1.91,0.75
195601,1.01,-0.15
195701,2.82,1.66
195801,0.25,-0.91
195901,0.25,-0.91
196001,1.55,0.39
196101,0.72,-0.44
196201,1.44,0.28
196301,0.64,-0.52
196401,0.34,-0.82
196501,1.47,0.31
196601,0.76,-0.40
196701,0.38,-0.78
196801,0.50,-0.66
196901,1.65,0.49
197001,0.22,-0.94
197101,0.17,-0.99
197201,0.02,-1.14
197301,0.73,-0.43
197401,1.76,0.60
197501,0.57,-0.59
197601,0.16,-1.00
197701,1.27,0.11
197801,2.92,1.76
197901,3.04,1.88
198001,2.75,1.59
198101,0.72,-0.44
198201,1.62,0.46
198301,1.28,0.12
198401,0.45,-0.71
198501,1.54,0.38
198601,0.21,-0.95
198701,1.03,-0.13
198801,1.16,0.00
198901,1.49,0.33
199001,0.96,-0.20
199101,1.12,-0.04
199201,1.32,0.16
199301,5.22,4.06
199401,0.23,-0.93
199501,2.43,1.27
199601,0.20,-0.96
199701,1.89,0.73
199801,0.55,-0.61
199901,0.14,-1.02
200001,0.28,-0.88
200101,1.70,0.54
200201,0.19,-0.97
200301,0.32,-0.84
200401,0.71,-0.45
200501,2.83,1.67
200601,0.13,-1.03
200701,0.79,-0.37
200801,1.99,0.83
200901,0.52,-0.64
201001,3.41,2.25
201101,0.05,-1.11
201201,0.26,-0.90
201301,1.30,0.14
201401,0.03,-1.13
201501,1.79,0.63
201601,1.40,0.24
201701,2.06,0.90
201801,0.59,-0.57
