Arizona, Precipitation, October
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189510,0.96,0.09
189610,2.62,1.75
189710,0.86,-0.01
189810,0.01,-0.86
189910,0.67,-0.20
190010,0.70,-0.17
190110,0.78,-0.09
190210,0.08,-0.79
190310,0.14,-0.73
190410,0.47,-0.40
190510,0.19,-0.68
190610,0.10,-0.77
190710,2.30,1.43
190810,0.69,-0.18
190910,0.01,-0.86
191010,0.46,-0.41
191110,1.89,1.02
191210,2.04,1.17
191310,0.39,-0.48
191410,2.16,1.29
191510,0.09,-0.78
191610,1.92,1.05
191710,0.04,-0.83
191810,0.64,-0.23
191910,0.88,0.01
192010,1.39,0.52
192110,1.05,0.18
192210,0.32,-0.55
192310,0.40,-0.47
192410,0.49,-0.38
192510,1.99,1.12
192610,0.53,-0.34
192710,0.64,-0.23
192810,1.15,0.28
192910,0.38,-0.49
193010,0.38,-0.49
193110,0.69,-0.18
193210,1.07,0.20
193310,1.25,0.38
193410,0.11,-0.76
193510,0.04,-0.83
193610,0.89,0.02
193710,0.34,-0.53
193810,0.14,-0.73
193910,0.40,-0.47
194010,1.49,0.62
194110,1.61,0.74
194210,0.90,0.03
194310,0.75,-0.12
194410,0.57,-0.30
194510,1.06,0.19
194610,0.83,-0.04
194710,1.19,0.32
194810,1.20,0.33
194910,1.02,0.15
195010,0.03,-0.84
195110,1.36,0.49
195210,0.00,-0.87
195310,0.22,-0.65
195410,0.37,-0.50
195510,0.26,-0.61
195610,0.51,-0.36
195710,2.62,1.75
195810,0.99,0.12
195910,2.03,1.16
196010,1.85,0.98
196110,0.93,0.06
196210,0.82,-0.05
196310,1.10,0.23
196410,0.36,-0.51
196510,0.36,-0.51
196610,0.61,-0.26
196710,0.27,-0.60
196810,0.66,-0.21
196910,0.87,0.00
197010,0.44,-0.43
197110,1.81,0.94
197210,4.21,3.34
197310,0.03,-0.84
197410,2.32,1.45
197510,0.20,-0.67
197610,0.82,-0.05
197710,1.21,0.34
197810,1.54,0.67
197910,0.55,-0.32
198010,0.45,-0.42
198110,1.09,0.22
198210,0.15,-0.72
198310,1.79,0.92
198410,1.09,0.22
198510,1.51,0.64
198610,1.22,0.35
198710,1.54,0.67
198810,0.94,0.07
198910,0.94,0.07
199010,0.48,-0.39
199110,0.59,-0.28
199210,0.91,0.04
199310,1.24,0.37
199410,0.92,0.05
199510,0.08,-0.79
199610,0.75,-0.12
199710,0.70,-0.17
199810,1.26,0.39
199910,0.00,-0.87
200010,3.54,2.67
200110,0.43,-0.44
200210,0.70,-0.17
200310,0.41,-0.46
200410,1.95,1.08
200510,0.92,0.05
200610,1.18,0.31
200710,0.15,-0.72
200810,0.28,-0.59
200910,0.15,-0.72
201010,1.35,0.48
201110,0.67,-0.20
201210,0.25,-0.62
201310,0.21,-0.66
201410,0.60,-0.27
201510,1.88,1.01
201610,0.35,-0.52
201710,0.03,-0.84
