Arizona, Precipitation, December
Units: Inches
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189512,0.29,-0.85
189612,0.56,-0.58
189712,0.59,-0.55
189812,1.63,0.49
189912,0.15,-0.99
190012,0.02,-1.12
190112,0.09,-1.05
190212,1.37,0.23
190312,0.09,-1.05
190412,0.82,-0.32
190512,1.13,-0.01
190612,3.52,2.38
190712,0.12,-1.02
190812,3.11,1.97
190912,1.66,0.52
191012,0.49,-0.65
191112,0.53,-0.61
191212,0.59,-0.55
191312,0.95,-0.19
191412,3.10,1.96
191512,2.41,1.27
191612,0.78,-0.36
191712,0.00,-1.14
191812,1.80,0.66
191912,0.57,-0.57
192012,0.21,-0.93
192112,1.85,0.71
192212,0.53,-0.61
192312,2.60,1.46
192412,1.80,0.66
192512,0.57,-0.57
192612,2.73,1.59
192712,1.55,0.41
192812,0.76,-0.38
192912,0.08,-1.06
193012,0.15,-0.99
193112,1.52,0.38
193212,1.84,0.70
193312,0.30,-0.84
193412,1.52,0.38
193512,0.84,-0.30
193612,2.01,0.87
193712,1.06,-0.08
193812,1.89,0.75
193912,0.33,-0.81
194012,3.35,2.21
194112,1.88,0.74
194212,1.04,-0.10
194312,1.36,0.22
194412,1.01,-0.13
194512,1.11,-0.03
194612,0.90,-0.24
194712,1.13,-0.01
194812,1.66,0.52
194912,1.14,0.00
195012,0.02,-1.12
195112,1.81,0.67
195212,0.99,-0.15
195312,0.24,-0.90
195412,0.31,-0.83
195512,0.51,-0.63
195612,0.18,-0.96
195712,0.46,-0.68
195812,0.03,-1.11
195912,2.71,1.57
196012,0.66,-0.48
196112,1.71,0.57
196212,0.96,-0.18
196312,0.16,-0.98
196412,0.93,-0.21
196512,4.50,3.36
196612,1.45,0.31
196712,3.69,2.55
196812,1.05,-0.09
196912,0.56,-0.58
197012,0.69,-0.45
197112,1.44,0.30
197212,1.32,0.18
197312,0.05,-1.09
197412,0.57,-0.57
197512,0.83,-0.31
197612,0.36,-0.78
197712,0.88,-0.26
197812,3.05,1.91
197912,0.68,-0.46
198012,0.37,-0.77
198112,0.05,-1.09
198212,2.44,1.30
198312,1.47,0.33
198412,3.44,2.30
198512,0.39,-0.75
198612,1.45,0.31
198712,1.44,0.30
198812,0.39,-0.75
198912,0.38,-0.76
199012,1.36,0.22
199112,1.98,0.84
199212,3.23,2.09
199312,0.29,-0.85
199412,2.10,0.96
199512,0.29,-0.85
199612,0.19,-0.95
199712,1.87,0.73
199812,0.39,-0.75
199912,0.04,-1.10
200012,0.12,-1.02
200112,0.82,-0.32
200212,0.86,-0.28
200312,0.54,-0.60
200412,1.66,0.52
200512,0.04,-1.10
200612,0.37,-0.77
200712,2.28,1.14
200812,1.89,0.75
200912,1.21,0.07
201012,1.67,0.53
201112,1.55,0.41
201212,1.46,0.32
201312,0.44,-0.70
201412,1.47,0.33
201512,0.60,-0.54
201612,2.13,0.99
201712,0.13,-1.01
