Arizona, Heating Degree Days, December
Units: Fahrenheit Degree-Days
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189512,586,77
189612,434,-75
189712,588,79
189812,616,107
189912,470,-39
190012,485,-24
190112,535,26
190212,530,21
190312,529,20
190412,518,9
190512,611,102
190612,433,-76
190712,478,-31
190812,487,-22
190912,637,128
191012,425,-84
191112,703,194
191212,638,129
191312,565,56
191412,587,78
191512,540,31
191612,637,128
191712,408,-101
191812,591,82
191912,463,-46
192012,604,95
192112,397,-112
192212,439,-70
192312,554,45
192412,591,82
192512,513,4
192612,560,51
192712,594,85
192812,548,39
192912,427,-82
193012,567,58
193112,629,120
193212,644,135
193312,469,-40
193412,446,-63
193512,495,-14
193612,520,11
193712,412,-97
193812,448,-61
193912,370,-139
194012,387,-122
194112,488,-21
194212,438,-71
194312,502,-7
194412,502,-7
194512,575,66
194612,434,-75
194712,600,91
194812,546,37
194912,540,31
195012,351,-158
195112,543,34
195212,562,53
195312,598,89
195412,479,-30
195512,404,-105
195612,504,-5
195712,441,-68
195812,384,-125
195912,481,-28
196012,553,44
196112,544,35
196212,423,-86
196312,506,-3
196412,500,-9
196512,490,-19
196612,501,-8
196712,642,133
196812,602,93
196912,447,-62
197012,513,4
197112,610,101
197212,580,71
197312,467,-42
197412,611,102
197512,491,-18
197612,505,-4
197712,360,-149
197812,600,91
197912,423,-86
198012,326,-183
198112,403,-106
198212,541,32
198312,446,-63
198412,524,15
198512,473,-36
198612,495,-14
198712,587,78
198812,511,2
198912,486,-23
199012,589,80
199112,469,-40
199212,566,57
199312,494,-15
199412,461,-48
199512,415,-94
199612,438,-71
199712,570,61
199812,479,-30
199912,491,-18
200012,433,-76
200112,561,52
200212,520,11
200312,467,-42
200412,480,-29
200512,440,-69
200612,517,8
200712,565,56
200812,477,-32
200912,557,48
201012,363,-146
201112,567,58
201212,473,-36
201312,493,-16
201412,436,-73
201512,537,28
201612,408,-101
201712,362,-147
