Arizona, Heating Degree Days, April
Units: Fahrenheit Degree-Days
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,117,-19
189604,168,32
189704,121,-15
189804,75,-61
189904,119,-17
190004,211,75
190104,183,47
190204,104,-32
190304,161,25
190404,122,-14
190504,179,43
190604,170,34
190704,113,-23
190804,124,-12
190904,144,8
191004,97,-39
191104,141,5
191204,222,86
191304,147,11
191404,113,-23
191504,153,17
191604,121,-15
191704,185,49
191804,146,10
191904,109,-27
192004,229,93
192104,176,40
192204,222,86
192304,162,26
192404,197,61
192504,122,-14
192604,134,-2
192704,150,14
192804,151,15
192904,185,49
193004,86,-50
193104,100,-36
193204,143,7
193304,219,83
193404,67,-69
193504,137,1
193604,90,-46
193704,152,16
193804,132,-4
193904,92,-44
194004,110,-26
194104,256,120
194204,163,27
194304,83,-53
194404,203,67
194504,178,42
194604,64,-72
194704,141,5
194804,112,-24
194904,103,-33
195004,80,-56
195104,147,11
195204,147,11
195304,154,18
195404,70,-66
195504,176,40
195604,156,20
195704,156,20
195804,163,27
195904,75,-61
196004,111,-25
196104,115,-21
196204,67,-69
196304,177,41
196404,176,40
196504,165,29
196604,105,-31
196704,224,88
196804,173,37
196904,120,-16
197004,224,88
197104,163,27
197204,112,-24
197304,199,63
197404,136,0
197504,268,132
197604,170,34
197704,114,-22
197804,155,19
197904,143,7
198004,143,7
198104,79,-57
198204,129,-7
198304,237,101
198404,158,22
198504,83,-53
198604,101,-35
198704,74,-62
198804,126,-10
198904,45,-91
199004,86,-50
199104,156,20
199204,75,-61
199304,105,-31
199404,105,-31
199504,170,34
199604,82,-54
199704,134,-2
199804,213,77
199904,197,61
200004,64,-72
200104,122,-14
200204,62,-74
200304,152,16
200404,110,-26
200504,123,-13
200604,102,-34
200704,96,-40
200804,106,-30
200904,127,-9
201004,147,11
201104,89,-47
201204,77,-59
201304,90,-46
201404,90,-46
201504,105,-31
201604,101,-35
201704,81,-55
