Arizona, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189502,56.0,-1.9
189602,58.1,0.2
189702,53.2,-4.7
189802,60.8,2.9
189902,55.9,-2.0
190002,60.0,2.1
190102,56.1,-1.8
190202,60.1,2.2
190302,50.3,-7.6
190402,63.5,5.6
190502,51.8,-6.1
190602,58.4,0.5
190702,63.2,5.3
190802,56.0,-1.9
190902,55.8,-2.1
191002,58.0,0.1
191102,53.6,-4.3
191202,60.8,2.9
191302,52.5,-5.4
191402,56.9,-1.0
191502,54.1,-3.8
191602,62.0,4.1
191702,54.9,-3.0
191802,57.8,-0.1
191902,51.4,-6.5
192002,56.6,-1.3
192102,60.8,2.9
192202,55.0,-2.9
192302,54.8,-3.1
192402,62.2,4.3
192502,62.2,4.3
192602,60.9,3.0
192702,58.4,0.5
192802,55.9,-2.0
192902,52.4,-5.5
193002,62.8,4.9
193102,55.6,-2.3
193202,55.5,-2.4
193302,50.1,-7.8
193402,62.9,5.0
193502,57.8,-0.1
193602,55.7,-2.2
193702,54.5,-3.4
193802,55.4,-2.5
193902,47.4,-10.5
194002,56.4,-1.5
194102,57.7,-0.2
194202,53.4,-4.5
194302,61.9,4.0
194402,53.1,-4.8
194502,57.9,0.0
194602,58.6,0.7
194702,63.5,5.6
194802,54.1,-3.8
194902,52.0,-5.9
195002,61.8,3.9
195102,57.4,-0.5
195202,55.9,-2.0
195302,58.1,0.2
195402,65.7,7.8
195502,52.8,-5.1
195602,53.1,-4.8
195702,63.2,5.3
195802,59.7,1.8
195902,55.8,-2.1
196002,52.7,-5.2
196102,60.1,2.2
196202,56.6,-1.3
196302,63.3,5.4
196402,54.2,-3.7
196502,56.6,-1.3
196602,51.5,-6.4
196702,61.9,4.0
196802,61.1,3.2
196902,54.7,-3.2
197002,61.6,3.7
197102,58.6,0.7
197202,63.1,5.2
197302,54.1,-3.8
197402,57.7,-0.2
197502,55.8,-2.1
197602,60.4,2.5
197702,62.1,4.2
197802,55.4,-2.5
197902,55.4,-2.5
198002,59.3,1.4
198102,62.0,4.1
198202,57.3,-0.6
198302,56.6,-1.3
198402,59.6,1.7
198502,55.4,-2.5
198602,60.2,2.3
198702,56.2,-1.7
198802,61.0,3.1
198902,59.1,1.2
199002,55.8,-2.1
199102,63.6,5.7
199202,58.2,0.3
199302,54.6,-3.3
199402,56.3,-1.6
199502,64.0,6.1
199602,62.8,4.9
199702,58.2,0.3
199802,52.4,-5.5
199902,63.2,5.3
200002,62.3,4.4
200102,57.0,-0.9
200202,62.0,4.1
200302,56.9,-1.0
200402,54.4,-3.5
200502,55.4,-2.5
200602,63.6,5.7
200702,60.0,2.1
200802,58.0,0.1
200902,60.4,2.5
201002,55.5,-2.4
201102,55.6,-2.3
201202,59.3,1.4
201302,55.6,-2.3
201402,64.3,6.4
201502,66.1,8.2
201602,66.6,8.7
201702,61.2,3.3
201802,60.4,2.5
