Arizona, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189504,73.9,1.9
189604,69.6,-2.4
189704,72.9,0.9
189804,76.3,4.3
189904,73.7,1.7
190004,64.6,-7.4
190104,69.8,-2.2
190204,75.8,3.8
190304,70.6,-1.4
190404,74.5,2.5
190504,67.2,-4.8
190604,69.3,-2.7
190704,74.1,2.1
190804,72.4,0.4
190904,71.7,-0.3
191004,75.2,3.2
191104,71.2,-0.8
191204,65.4,-6.6
191304,71.3,-0.7
191404,72.8,0.8
191504,70.2,-1.8
191604,73.2,1.2
191704,68.7,-3.3
191804,71.0,-1.0
191904,74.0,2.0
192004,65.6,-6.4
192104,70.1,-1.9
192204,66.5,-5.5
192304,68.6,-3.4
192404,67.9,-4.1
192504,73.8,1.8
192604,68.4,-3.6
192704,71.0,-1.0
192804,71.2,-0.8
192904,68.4,-3.6
193004,75.6,3.6
193104,73.3,1.3
193204,72.8,0.8
193304,67.2,-4.8
193404,77.4,5.4
193504,71.3,-0.7
193604,75.9,3.9
193704,71.7,-0.3
193804,72.5,0.5
193904,75.2,3.2
194004,72.5,0.5
194104,63.4,-8.6
194204,70.1,-1.9
194304,76.2,4.2
194404,67.4,-4.6
194504,69.8,-2.2
194604,77.1,5.1
194704,72.4,0.4
194804,74.1,2.1
194904,74.2,2.2
195004,76.6,4.6
195104,70.4,-1.6
195204,70.2,-1.8
195304,70.7,-1.3
195404,77.9,5.9
195504,70.6,-1.4
195604,70.3,-1.7
195704,69.6,-2.4
195804,69.6,-2.4
195904,75.9,3.9
196004,74.2,2.2
196104,73.4,1.4
196204,78.1,6.1
196304,69.6,-2.4
196404,68.5,-3.5
196504,68.5,-3.5
196604,74.6,2.6
196704,67.0,-5.0
196804,68.4,-3.6
196904,73.6,1.6
197004,66.7,-5.3
197104,71.0,-1.0
197204,74.6,2.6
197304,67.1,-4.9
197404,72.3,0.3
197504,64.4,-7.6
197604,69.9,-2.1
197704,74.0,2.0
197804,70.4,-1.6
197904,72.2,0.2
198004,71.2,-0.8
198104,75.8,3.8
198204,71.6,-0.4
198304,64.8,-7.2
198404,70.1,-1.9
198504,75.5,3.5
198604,73.1,1.1
198704,76.2,4.2
198804,71.6,-0.4
198904,80.8,8.8
199004,74.1,2.1
199104,71.2,-0.8
199204,76.8,4.8
199304,74.3,2.3
199404,73.1,1.1
199504,69.4,-2.6
199604,76.2,4.2
199704,70.1,-1.9
199804,67.0,-5.0
199904,67.3,-4.7
200004,78.3,6.3
200104,72.2,0.2
200204,77.9,5.9
200304,70.6,-1.4
200404,71.8,-0.2
200504,72.6,0.6
200604,74.6,2.6
200704,74.5,2.5
200804,74.3,2.3
200904,72.4,0.4
201004,70.9,-1.1
201104,73.9,1.9
201204,76.4,4.4
201304,74.8,2.8
201404,74.4,2.4
201504,73.7,1.7
201604,73.1,1.1
201704,75.7,3.7
