Arizona, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189505,80.6,-0.5
189605,80.4,-0.7
189705,84.1,3.0
189805,78.0,-3.1
189905,77.9,-3.2
190005,81.8,0.7
190105,80.6,-0.5
190205,80.6,-0.5
190305,79.1,-2.0
190405,81.2,0.1
190505,76.0,-5.1
190605,79.4,-1.7
190705,76.1,-5.0
190805,76.7,-4.4
190905,78.9,-2.2
191005,85.5,4.4
191105,81.1,0.0
191205,79.1,-2.0
191305,81.5,0.4
191405,81.4,0.3
191505,75.2,-5.9
191605,80.3,-0.8
191705,72.7,-8.4
191805,76.6,-4.5
191905,81.6,0.5
192005,80.5,-0.6
192105,78.1,-3.0
192205,81.3,0.2
192305,82.7,1.6
192405,82.6,1.5
192505,84.2,3.1
192605,79.1,-2.0
192705,82.5,1.4
192805,82.2,1.1
192905,81.6,0.5
193005,75.3,-5.8
193105,82.4,1.3
193205,79.9,-1.2
193305,75.7,-5.4
193405,86.9,5.8
193505,75.5,-5.6
193605,85.6,4.5
193705,83.5,2.4
193805,80.6,-0.5
193905,83.4,2.3
194005,85.2,4.1
194105,79.8,-1.3
194205,80.6,-0.5
194305,83.4,2.3
194405,79.2,-1.9
194505,81.1,0.0
194605,80.6,-0.5
194705,84.5,3.4
194805,83.2,2.1
194905,80.2,-0.9
195005,80.6,-0.5
195105,80.9,-0.2
195205,83.5,2.4
195305,75.0,-6.1
195405,83.6,2.5
195505,79.2,-1.9
195605,83.7,2.6
195705,75.5,-5.6
195805,86.0,4.9
195905,80.2,-0.9
196005,81.8,0.7
196105,81.7,0.6
196205,79.4,-1.7
196305,84.8,3.7
196405,80.4,-0.7
196505,77.2,-3.9
196605,84.5,3.4
196705,80.1,-1.0
196805,80.6,-0.5
196905,83.3,2.2
197005,83.1,2.0
197105,77.1,-4.0
197205,82.1,1.0
197305,81.8,0.7
197405,84.0,2.9
197505,78.4,-2.7
197605,81.6,0.5
197705,76.3,-4.8
197805,80.1,-1.0
197905,78.5,-2.6
198005,76.3,-4.8
198105,79.8,-1.3
198205,79.2,-1.9
198305,80.3,-0.8
198405,87.9,6.8
198505,82.2,1.1
198605,82.8,1.7
198705,79.5,-1.6
198805,81.7,0.6
198905,84.1,3.0
199005,80.3,-0.8
199105,79.5,-1.6
199205,80.4,-0.7
199305,83.0,1.9
199405,80.6,-0.5
199505,76.1,-5.0
199605,86.4,5.3
199705,86.4,5.3
199805,78.6,-2.5
199905,81.2,0.1
200005,88.2,7.1
200105,87.6,6.5
200205,84.3,3.2
200305,84.6,3.5
200405,84.7,3.6
200505,83.9,2.8
200605,87.0,5.9
200705,84.3,3.2
200805,79.4,-1.7
200905,86.2,5.1
201005,79.2,-1.9
201105,78.8,-2.3
201205,86.1,5.0
201305,83.1,2.0
201405,82.5,1.4
201505,77.2,-3.9
201605,79.7,-1.4
201705,81.9,0.8
