Arizona, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189507,91.0,-3.0
189607,89.8,-4.2
189707,92.2,-1.8
189807,93.2,-0.8
189907,92.6,-1.4
190007,95.1,1.1
190107,96.2,2.2
190207,93.2,-0.8
190307,93.8,-0.2
190407,92.8,-1.2
190507,94.3,0.3
190607,93.9,-0.1
190707,92.8,-1.2
190807,93.0,-1.0
190907,93.2,-0.8
191007,94.8,0.8
191107,90.0,-4.0
191207,89.1,-4.9
191307,91.5,-2.5
191407,89.4,-4.6
191507,91.2,-2.8
191607,92.2,-1.8
191707,94.1,0.1
191807,91.1,-2.9
191907,89.6,-4.4
192007,94.8,0.8
192107,91.2,-2.8
192207,93.8,-0.2
192307,91.7,-2.3
192407,92.4,-1.6
192507,94.1,0.1
192607,93.2,-0.8
192707,94.0,0.0
192807,94.7,0.7
192907,92.4,-1.6
193007,91.6,-2.4
193107,96.1,2.1
193207,92.8,-1.2
193307,95.6,1.6
193407,96.1,2.1
193507,94.3,0.3
193607,94.7,0.7
193707,94.3,0.3
193807,93.4,-0.6
193907,95.2,1.2
194007,95.7,1.7
194107,93.0,-1.0
194207,96.8,2.8
194307,95.1,1.1
194407,93.8,-0.2
194507,94.5,0.5
194607,93.2,-0.8
194707,96.2,2.2
194807,94.8,0.8
194907,92.8,-1.2
195007,90.6,-3.4
195107,96.4,2.4
195207,93.8,-0.2
195307,93.7,-0.3
195407,94.1,0.1
195507,91.5,-2.5
195607,92.9,-1.1
195707,94.2,0.2
195807,95.3,1.3
195907,96.2,2.2
196007,96.5,2.5
196107,95.3,1.3
196207,93.7,-0.3
196307,96.2,2.2
196407,94.9,0.9
196507,92.6,-1.4
196607,94.6,0.6
196707,93.4,-0.6
196807,92.3,-1.7
196907,94.1,0.1
197007,95.2,1.2
197107,96.8,2.8
197207,96.5,2.5
197307,94.4,0.4
197407,92.4,-1.6
197507,93.1,-0.9
197607,92.5,-1.5
197707,93.9,-0.1
197807,96.1,2.1
197907,95.7,1.7
198007,96.4,2.4
198107,94.1,0.1
198207,92.7,-1.3
198307,93.6,-0.4
198407,91.5,-2.5
198507,95.1,1.1
198607,91.2,-2.8
198707,93.1,-0.9
198807,95.1,1.1
198907,96.5,2.5
199007,92.4,-1.6
199107,93.8,-0.2
199207,92.2,-1.8
199307,93.2,-0.8
199407,96.5,2.5
199507,96.0,2.0
199607,96.2,2.2
199707,94.9,0.9
199807,95.5,1.5
199907,90.6,-3.4
200007,96.4,2.4
200107,93.6,-0.4
200207,96.6,2.6
200307,98.9,4.9
200407,95.1,1.1
200507,98.6,4.6
200607,95.7,1.7
200707,95.9,1.9
200807,93.8,-0.2
200907,97.2,3.2
201007,95.1,1.1
201107,94.7,0.7
201207,93.0,-1.0
201307,93.8,-0.2
201407,95.2,1.2
201507,91.8,-2.2
201607,96.8,2.8
201707,94.8,0.8
