Arizona, Minimum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2018
Missing: -99
Date,Value,Anomaly
189501,31.8,3.1
189601,32.5,3.8
189701,32.4,3.7
189801,24.3,-4.4
189901,25.9,-2.8
190001,32.2,3.5
190101,29.3,0.6
190201,28.4,-0.3
190301,28.8,0.1
190401,23.0,-5.7
190501,32.6,3.9
190601,27.2,-1.5
190701,32.2,3.5
190801,30.3,1.6
190901,33.9,5.2
191001,28.3,-0.4
191101,34.8,6.1
191201,26.6,-2.1
191301,22.7,-6.0
191401,32.6,3.9
191501,27.5,-1.2
191601,31.5,2.8
191701,26.7,-2.0
191801,25.6,-3.1
191901,22.5,-6.2
192001,31.5,2.8
192101,28.9,0.2
192201,25.5,-3.2
192301,30.9,2.2
192401,24.2,-4.5
192501,22.9,-5.8
192601,25.2,-3.5
192701,31.4,2.7
192801,27.8,-0.9
192901,26.4,-2.3
193001,28.2,-0.5
193101,26.0,-2.7
193201,22.5,-6.2
193301,23.7,-5.0
193401,27.6,-1.1
193501,31.2,2.5
193601,27.4,-1.3
193701,16.7,-12.0
193801,30.5,1.8
193901,29.3,0.6
194001,31.1,2.4
194101,32.5,3.8
194201,28.4,-0.3
194301,30.1,1.4
194401,26.3,-2.4
194501,28.4,-0.3
194601,26.7,-2.0
194701,24.8,-3.9
194801,26.0,-2.7
194901,23.0,-5.7
195001,26.3,-2.4
195101,27.0,-1.7
195201,29.2,0.5
195301,31.0,2.3
195401,29.0,0.3
195501,26.0,-2.7
195601,32.7,4.0
195701,33.2,4.5
195801,27.8,-0.9
195901,28.5,-0.2
196001,24.7,-4.0
196101,28.7,0.0
196201,26.8,-1.9
196301,24.4,-4.3
196401,22.9,-5.8
196501,31.3,2.6
196601,25.5,-3.2
196701,25.7,-3.0
196801,26.4,-2.3
196901,33.8,5.1
197001,27.2,-1.5
197101,26.0,-2.7
197201,26.4,-2.3
197301,26.0,-2.7
197401,28.4,-0.3
197501,26.5,-2.2
197601,27.4,-1.3
197701,28.3,-0.4
197801,32.9,4.2
197901,27.1,-1.6
198001,34.4,5.7
198101,33.3,4.6
198201,29.3,0.6
198301,30.2,1.5
198401,29.6,0.9
198501,29.7,1.0
198601,32.8,4.1
198701,27.1,-1.6
198801,28.4,-0.3
198901,26.8,-1.9
199001,27.5,-1.2
199101,29.0,0.3
199201,28.2,-0.5
199301,34.3,5.6
199401,28.5,-0.2
199501,32.0,3.3
199601,29.8,1.1
199701,31.2,2.5
199801,31.2,2.5
199901,30.9,2.2
200001,31.8,3.1
200101,28.7,0.0
200201,28.9,0.2
200301,34.6,5.9
200401,30.8,2.1
200501,34.9,6.2
200601,29.3,0.6
200701,26.4,-2.3
200801,28.1,-0.6
200901,32.2,3.5
201001,30.5,1.8
201101,27.6,-1.1
201201,31.2,2.5
201301,25.6,-3.1
201401,31.6,2.9
201501,33.2,4.5
201601,29.5,0.8
201701,32.3,3.6
201801,33.2,4.5
