Arizona, Minimum Temperature, October
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189510,48.6,2.0
189610,50.1,3.5
189710,46.8,0.2
189810,44.8,-1.8
189910,45.9,-0.7
190010,47.3,0.7
190110,47.5,0.9
190210,47.9,1.3
190310,44.9,-1.7
190410,45.6,-1.0
190510,45.2,-1.4
190610,43.8,-2.8
190710,49.4,2.8
190810,41.2,-5.4
190910,43.6,-3.0
191010,46.2,-0.4
191110,45.0,-1.6
191210,45.3,-1.3
191310,43.0,-3.6
191410,47.5,0.9
191510,44.2,-2.4
191610,44.4,-2.2
191710,45.6,-1.0
191810,48.2,1.6
191910,43.1,-3.5
192010,42.9,-3.7
192110,48.8,2.2
192210,45.6,-1.0
192310,42.1,-4.5
192410,42.6,-4.0
192510,46.3,-0.3
192610,47.8,1.2
192710,45.9,-0.7
192810,47.5,0.9
192910,47.1,0.5
193010,43.0,-3.6
193110,47.0,0.4
193210,45.6,-1.0
193310,50.4,3.8
193410,46.7,0.1
193510,45.2,-1.4
193610,46.5,-0.1
193710,47.4,0.8
193810,45.6,-1.0
193910,43.8,-2.8
194010,48.1,1.5
194110,44.9,-1.7
194210,46.7,0.1
194310,46.5,-0.1
194410,48.4,1.8
194510,48.8,2.2
194610,42.7,-3.9
194710,46.5,-0.1
194810,47.8,1.2
194910,43.8,-2.8
195010,49.5,2.9
195110,46.3,-0.3
195210,47.6,1.0
195310,44.9,-1.7
195410,47.6,1.0
195510,48.2,1.6
195610,45.1,-1.5
195710,47.6,1.0
195810,49.3,2.7
195910,46.2,-0.4
196010,46.3,-0.3
196110,44.2,-2.4
196210,47.3,0.7
196310,50.1,3.5
196410,48.9,2.3
196510,46.4,-0.2
196610,45.2,-1.4
196710,46.4,-0.2
196810,45.8,-0.8
196910,43.7,-2.9
197010,42.3,-4.3
197110,43.3,-3.3
197210,48.9,2.3
197310,44.4,-2.2
197410,49.1,2.5
197510,44.1,-2.5
197610,44.6,-2.0
197710,49.4,2.8
197810,50.0,3.4
197910,47.4,0.8
198010,45.3,-1.3
198110,45.7,-0.9
198210,42.4,-4.2
198310,49.1,2.5
198410,44.1,-2.5
198510,47.5,0.9
198610,44.7,-1.9
198710,50.6,4.0
198810,51.3,4.7
198910,46.4,-0.2
199010,46.5,-0.1
199110,48.8,2.2
199210,48.8,2.2
199310,47.1,0.5
199410,45.2,-1.4
199510,46.2,-0.4
199610,46.3,-0.3
199710,45.3,-1.3
199810,45.9,-0.7
199910,47.2,0.6
200010,47.9,1.3
200110,49.5,2.9
200210,46.2,-0.4
200310,52.3,5.7
200410,46.9,0.3
200510,48.6,2.0
200610,46.4,-0.2
200710,47.2,0.6
200810,46.9,0.3
200910,44.8,-1.8
201010,49.3,2.7
201110,47.6,1.0
201210,48.1,1.5
201310,43.6,-3.0
201410,50.4,3.8
201510,52.0,5.4
201610,51.2,4.6
201710,48.4,1.8
