Arizona, Minimum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189503,35.4,-0.8
189603,38.0,1.8
189703,33.0,-3.2
189803,33.8,-2.4
189903,35.7,-0.5
190003,40.5,4.3
190103,34.6,-1.6
190203,32.9,-3.3
190303,36.3,0.1
190403,39.2,3.0
190503,41.3,5.1
190603,38.1,1.9
190703,37.5,1.3
190803,37.7,1.5
190903,33.5,-2.7
191003,39.8,3.6
191103,40.5,4.3
191203,36.6,0.4
191303,32.0,-4.2
191403,38.1,1.9
191503,35.6,-0.6
191603,39.4,3.2
191703,30.0,-6.2
191803,39.2,3.0
191903,34.0,-2.2
192003,34.5,-1.7
192103,39.1,2.9
192203,32.9,-3.3
192303,33.0,-3.2
192403,32.1,-4.1
192503,35.9,-0.3
192603,38.2,2.0
192703,35.0,-1.2
192803,38.3,2.1
192903,34.0,-2.2
193003,35.6,-0.6
193103,34.9,-1.3
193203,35.7,-0.5
193303,34.6,-1.6
193403,40.3,4.1
193503,34.8,-1.4
193603,36.5,0.3
193703,35.2,-1.0
193803,35.7,-0.5
193903,35.9,-0.3
194003,37.6,1.4
194103,36.9,0.7
194203,32.1,-4.1
194303,38.1,1.9
194403,33.0,-3.2
194503,33.1,-3.1
194603,35.1,-1.1
194703,35.9,-0.3
194803,30.8,-5.4
194903,34.0,-2.2
195003,35.6,-0.6
195103,34.0,-2.2
195203,31.6,-4.6
195303,35.8,-0.4
195403,34.6,-1.6
195503,33.8,-2.4
195603,33.5,-2.7
195703,38.0,1.8
195803,34.3,-1.9
195903,34.4,-1.8
196003,37.9,1.7
196103,35.5,-0.7
196203,31.4,-4.8
196303,34.2,-2.0
196403,31.2,-5.0
196503,33.4,-2.8
196603,35.6,-0.6
196703,37.4,1.2
196803,36.9,0.7
196903,31.8,-4.4
197003,34.5,-1.7
197103,34.2,-2.0
197203,40.2,4.0
197303,33.6,-2.6
197403,38.1,1.9
197503,34.0,-2.2
197603,33.7,-2.5
197703,31.5,-4.7
197803,40.7,4.5
197903,35.4,-0.8
198003,35.6,-0.6
198103,36.5,0.3
198203,37.2,1.0
198303,37.8,1.6
198403,35.4,-0.8
198503,36.7,0.5
198603,40.4,4.2
198703,34.1,-2.1
198803,34.7,-1.5
198903,39.8,3.6
199003,38.4,2.2
199103,33.7,-2.5
199203,38.4,2.2
199303,38.1,1.9
199403,39.1,2.9
199503,38.3,2.1
199603,37.2,1.0
199703,38.7,2.5
199803,35.7,-0.5
199903,37.3,1.1
200003,37.0,0.8
200103,37.9,1.7
200203,33.8,-2.4
200303,37.2,1.0
200403,43.3,7.1
200503,37.3,1.1
200603,35.5,-0.7
200703,39.4,3.2
200803,36.5,0.3
200903,37.5,1.3
201003,35.6,-0.6
201103,38.3,2.1
201203,36.1,-0.1
201303,39.7,3.5
201403,39.4,3.2
201503,42.0,5.8
201603,39.5,3.3
201703,41.1,4.9
