Arizona, Minimum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189506,55.9,-2.5
189606,61.9,3.5
189706,56.7,-1.7
189806,60.3,1.9
189906,59.4,1.0
190006,59.7,1.3
190106,56.5,-1.9
190206,59.4,1.0
190306,59.5,1.1
190406,58.6,0.2
190506,55.9,-2.5
190606,56.0,-2.4
190706,53.5,-4.9
190806,54.3,-4.1
190906,57.7,-0.7
191006,58.9,0.5
191106,57.5,-0.9
191206,58.4,0.0
191306,55.5,-2.9
191406,59.4,1.0
191506,56.4,-2.0
191606,56.4,-2.0
191706,57.5,-0.9
191806,64.1,5.7
191906,58.2,-0.2
192006,57.2,-1.2
192106,59.1,0.7
192206,59.8,1.4
192306,53.7,-4.7
192406,59.9,1.5
192506,59.3,0.9
192606,59.5,1.1
192706,58.0,-0.4
192806,58.1,-0.3
192906,56.9,-1.5
193006,58.7,0.3
193106,59.5,1.1
193206,56.6,-1.8
193306,59.0,0.6
193406,55.2,-3.2
193506,58.6,0.2
193606,61.3,2.9
193706,58.0,-0.4
193806,58.6,0.2
193906,58.2,-0.2
194006,61.8,3.4
194106,55.0,-3.4
194206,56.0,-2.4
194306,57.3,-1.1
194406,53.6,-4.8
194506,53.3,-5.1
194606,58.5,0.1
194706,56.7,-1.7
194806,56.6,-1.8
194906,58.3,-0.1
195006,55.6,-2.8
195106,54.3,-4.1
195206,56.8,-1.6
195306,57.0,-1.4
195406,57.0,-1.4
195506,56.1,-2.3
195606,60.7,2.3
195706,60.1,1.7
195806,60.4,2.0
195906,61.8,3.4
196006,61.0,2.6
196106,61.2,2.8
196206,56.2,-2.2
196306,55.0,-3.4
196406,56.4,-2.0
196506,53.0,-5.4
196606,58.0,-0.4
196706,56.2,-2.2
196806,58.0,-0.4
196906,56.4,-2.0
197006,58.2,-0.2
197106,57.1,-1.3
197206,59.1,0.7
197306,58.0,-0.4
197406,61.4,3.0
197506,55.6,-2.8
197606,56.8,-1.6
197706,59.7,1.3
197806,59.0,0.6
197906,57.8,-0.6
198006,57.0,-1.4
198106,62.7,4.3
198206,55.2,-3.2
198306,55.7,-2.7
198406,58.8,0.4
198506,59.8,1.4
198606,60.8,2.4
198706,59.7,1.3
198806,60.5,2.1
198906,58.8,0.4
199006,61.4,3.0
199106,55.4,-3.0
199206,57.6,-0.8
199306,57.3,-1.1
199406,62.7,4.3
199506,55.5,-2.9
199606,61.3,2.9
199706,57.7,-0.7
199806,55.1,-3.3
199906,58.5,0.1
200006,62.4,4.0
200106,60.7,2.3
200206,61.2,2.8
200306,59.7,1.3
200406,59.0,0.6
200506,58.1,-0.3
200606,63.1,4.7
200706,60.4,2.0
200806,60.2,1.8
200906,58.5,0.1
201006,59.2,0.8
201106,58.4,0.0
201206,61.6,3.2
201306,62.4,4.0
201406,61.0,2.6
201506,62.7,4.3
201606,64.1,5.7
201706,62.5,4.1
