Arizona, Minimum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1895-2017
Missing: -99
Date,Value,Anomaly
189508,65.5,1.0
189608,66.0,1.5
189708,66.5,2.0
189808,68.1,3.6
189908,62.6,-1.9
190008,60.0,-4.5
190108,67.1,2.6
190208,64.9,0.4
190308,66.2,1.7
190408,66.0,1.5
190508,65.7,1.2
190608,63.4,-1.1
190708,64.3,-0.2
190808,65.1,0.6
190908,65.6,1.1
191008,66.0,1.5
191108,63.4,-1.1
191208,62.4,-2.1
191308,64.5,0.0
191408,64.9,0.4
191508,63.9,-0.6
191608,63.0,-1.5
191708,63.6,-0.9
191808,62.6,-1.9
191908,65.2,0.7
192008,62.9,-1.6
192108,64.5,0.0
192208,65.5,1.0
192308,64.0,-0.5
192408,63.8,-0.7
192508,62.8,-1.7
192608,63.5,-1.0
192708,64.0,-0.5
192808,63.5,-1.0
192908,65.4,0.9
193008,63.9,-0.6
193108,64.8,0.3
193208,64.9,0.4
193308,65.1,0.6
193408,66.0,1.5
193508,65.2,0.7
193608,65.8,1.3
193708,65.9,1.4
193808,64.5,0.0
193908,65.3,0.8
194008,65.2,0.7
194108,62.2,-2.3
194208,63.6,-0.9
194308,65.3,0.8
194408,63.8,-0.7
194508,65.7,1.2
194608,65.3,0.8
194708,63.6,-0.9
194808,64.0,-0.5
194908,60.9,-3.6
195008,61.0,-3.5
195108,63.4,-1.1
195208,65.3,0.8
195308,62.8,-1.7
195408,62.5,-2.0
195508,64.8,0.3
195608,61.0,-3.5
195708,64.4,-0.1
195808,66.1,1.6
195908,64.4,-0.1
196008,64.8,0.3
196108,64.5,0.0
196208,64.4,-0.1
196308,64.7,0.2
196408,63.8,-0.7
196508,63.3,-1.2
196608,65.2,0.7
196708,64.4,-0.1
196808,60.6,-3.9
196908,67.4,2.9
197008,66.0,1.5
197108,64.6,0.1
197208,63.3,-1.2
197308,63.2,-1.3
197408,61.7,-2.8
197508,62.2,-2.3
197608,61.6,-2.9
197708,65.8,1.3
197808,62.6,-1.9
197908,60.7,-3.8
198008,63.7,-0.8
198108,65.3,0.8
198208,65.8,1.3
198308,64.3,-0.2
198408,64.3,-0.2
198508,64.0,-0.5
198608,66.3,1.8
198708,63.5,-1.0
198808,64.7,0.2
198908,63.4,-1.1
199008,62.5,-2.0
199108,65.0,0.5
199208,64.2,-0.3
199308,64.1,-0.4
199408,67.5,3.0
199508,67.5,3.0
199608,66.2,1.7
199708,65.8,1.3
199808,66.6,2.1
199908,64.5,0.0
200008,66.1,1.6
200108,65.1,0.6
200208,64.8,0.3
200308,66.8,2.3
200408,63.7,-0.8
200508,64.2,-0.3
200608,65.1,0.6
200708,67.5,3.0
200808,66.1,1.6
200908,64.3,-0.2
201008,65.8,1.3
201108,68.1,3.6
201208,67.2,2.7
201308,65.4,0.9
201408,63.6,-0.9
201508,66.9,2.4
201608,64.4,-0.1
201708,65.2,0.7
